,PNL,guard_coef,num_orders,rolling,sd_coef,sharpe_ratio,stop_win,win_ratio
0,1418.31525,0.5,678,1000,2,0.681582997067,0.2,0.692307692308
1,1418.31525,0.5,678,1000,2,0.681582997067,0.6,0.692307692308
2,1418.31525,0.5,678,1000,2,0.681582997067,1.0,0.692307692308
3,1418.31525,0.5,678,1000,2,0.681582997067,1.4,0.692307692308
4,1418.31525,0.5,678,1000,2,0.681582997067,1.8,0.692307692308
5,1354.95525,1.0,366,1000,2,0.698684182418,0.2,0.730769230769
6,1354.95525,1.0,366,1000,2,0.698684182418,0.6,0.730769230769
7,1354.95525,1.0,366,1000,2,0.698684182418,1.0,0.730769230769
8,1354.95525,1.0,366,1000,2,0.698684182418,1.4,0.730769230769
9,1354.95525,1.0,366,1000,2,0.698684182418,1.8,0.730769230769
10,1145.574,1.5,208,1000,2,0.593205014115,0.2,0.653846153846
11,1145.574,1.5,208,1000,2,0.593205014115,0.6,0.653846153846
12,1145.574,1.5,208,1000,2,0.593205014115,1.0,0.653846153846
13,1145.574,1.5,208,1000,2,0.593205014115,1.4,0.653846153846
14,1145.574,1.5,208,1000,2,0.593205014115,1.8,0.653846153846
15,1602.9885,0.5,496,1000,3,0.771864007046,0.2,0.730769230769
16,1602.9885,0.5,496,1000,3,0.771864007046,0.6,0.730769230769
17,1602.9885,0.5,496,1000,3,0.771864007046,1.0,0.730769230769
18,1602.9885,0.5,496,1000,3,0.771864007046,1.4,0.730769230769
19,1602.9885,0.5,496,1000,3,0.771864007046,1.8,0.730769230769
20,1406.37525,1.0,264,1000,3,0.732478900642,0.2,0.692307692308
21,1406.37525,1.0,264,1000,3,0.732478900642,0.6,0.692307692308
22,1406.37525,1.0,264,1000,3,0.732478900642,1.0,0.692307692308
23,1406.37525,1.0,264,1000,3,0.732478900642,1.4,0.692307692308
24,1406.37525,1.0,264,1000,3,0.732478900642,1.8,0.692307692308
25,1043.07675,1.5,172,1000,3,0.610774443188,0.2,0.653846153846
26,1043.07675,1.5,172,1000,3,0.610774443188,0.6,0.653846153846
27,1043.07675,1.5,172,1000,3,0.610774443188,1.0,0.653846153846
28,1043.07675,1.5,172,1000,3,0.610774443188,1.4,0.653846153846
29,1043.07675,1.5,172,1000,3,0.610774443188,1.8,0.653846153846
30,1154.826,0.5,286,1000,4,0.586760225714,0.2,0.692307692308
31,1154.826,0.5,286,1000,4,0.586760225714,0.6,0.692307692308
32,1154.826,0.5,286,1000,4,0.586760225714,1.0,0.692307692308
33,1154.826,0.5,286,1000,4,0.586760225714,1.4,0.692307692308
34,1154.826,0.5,286,1000,4,0.586760225714,1.8,0.692307692308
35,1017.876,1.0,176,1000,4,0.623489196885,0.2,0.730769230769
36,1017.876,1.0,176,1000,4,0.623489196885,0.6,0.730769230769
37,1017.876,1.0,176,1000,4,0.623489196885,1.0,0.730769230769
38,1017.876,1.0,176,1000,4,0.623489196885,1.4,0.730769230769
39,1017.876,1.0,176,1000,4,0.623489196885,1.8,0.730769230769
