,roll:1000_sd:0.5,roll:1000_sd:0.75,roll:1000_sd:1.0,roll:1000_sd:1.25,roll:1000_sd:1.5,roll:1000_sd:1.75,roll:1000_sd:2.0,roll:1000_sd:2.25,roll:1000_sd:2.5,roll:1000_sd:2.75,roll:1000_sd:3.0,roll:1000_sd:3.25,roll:1000_sd:3.5,roll:1000_sd:3.75,roll:1000_sd:4.0,roll:1500_sd:0.5,roll:1500_sd:0.75,roll:1500_sd:1.0,roll:1500_sd:1.25,roll:1500_sd:1.5,roll:1500_sd:1.75,roll:1500_sd:2.0,roll:1500_sd:2.25,roll:1500_sd:2.5,roll:1500_sd:2.75,roll:1500_sd:3.0,roll:1500_sd:3.25,roll:1500_sd:3.5,roll:1500_sd:3.75,roll:1500_sd:4.0,roll:2000_sd:0.5,roll:2000_sd:0.75,roll:2000_sd:1.0,roll:2000_sd:1.25,roll:2000_sd:1.5,roll:2000_sd:1.75,roll:2000_sd:2.0,roll:2000_sd:2.25,roll:2000_sd:2.5,roll:2000_sd:2.75,roll:2000_sd:3.0,roll:2000_sd:3.25,roll:2000_sd:3.5,roll:2000_sd:3.75,roll:2000_sd:4.0,roll:2500_sd:0.5,roll:2500_sd:0.75,roll:2500_sd:1.0,roll:2500_sd:1.25,roll:2500_sd:1.5,roll:2500_sd:1.75,roll:2500_sd:2.0,roll:2500_sd:2.25,roll:2500_sd:2.5,roll:2500_sd:2.75,roll:2500_sd:3.0,roll:2500_sd:3.25,roll:2500_sd:3.5,roll:2500_sd:3.75,roll:2500_sd:4.0,roll:3000_sd:0.5,roll:3000_sd:0.75,roll:3000_sd:1.0,roll:3000_sd:1.25,roll:3000_sd:1.5,roll:3000_sd:1.75,roll:3000_sd:2.0,roll:3000_sd:2.25,roll:3000_sd:2.5,roll:3000_sd:2.75,roll:3000_sd:3.0,roll:3000_sd:3.25,roll:3000_sd:3.5,roll:3000_sd:3.75,roll:3000_sd:4.0,roll:3500_sd:0.5,roll:3500_sd:0.75,roll:3500_sd:1.0,roll:3500_sd:1.25,roll:3500_sd:1.5,roll:3500_sd:1.75,roll:3500_sd:2.0,roll:3500_sd:2.25,roll:3500_sd:2.5,roll:3500_sd:2.75,roll:3500_sd:3.0,roll:3500_sd:3.25,roll:3500_sd:3.5,roll:3500_sd:3.75,roll:3500_sd:4.0,roll:4000_sd:0.5,roll:4000_sd:0.75,roll:4000_sd:1.0,roll:4000_sd:1.25,roll:4000_sd:1.5,roll:4000_sd:1.75,roll:4000_sd:2.0,roll:4000_sd:2.25,roll:4000_sd:2.5,roll:4000_sd:2.75,roll:4000_sd:3.0,roll:4000_sd:3.25,roll:4000_sd:3.5,roll:4000_sd:3.75,roll:4000_sd:4.0,roll:4500_sd:0.5,roll:4500_sd:0.75,roll:4500_sd:1.0,roll:4500_sd:1.25,roll:4500_sd:1.5,roll:4500_sd:1.75,roll:4500_sd:2.0,roll:4500_sd:2.25,roll:4500_sd:2.5,roll:4500_sd:2.75,roll:4500_sd:3.0,roll:4500_sd:3.25,roll:4500_sd:3.5,roll:4500_sd:3.75,roll:4500_sd:4.0,roll:5000_sd:0.5,roll:5000_sd:0.75,roll:5000_sd:1.0,roll:5000_sd:1.25,roll:5000_sd:1.5,roll:5000_sd:1.75,roll:5000_sd:2.0,roll:5000_sd:2.25,roll:5000_sd:2.5,roll:5000_sd:2.75,roll:5000_sd:3.0,roll:5000_sd:3.25,roll:5000_sd:3.5,roll:5000_sd:3.75,roll:5000_sd:4.0,roll:500_sd:0.5,roll:500_sd:0.75,roll:500_sd:1.0,roll:500_sd:1.25,roll:500_sd:1.5,roll:500_sd:1.75,roll:500_sd:2.0,roll:500_sd:2.25,roll:500_sd:2.5,roll:500_sd:2.75,roll:500_sd:3.0,roll:500_sd:3.25,roll:500_sd:3.5,roll:500_sd:3.75,roll:500_sd:4.0,roll:5500_sd:0.5,roll:5500_sd:0.75,roll:5500_sd:1.0,roll:5500_sd:1.25,roll:5500_sd:1.5,roll:5500_sd:1.75,roll:5500_sd:2.0,roll:5500_sd:2.25,roll:5500_sd:2.5,roll:5500_sd:2.75,roll:5500_sd:3.0,roll:5500_sd:3.25,roll:5500_sd:3.5,roll:5500_sd:3.75,roll:5500_sd:4.0,roll:6000_sd:0.5,roll:6000_sd:0.75,roll:6000_sd:1.0,roll:6000_sd:1.25,roll:6000_sd:1.5,roll:6000_sd:1.75,roll:6000_sd:2.0,roll:6000_sd:2.25,roll:6000_sd:2.5,roll:6000_sd:2.75,roll:6000_sd:3.0,roll:6000_sd:3.25,roll:6000_sd:3.5,roll:6000_sd:3.75,roll:6000_sd:4.0,roll:6500_sd:0.5,roll:6500_sd:0.75,roll:6500_sd:1.0,roll:6500_sd:1.25,roll:6500_sd:1.5,roll:6500_sd:1.75,roll:6500_sd:2.0,roll:6500_sd:2.25,roll:6500_sd:2.5,roll:6500_sd:2.75,roll:6500_sd:3.0,roll:6500_sd:3.25,roll:6500_sd:3.5,roll:6500_sd:3.75,roll:6500_sd:4.0,roll:7000_sd:0.5,roll:7000_sd:0.75,roll:7000_sd:1.0,roll:7000_sd:1.25,roll:7000_sd:1.5,roll:7000_sd:1.75,roll:7000_sd:2.0,roll:7000_sd:2.25,roll:7000_sd:2.5,roll:7000_sd:2.75,roll:7000_sd:3.0,roll:7000_sd:3.25,roll:7000_sd:3.5,roll:7000_sd:3.75,roll:7000_sd:4.0,roll:7500_sd:0.5,roll:7500_sd:0.75,roll:7500_sd:1.0,roll:7500_sd:1.25,roll:7500_sd:1.5,roll:7500_sd:1.75,roll:7500_sd:2.0,roll:7500_sd:2.25,roll:7500_sd:2.5,roll:7500_sd:2.75,roll:7500_sd:3.0,roll:7500_sd:3.25,roll:7500_sd:3.5,roll:7500_sd:3.75,roll:7500_sd:4.0,roll:8000_sd:0.5,roll:8000_sd:0.75,roll:8000_sd:1.0,roll:8000_sd:1.25,roll:8000_sd:1.5,roll:8000_sd:1.75,roll:8000_sd:2.0,roll:8000_sd:2.25,roll:8000_sd:2.5,roll:8000_sd:2.75,roll:8000_sd:3.0,roll:8000_sd:3.25,roll:8000_sd:3.5,roll:8000_sd:3.75,roll:8000_sd:4.0
2015-01-05,8,8,8,8,8,8,8,8,7,6,4,4,3,1,0,6,6,6,6,6,6,6,4,4,4,4,3,1,1,1,6,6,6,6,6,4,4,3,3,3,3,3,1,0,0,6,6,6,6,6,4,3,3,3,3,3,3,1,0,0,5,5,5,5,5,5,3,3,3,3,3,2,1,0,0,5,5,5,5,5,5,3,3,3,3,3,1,1,1,0,5,5,5,5,5,5,3,3,3,3,3,1,1,1,0,5,5,5,5,5,5,3,3,3,3,1,1,0,0,0,5,5,5,5,5,5,3,3,3,1,1,1,0,0,0,10,10,10,10,10,10,10,10,10,9,4,4,3,3,1,5,5,5,5,5,5,5,3,3,1,1,1,0,0,0,5,5,5,5,5,5,5,3,1,1,1,1,1,0,0,5,5,5,5,5,5,4,1,1,1,1,1,1,0,0,5,5,5,5,5,3,1,1,1,1,1,1,1,0,0,3,3,3,3,3,3,1,1,1,1,1,1,1,1,0,3,3,3,3,3,3,3,1,1,1,1,1,1,0,0
2015-01-06,18,18,18,17,17,17,17,17,15,13,13,11,3,3,2,20,20,20,19,19,19,19,17,15,12,9,9,4,3,2,16,16,16,15,15,15,15,13,11,9,8,4,4,1,0,16,16,16,15,15,15,15,13,10,10,9,4,3,1,0,15,15,15,14,14,14,14,14,8,8,7,4,3,0,0,13,13,13,12,12,10,10,8,8,8,7,3,3,1,0,11,11,11,10,10,10,10,8,8,8,5,3,3,1,0,11,11,11,10,10,10,8,8,6,6,4,3,1,0,0,11,11,11,10,10,10,8,6,6,6,4,3,0,0,0,23,23,23,23,23,23,23,23,22,20,13,7,5,5,4,9,9,9,8,8,8,8,6,6,5,3,2,0,0,0,9,9,9,8,8,8,6,5,5,5,3,3,0,0,0,9,9,9,8,8,5,5,5,5,4,4,3,0,0,0,9,9,9,8,7,5,5,5,5,5,4,3,0,0,0,9,9,9,8,7,5,5,5,5,5,4,3,0,0,0,12,12,12,10,9,7,5,5,5,5,4,3,0,0,0
2015-01-07,18,18,18,17,17,17,17,17,15,13,8,4,3,0,0,16,16,16,15,15,15,15,14,13,11,7,6,3,2,0,16,16,16,15,15,15,15,15,11,9,9,5,3,2,1,14,14,14,13,13,13,13,11,9,9,7,3,1,1,1,12,12,12,11,11,10,10,9,9,9,6,3,1,1,0,12,12,12,11,11,10,10,9,9,9,5,4,1,1,0,12,12,12,11,11,10,10,9,9,7,5,3,2,1,1,12,12,12,11,11,10,10,9,9,7,5,3,1,0,0,12,12,12,11,11,10,10,9,7,7,4,2,1,0,0,17,17,17,16,16,16,16,16,15,13,5,5,3,1,1,10,10,10,9,9,8,8,7,7,6,3,2,1,0,0,10,10,10,9,9,8,8,7,7,5,2,0,0,0,0,10,10,10,9,9,8,8,7,6,4,2,0,0,0,0,10,10,10,9,9,8,8,7,5,3,1,0,0,0,0,9,9,9,8,8,7,7,6,5,3,0,0,0,0,0,8,8,8,7,7,6,6,5,4,3,0,0,0,0,0
2015-01-08,15,15,15,15,15,15,15,15,12,9,4,3,2,2,0,13,13,13,13,13,13,13,13,10,9,2,2,2,0,0,13,13,13,13,13,13,13,13,12,6,3,2,1,0,0,13,13,13,13,13,13,13,13,13,5,2,2,1,0,0,11,11,11,11,11,11,11,11,11,6,3,1,1,0,0,10,10,10,10,10,10,10,10,10,8,2,0,0,0,0,11,11,11,11,11,11,11,11,11,7,3,0,0,0,0,11,11,11,11,11,11,11,11,11,9,2,1,0,0,0,11,11,11,11,11,11,11,11,11,8,0,0,0,0,0,13,13,13,13,13,13,13,13,10,8,4,3,3,1,1,9,9,9,9,9,9,9,9,9,5,0,0,0,0,0,9,9,9,9,9,9,9,9,9,5,0,0,0,0,0,9,9,9,9,9,9,9,9,9,5,0,0,0,0,0,9,9,9,9,9,9,9,9,9,7,0,0,0,0,0,9,9,9,9,9,9,9,9,8,6,0,0,0,0,0,9,9,9,9,9,9,9,9,8,3,0,0,0,0,0
2015-01-09,23,23,23,23,23,23,23,23,17,13,10,3,1,1,1,23,23,23,23,23,23,23,22,15,13,8,5,2,1,1,25,25,25,25,25,24,23,23,20,12,7,5,2,2,1,28,28,28,28,28,28,26,26,21,10,7,2,2,1,0,26,26,26,26,26,26,26,24,22,7,6,2,2,1,0,26,26,26,26,26,26,26,22,14,8,3,2,2,1,0,24,24,24,24,24,24,24,22,19,10,3,2,1,1,0,25,25,25,25,25,25,25,25,14,7,3,2,1,0,0,23,23,23,23,23,23,23,21,15,6,3,2,2,0,0,22,22,22,22,22,22,22,22,18,16,8,3,2,1,1,19,19,19,19,19,19,19,19,14,5,3,2,1,0,0,19,19,19,19,19,19,19,19,13,5,3,2,2,0,0,18,18,18,18,18,18,18,18,13,5,3,2,2,0,0,16,16,16,16,16,16,16,16,12,5,3,2,2,0,0,16,16,16,16,16,16,16,16,13,5,4,2,2,0,0,16,16,16,16,16,16,16,16,13,9,4,2,2,0,0
2015-01-12,13,13,13,13,13,13,13,13,11,11,8,4,2,2,2,11,11,11,11,11,11,11,11,11,9,3,2,2,2,1,11,11,11,11,11,11,11,9,9,7,3,2,2,1,1,9,9,9,9,9,9,9,9,9,9,2,2,2,1,0,9,9,9,9,9,9,9,9,9,8,2,2,2,1,0,9,9,9,9,9,9,9,9,8,6,2,2,2,0,0,11,11,11,11,11,11,11,8,8,7,2,2,2,1,0,10,10,10,10,10,10,9,7,7,7,2,2,2,2,0,12,12,12,12,12,12,11,9,7,7,2,2,2,2,0,14,14,14,14,14,14,14,14,14,14,9,7,3,2,2,10,10,10,10,10,10,10,9,7,7,2,2,2,0,0,13,13,13,13,13,13,12,11,7,7,2,2,0,0,0,13,13,13,13,13,13,12,11,7,7,2,0,0,0,0,13,13,13,13,13,13,13,11,7,7,2,0,0,0,0,13,13,13,13,13,13,13,11,7,7,2,0,0,0,0,13,13,13,13,13,13,13,11,7,7,0,0,0,0,0
2015-01-13,22,22,22,22,22,22,22,20,14,8,6,4,2,1,1,18,18,18,18,18,18,17,15,13,7,7,3,1,0,0,17,17,17,17,17,17,17,15,9,9,6,3,0,0,0,15,15,15,15,15,15,15,13,12,7,4,1,0,0,0,15,15,15,15,15,15,15,13,12,6,4,1,0,0,0,15,15,15,15,15,15,15,13,10,6,3,1,0,0,0,16,16,16,16,16,15,15,12,8,6,3,1,0,0,0,17,17,17,17,17,15,15,11,6,6,3,1,0,0,0,17,17,17,17,17,17,15,11,8,5,3,0,0,0,0,23,23,23,23,23,23,23,20,18,15,9,6,3,2,1,17,17,17,17,17,17,15,11,9,3,1,0,0,0,0,17,17,17,17,17,17,15,10,6,3,1,0,0,0,0,17,17,17,17,17,17,17,10,3,3,1,0,0,0,0,17,17,17,17,17,17,13,11,3,3,1,0,0,0,0,17,17,17,17,17,15,13,11,3,3,1,0,0,0,0,17,17,17,17,17,13,13,11,3,3,1,0,0,0,0
2015-01-14,40,40,40,40,40,40,36,36,28,21,14,10,9,5,5,35,35,35,35,35,35,34,28,25,20,11,10,8,6,4,33,33,33,33,33,33,30,24,22,17,11,10,6,3,2,34,34,34,34,34,34,34,26,21,12,10,10,4,3,2,33,33,33,33,33,33,31,24,22,13,8,6,4,3,1,30,30,30,30,30,29,28,21,17,11,8,4,3,3,2,26,26,26,26,26,26,25,19,15,9,6,4,3,3,1,28,28,28,28,28,28,24,18,12,9,6,4,3,3,1,26,26,26,26,26,26,21,14,9,9,3,3,3,3,1,44,44,44,44,44,41,41,40,38,30,14,11,10,7,5,26,26,26,26,26,24,22,13,9,9,3,3,3,3,1,26,26,26,26,26,24,22,13,9,6,3,3,3,2,1,24,24,24,24,24,22,21,12,8,4,3,3,2,2,1,24,24,24,24,24,21,21,8,6,4,3,3,2,2,1,21,21,21,21,21,21,18,8,6,3,2,2,2,2,1,19,19,19,19,19,18,18,8,4,3,2,2,2,2,1
2015-01-15,52,50,46,44,42,41,38,38,34,28,19,10,7,5,4,51,47,41,38,36,36,34,32,31,23,12,10,5,4,4,50,46,40,38,35,33,33,31,27,20,10,8,6,4,4,49,45,39,37,34,34,33,29,26,20,14,7,5,3,3,47,43,37,35,30,30,30,27,24,20,12,9,4,3,3,45,41,35,33,28,28,28,25,20,18,11,8,4,4,3,41,37,31,29,24,24,24,19,18,16,11,8,6,4,3,41,37,31,29,24,24,20,19,18,14,11,8,6,4,3,41,37,31,29,24,22,19,19,18,11,9,7,6,6,3,58,56,52,52,48,47,45,45,40,34,26,14,11,6,6,41,37,31,27,21,21,19,19,14,9,7,7,6,6,3,46,42,36,31,26,26,24,24,12,9,7,7,6,5,3,46,42,36,31,26,26,24,24,11,9,7,6,5,5,3,42,38,32,27,22,22,20,18,8,7,7,6,5,5,3,42,38,32,27,22,22,20,18,8,7,7,6,5,5,4,42,38,32,27,22,20,18,16,7,7,7,5,5,5,5
2015-01-16,13,13,13,13,13,13,13,13,12,11,9,6,3,2,2,14,14,14,14,14,14,14,13,12,12,8,6,4,2,2,14,14,14,14,14,14,14,12,12,12,9,5,4,2,1,14,14,14,14,14,14,14,12,12,10,8,5,3,2,1,14,14,14,14,14,14,14,12,12,10,7,3,1,1,1,14,14,14,14,14,14,14,12,12,7,6,2,1,1,1,15,15,15,15,15,15,15,11,8,7,4,2,1,1,1,15,15,15,15,15,15,15,11,8,7,2,2,1,1,1,13,13,13,13,13,13,13,11,8,5,2,2,1,1,1,18,18,18,18,18,18,18,18,16,10,7,5,2,2,2,13,13,13,13,13,13,13,11,7,5,2,2,1,1,1,11,11,11,11,11,11,11,9,8,5,2,2,1,1,1,11,11,11,11,11,11,11,9,8,5,2,2,1,1,1,10,10,10,10,10,10,10,8,8,4,2,2,1,1,1,10,10,10,10,10,10,10,8,8,4,2,2,1,1,1,10,10,10,10,10,10,10,8,8,4,2,2,1,1,1
