,roll:1000_sd:0.5,roll:1000_sd:0.75,roll:1000_sd:1.0,roll:1000_sd:1.25,roll:1000_sd:1.5,roll:1000_sd:1.75,roll:1000_sd:2.0,roll:1000_sd:2.25,roll:1000_sd:2.5,roll:1000_sd:2.75,roll:1000_sd:3.0,roll:1000_sd:3.25,roll:1000_sd:3.5,roll:1000_sd:3.75,roll:1000_sd:4.0,roll:1500_sd:0.5,roll:1500_sd:0.75,roll:1500_sd:1.0,roll:1500_sd:1.25,roll:1500_sd:1.5,roll:1500_sd:1.75,roll:1500_sd:2.0,roll:1500_sd:2.25,roll:1500_sd:2.5,roll:1500_sd:2.75,roll:1500_sd:3.0,roll:1500_sd:3.25,roll:1500_sd:3.5,roll:1500_sd:3.75,roll:1500_sd:4.0,roll:2000_sd:0.5,roll:2000_sd:0.75,roll:2000_sd:1.0,roll:2000_sd:1.25,roll:2000_sd:1.5,roll:2000_sd:1.75,roll:2000_sd:2.0,roll:2000_sd:2.25,roll:2000_sd:2.5,roll:2000_sd:2.75,roll:2000_sd:3.0,roll:2000_sd:3.25,roll:2000_sd:3.5,roll:2000_sd:3.75,roll:2000_sd:4.0,roll:2500_sd:0.5,roll:2500_sd:0.75,roll:2500_sd:1.0,roll:2500_sd:1.25,roll:2500_sd:1.5,roll:2500_sd:1.75,roll:2500_sd:2.0,roll:2500_sd:2.25,roll:2500_sd:2.5,roll:2500_sd:2.75,roll:2500_sd:3.0,roll:2500_sd:3.25,roll:2500_sd:3.5,roll:2500_sd:3.75,roll:2500_sd:4.0,roll:3000_sd:0.5,roll:3000_sd:0.75,roll:3000_sd:1.0,roll:3000_sd:1.25,roll:3000_sd:1.5,roll:3000_sd:1.75,roll:3000_sd:2.0,roll:3000_sd:2.25,roll:3000_sd:2.5,roll:3000_sd:2.75,roll:3000_sd:3.0,roll:3000_sd:3.25,roll:3000_sd:3.5,roll:3000_sd:3.75,roll:3000_sd:4.0,roll:3500_sd:0.5,roll:3500_sd:0.75,roll:3500_sd:1.0,roll:3500_sd:1.25,roll:3500_sd:1.5,roll:3500_sd:1.75,roll:3500_sd:2.0,roll:3500_sd:2.25,roll:3500_sd:2.5,roll:3500_sd:2.75,roll:3500_sd:3.0,roll:3500_sd:3.25,roll:3500_sd:3.5,roll:3500_sd:3.75,roll:3500_sd:4.0,roll:4000_sd:0.5,roll:4000_sd:0.75,roll:4000_sd:1.0,roll:4000_sd:1.25,roll:4000_sd:1.5,roll:4000_sd:1.75,roll:4000_sd:2.0,roll:4000_sd:2.25,roll:4000_sd:2.5,roll:4000_sd:2.75,roll:4000_sd:3.0,roll:4000_sd:3.25,roll:4000_sd:3.5,roll:4000_sd:3.75,roll:4000_sd:4.0,roll:4500_sd:0.5,roll:4500_sd:0.75,roll:4500_sd:1.0,roll:4500_sd:1.25,roll:4500_sd:1.5,roll:4500_sd:1.75,roll:4500_sd:2.0,roll:4500_sd:2.25,roll:4500_sd:2.5,roll:4500_sd:2.75,roll:4500_sd:3.0,roll:4500_sd:3.25,roll:4500_sd:3.5,roll:4500_sd:3.75,roll:4500_sd:4.0,roll:5000_sd:0.5,roll:5000_sd:0.75,roll:5000_sd:1.0,roll:5000_sd:1.25,roll:5000_sd:1.5,roll:5000_sd:1.75,roll:5000_sd:2.0,roll:5000_sd:2.25,roll:5000_sd:2.5,roll:5000_sd:2.75,roll:5000_sd:3.0,roll:5000_sd:3.25,roll:5000_sd:3.5,roll:5000_sd:3.75,roll:5000_sd:4.0,roll:500_sd:0.5,roll:500_sd:0.75,roll:500_sd:1.0,roll:500_sd:1.25,roll:500_sd:1.5,roll:500_sd:1.75,roll:500_sd:2.0,roll:500_sd:2.25,roll:500_sd:2.5,roll:500_sd:2.75,roll:500_sd:3.0,roll:500_sd:3.25,roll:500_sd:3.5,roll:500_sd:3.75,roll:500_sd:4.0,roll:5500_sd:0.5,roll:5500_sd:0.75,roll:5500_sd:1.0,roll:5500_sd:1.25,roll:5500_sd:1.5,roll:5500_sd:1.75,roll:5500_sd:2.0,roll:5500_sd:2.25,roll:5500_sd:2.5,roll:5500_sd:2.75,roll:5500_sd:3.0,roll:5500_sd:3.25,roll:5500_sd:3.5,roll:5500_sd:3.75,roll:5500_sd:4.0,roll:6000_sd:0.5,roll:6000_sd:0.75,roll:6000_sd:1.0,roll:6000_sd:1.25,roll:6000_sd:1.5,roll:6000_sd:1.75,roll:6000_sd:2.0,roll:6000_sd:2.25,roll:6000_sd:2.5,roll:6000_sd:2.75,roll:6000_sd:3.0,roll:6000_sd:3.25,roll:6000_sd:3.5,roll:6000_sd:3.75,roll:6000_sd:4.0,roll:6500_sd:0.5,roll:6500_sd:0.75,roll:6500_sd:1.0,roll:6500_sd:1.25,roll:6500_sd:1.5,roll:6500_sd:1.75,roll:6500_sd:2.0,roll:6500_sd:2.25,roll:6500_sd:2.5,roll:6500_sd:2.75,roll:6500_sd:3.0,roll:6500_sd:3.25,roll:6500_sd:3.5,roll:6500_sd:3.75,roll:6500_sd:4.0,roll:7000_sd:0.5,roll:7000_sd:0.75,roll:7000_sd:1.0,roll:7000_sd:1.25,roll:7000_sd:1.5,roll:7000_sd:1.75,roll:7000_sd:2.0,roll:7000_sd:2.25,roll:7000_sd:2.5,roll:7000_sd:2.75,roll:7000_sd:3.0,roll:7000_sd:3.25,roll:7000_sd:3.5,roll:7000_sd:3.75,roll:7000_sd:4.0,roll:7500_sd:0.5,roll:7500_sd:0.75,roll:7500_sd:1.0,roll:7500_sd:1.25,roll:7500_sd:1.5,roll:7500_sd:1.75,roll:7500_sd:2.0,roll:7500_sd:2.25,roll:7500_sd:2.5,roll:7500_sd:2.75,roll:7500_sd:3.0,roll:7500_sd:3.25,roll:7500_sd:3.5,roll:7500_sd:3.75,roll:7500_sd:4.0,roll:8000_sd:0.5,roll:8000_sd:0.75,roll:8000_sd:1.0,roll:8000_sd:1.25,roll:8000_sd:1.5,roll:8000_sd:1.75,roll:8000_sd:2.0,roll:8000_sd:2.25,roll:8000_sd:2.5,roll:8000_sd:2.75,roll:8000_sd:3.0,roll:8000_sd:3.25,roll:8000_sd:3.5,roll:8000_sd:3.75,roll:8000_sd:4.0
2015-01-05,-129.0,-129.0,-129.0,-129.0,-129.0,-129.0,-129.0,-129.0,-148.0,-92.0,-105.0,-80.0,-49.0,-62.0,-6.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-155.0,-155.0,-130.0,-130.0,-149.0,-212.0,-6.0,-6.0,-117.0,-117.0,-117.0,-117.0,-117.0,-155.0,-155.0,-224.0,-199.0,-99.0,-74.0,-74.0,-56.0,-81.0,119.0,-117.0,-117.0,-117.0,-117.0,-117.0,-155.0,-224.0,-174.0,-149.0,-99.0,-74.0,-74.0,13.0,119.0,119.0,-186.0,-186.0,-186.0,-186.0,-186.0,-186.0,-224.0,-224.0,-149.0,-74.0,-74.0,-18.0,63.0,119.0,119.0,-186.0,-186.0,-186.0,-186.0,-186.0,-186.0,-224.0,-224.0,-149.0,-74.0,-24.0,38.0,169.0,169.0,119.0,-186.0,-186.0,-186.0,-186.0,-186.0,-186.0,-224.0,-224.0,-149.0,-74.0,-24.0,88.0,88.0,169.0,119.0,-186.0,-186.0,-186.0,-186.0,-186.0,-186.0,-224.0,-224.0,-149.0,-74.0,-112.0,88.0,119.0,119.0,119.0,-186.0,-186.0,-186.0,-186.0,-186.0,-186.0,-224.0,-224.0,-149.0,-162.0,-137.0,113.0,119.0,119.0,119.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-16.0,-60.0,-105.0,-105.0,-74.0,-43.0,-237.0,-186.0,-186.0,-186.0,-186.0,-186.0,-186.0,-186.0,-224.0,-149.0,-162.0,-162.0,169.0,119.0,119.0,119.0,-186.0,-186.0,-186.0,-186.0,-186.0,-186.0,-186.0,-224.0,-237.0,-162.0,-162.0,88.0,169.0,119.0,119.0,-186.0,-186.0,-186.0,-186.0,-186.0,-186.0,-205.0,-262.0,-237.0,-162.0,-162.0,88.0,169.0,119.0,119.0,-186.0,-186.0,-186.0,-186.0,-186.0,-224.0,-262.0,-262.0,-237.0,-162.0,-162.0,63.0,88.0,119.0,0.0,-224.0,-224.0,-224.0,-224.0,-224.0,-224.0,-262.0,-262.0,-212.0,-162.0,-162.0,38.0,88.0,169.0,0.0,-224.0,-224.0,-224.0,-224.0,-224.0,-224.0,-224.0,-262.0,-187.0,-162.0,-162.0,38.0,88.0,-81.0,0.0
2015-01-06,311.0,336.0,336.0,317.0,317.0,317.0,317.0,317.0,279.0,241.0,241.0,378.0,176.0,182.0,113.0,299.0,324.0,324.0,305.0,305.0,305.0,305.0,267.0,229.0,297.0,290.0,240.0,95.0,157.0,132.0,248.0,273.0,273.0,254.0,254.0,254.0,254.0,216.0,228.0,240.0,246.0,170.0,101.0,38.0,-6.0,223.0,248.0,248.0,229.0,229.0,229.0,229.0,216.0,234.0,334.0,290.0,176.0,26.0,19.0,-6.0,229.0,254.0,254.0,235.0,235.0,235.0,235.0,285.0,246.0,246.0,202.0,170.0,157.0,-6.0,0.0,191.0,216.0,216.0,197.0,197.0,159.0,159.0,121.0,246.0,246.0,202.0,126.0,101.0,38.0,0.0,153.0,178.0,178.0,159.0,159.0,159.0,159.0,171.0,246.0,246.0,114.0,126.0,101.0,38.0,0.0,203.0,228.0,228.0,209.0,209.0,209.0,196.0,221.0,158.0,183.0,170.0,126.0,-12.0,-6.0,-6.0,203.0,228.0,228.0,209.0,209.0,209.0,196.0,133.0,183.0,258.0,170.0,126.0,-31.0,-6.0,-6.0,231.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,262.0,324.0,366.0,308.0,220.0,220.0,251.0,140.0,165.0,165.0,146.0,146.0,146.0,196.0,183.0,183.0,214.0,126.0,57.0,-31.0,-6.0,-6.0,115.0,140.0,140.0,121.0,121.0,146.0,158.0,139.0,139.0,214.0,176.0,126.0,-31.0,-6.0,-6.0,115.0,140.0,140.0,121.0,146.0,64.0,114.0,139.0,139.0,220.0,195.0,126.0,-6.0,-6.0,-6.0,165.0,190.0,190.0,171.0,152.0,64.0,114.0,139.0,139.0,264.0,195.0,176.0,-6.0,-6.0,-6.0,165.0,190.0,190.0,171.0,152.0,64.0,114.0,139.0,164.0,239.0,195.0,226.0,-6.0,-6.0,-6.0,247.0,272.0,272.0,234.0,215.0,127.0,114.0,139.0,189.0,264.0,245.0,226.0,-6.0,-6.0,-6.0
2015-01-07,286.0,286.0,286.0,267.0,292.0,292.0,292.0,267.0,229.0,191.0,96.0,20.0,26.0,19.0,19.0,248.0,248.0,248.0,229.0,254.0,254.0,254.0,210.0,191.0,153.0,102.0,83.0,1.0,63.0,19.0,273.0,273.0,273.0,254.0,279.0,279.0,279.0,254.0,178.0,140.0,140.0,114.0,101.0,38.0,44.0,235.0,235.0,235.0,216.0,241.0,241.0,241.0,178.0,140.0,190.0,152.0,101.0,38.0,38.0,44.0,197.0,197.0,197.0,178.0,203.0,184.0,184.0,140.0,140.0,190.0,108.0,101.0,38.0,38.0,-31.0,197.0,197.0,197.0,178.0,203.0,184.0,184.0,140.0,140.0,190.0,89.0,120.0,38.0,38.0,-31.0,172.0,172.0,172.0,153.0,178.0,159.0,159.0,115.0,165.0,152.0,89.0,76.0,57.0,38.0,38.0,172.0,172.0,172.0,153.0,178.0,159.0,159.0,165.0,165.0,152.0,89.0,76.0,-12.0,-31.0,-31.0,172.0,172.0,172.0,153.0,178.0,159.0,159.0,165.0,127.0,152.0,70.0,32.0,-12.0,-31.0,-31.0,192.0,192.0,192.0,173.0,173.0,173.0,173.0,173.0,154.0,222.0,39.0,39.0,51.0,13.0,44.0,134.0,134.0,134.0,115.0,140.0,121.0,121.0,127.0,127.0,133.0,26.0,32.0,-12.0,-31.0,-31.0,109.0,109.0,109.0,90.0,115.0,96.0,96.0,102.0,102.0,114.0,7.0,-56.0,-31.0,-31.0,-31.0,109.0,109.0,109.0,90.0,115.0,96.0,96.0,102.0,83.0,95.0,7.0,-56.0,-31.0,-31.0,-31.0,109.0,109.0,109.0,90.0,115.0,96.0,96.0,102.0,64.0,51.0,-37.0,-56.0,-31.0,-31.0,-31.0,90.0,90.0,90.0,71.0,96.0,77.0,77.0,83.0,64.0,51.0,-56.0,-56.0,-31.0,-31.0,-31.0,71.0,71.0,71.0,52.0,77.0,58.0,58.0,64.0,45.0,51.0,-56.0,-56.0,-31.0,-31.0,-31.0
2015-01-08,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,147.0,90.0,20.0,1.0,-18.0,38.0,-56.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,109.0,90.0,-43.0,-18.0,-18.0,-56.0,-56.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,147.0,33.0,1.0,38.0,13.0,-56.0,0.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,14.0,-18.0,-18.0,13.0,-56.0,0.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,33.0,1.0,13.0,13.0,-56.0,0.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,71.0,-18.0,-56.0,-56.0,-56.0,-56.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,52.0,1.0,-56.0,-56.0,-56.0,0.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,90.0,-18.0,13.0,-56.0,-56.0,0.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,71.0,-56.0,-56.0,-56.0,-56.0,0.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,34.0,21.0,20.0,1.0,57.0,-37.0,19.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,14.0,-56.0,-56.0,-56.0,-56.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,14.0,-56.0,-56.0,-56.0,-56.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,14.0,-56.0,-56.0,-56.0,-56.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,52.0,-56.0,-56.0,-56.0,-56.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,71.0,33.0,-56.0,-56.0,-56.0,-56.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,71.0,-24.0,-56.0,-56.0,-56.0,-56.0,0.0
2015-01-09,506.0,506.0,506.0,506.0,506.0,506.0,581.0,656.0,392.0,316.0,259.0,51.0,-12.0,-37.0,-37.0,481.0,481.0,481.0,481.0,481.0,481.0,506.0,512.0,329.0,366.0,271.0,89.0,63.0,-37.0,-37.0,519.0,519.0,519.0,519.0,519.0,500.0,506.0,531.0,449.0,322.0,252.0,189.0,182.0,188.0,113.0,576.0,576.0,576.0,576.0,576.0,576.0,563.0,588.0,543.0,309.0,252.0,32.0,32.0,-12.0,44.0,538.0,538.0,538.0,538.0,538.0,538.0,563.0,550.0,562.0,252.0,233.0,32.0,32.0,113.0,44.0,538.0,538.0,538.0,538.0,538.0,538.0,563.0,512.0,385.0,271.0,76.0,32.0,32.0,113.0,44.0,500.0,500.0,500.0,500.0,500.0,500.0,525.0,512.0,480.0,309.0,76.0,32.0,-12.0,113.0,44.0,519.0,519.0,519.0,519.0,519.0,519.0,544.0,569.0,385.0,252.0,76.0,32.0,138.0,44.0,44.0,481.0,481.0,481.0,481.0,481.0,481.0,506.0,493.0,429.0,233.0,76.0,32.0,163.0,44.0,44.0,362.0,362.0,362.0,362.0,362.0,462.0,537.0,562.0,361.0,298.0,221.0,126.0,188.0,138.0,163.0,430.0,430.0,430.0,430.0,430.0,430.0,455.0,480.0,360.0,214.0,76.0,32.0,-12.0,44.0,44.0,430.0,430.0,430.0,430.0,430.0,430.0,455.0,480.0,341.0,214.0,76.0,32.0,63.0,44.0,44.0,411.0,411.0,411.0,411.0,411.0,411.0,436.0,461.0,341.0,214.0,76.0,32.0,32.0,44.0,44.0,373.0,373.0,373.0,373.0,373.0,373.0,398.0,423.0,322.0,214.0,76.0,32.0,32.0,44.0,44.0,373.0,373.0,373.0,373.0,373.0,373.0,398.0,423.0,391.0,214.0,95.0,32.0,32.0,44.0,44.0,373.0,373.0,373.0,373.0,373.0,373.0,398.0,423.0,391.0,315.0,95.0,32.0,182.0,44.0,44.0
2015-01-12,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,103.0,103.0,146.0,120.0,57.0,57.0,57.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,128.0,128.0,115.0,51.0,57.0,57.0,57.0,13.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,115.0,115.0,77.0,26.0,57.0,57.0,13.0,13.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,7.0,7.0,57.0,13.0,-31.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,96.0,7.0,57.0,57.0,13.0,-31.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,96.0,58.0,32.0,57.0,57.0,-31.0,-31.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,96.0,96.0,77.0,32.0,57.0,57.0,13.0,-31.0,134.0,134.0,134.0,134.0,134.0,134.0,115.0,77.0,77.0,77.0,57.0,57.0,57.0,57.0,-31.0,172.0,172.0,172.0,172.0,172.0,172.0,153.0,115.0,77.0,77.0,57.0,57.0,57.0,57.0,-31.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,115.0,102.0,26.0,32.0,57.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,115.0,77.0,77.0,57.0,57.0,57.0,-31.0,-31.0,191.0,191.0,191.0,191.0,191.0,191.0,172.0,153.0,77.0,77.0,57.0,57.0,-31.0,-31.0,-31.0,191.0,191.0,191.0,191.0,191.0,191.0,172.0,153.0,77.0,77.0,57.0,-31.0,-31.0,-31.0,-31.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,153.0,77.0,77.0,57.0,-31.0,-31.0,-31.0,-31.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,153.0,77.0,127.0,57.0,-31.0,-31.0,-31.0,-31.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,153.0,102.0,127.0,-31.0,-31.0,-31.0,-31.0,-31.0
2015-01-13,318.0,318.0,318.0,318.0,318.0,318.0,318.0,280.0,260.0,171.0,133.0,70.0,107.0,63.0,63.0,292.0,292.0,292.0,292.0,292.0,292.0,267.0,279.0,241.0,183.0,183.0,26.0,-12.0,-56.0,-6.0,267.0,267.0,267.0,267.0,267.0,267.0,317.0,279.0,215.0,215.0,133.0,26.0,-31.0,-6.0,-6.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,241.0,247.0,152.0,45.0,-12.0,-31.0,-6.0,-6.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,241.0,247.0,83.0,95.0,13.0,-56.0,-31.0,-6.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,241.0,159.0,83.0,76.0,13.0,-31.0,-6.0,-6.0,298.0,298.0,298.0,298.0,298.0,279.0,279.0,203.0,121.0,83.0,76.0,13.0,-31.0,-31.0,-6.0,323.0,323.0,323.0,323.0,323.0,279.0,279.0,153.0,83.0,83.0,51.0,13.0,-31.0,-31.0,-6.0,323.0,323.0,323.0,323.0,323.0,323.0,279.0,153.0,121.0,64.0,26.0,-31.0,-31.0,-31.0,-31.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,249.0,236.0,254.0,140.0,83.0,101.0,57.0,38.0,323.0,323.0,323.0,323.0,323.0,323.0,279.0,153.0,140.0,26.0,-12.0,-31.0,-31.0,-31.0,-31.0,323.0,323.0,323.0,323.0,323.0,323.0,279.0,134.0,83.0,26.0,13.0,-31.0,-31.0,-31.0,-31.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,134.0,26.0,76.0,13.0,-31.0,-31.0,-31.0,-31.0,323.0,323.0,323.0,323.0,323.0,323.0,191.0,153.0,26.0,76.0,13.0,-31.0,-31.0,-31.0,-6.0,323.0,323.0,323.0,323.0,323.0,260.0,191.0,153.0,76.0,76.0,13.0,-31.0,-31.0,-31.0,-6.0,323.0,323.0,323.0,323.0,323.0,191.0,191.0,153.0,76.0,76.0,13.0,-31.0,-31.0,-31.0,-6.0
2015-01-14,729.0,729.0,729.0,729.0,729.0,729.0,703.0,703.0,601.0,568.0,435.0,384.0,315.0,189.0,289.0,634.0,634.0,634.0,634.0,634.0,634.0,615.0,551.0,544.0,524.0,353.0,334.0,396.0,383.0,320.0,602.0,602.0,602.0,602.0,602.0,602.0,545.0,481.0,493.0,467.0,328.0,309.0,283.0,126.0,57.0,565.0,565.0,565.0,565.0,565.0,565.0,565.0,463.0,393.0,322.0,309.0,359.0,170.0,251.0,107.0,546.0,546.0,546.0,546.0,546.0,546.0,508.0,400.0,387.0,266.0,221.0,133.0,145.0,151.0,88.0,489.0,489.0,489.0,489.0,489.0,470.0,451.0,343.0,292.0,203.0,221.0,120.0,151.0,226.0,107.0,363.0,363.0,363.0,363.0,363.0,363.0,419.0,305.0,179.0,115.0,108.0,120.0,151.0,201.0,88.0,401.0,401.0,401.0,401.0,401.0,401.0,350.0,261.0,122.0,115.0,114.0,145.0,151.0,201.0,88.0,338.0,338.0,338.0,338.0,338.0,363.0,268.0,135.0,15.0,115.0,26.0,101.0,151.0,151.0,88.0,605.0,605.0,605.0,605.0,605.0,598.0,598.0,579.0,716.0,689.0,385.0,378.0,409.0,202.0,139.0,338.0,338.0,338.0,338.0,338.0,325.0,287.0,91.0,15.0,165.0,51.0,101.0,101.0,151.0,69.0,338.0,338.0,338.0,338.0,338.0,325.0,287.0,91.0,65.0,58.0,51.0,101.0,101.0,32.0,19.0,300.0,300.0,300.0,300.0,300.0,262.0,268.0,122.0,71.0,20.0,51.0,101.0,-18.0,113.0,19.0,300.0,300.0,300.0,300.0,300.0,243.0,268.0,21.0,33.0,20.0,51.0,101.0,-18.0,113.0,19.0,243.0,243.0,243.0,243.0,243.0,293.0,236.0,46.0,33.0,51.0,-68.0,-18.0,-18.0,113.0,19.0,205.0,205.0,205.0,205.0,205.0,211.0,236.0,71.0,-5.0,51.0,-68.0,-18.0,63.0,113.0,19.0
2015-01-15,1957.0,2019.0,1743.0,1580.0,1092.0,1373.0,1366.0,1516.0,840.0,801.0,705.0,609.0,477.0,464.0,445.0,2163.0,2187.0,1898.0,1691.0,1203.0,1278.0,1240.0,1352.0,958.0,706.0,597.0,634.0,520.0,470.0,495.0,2294.0,2318.0,2054.0,1891.0,1434.0,1421.0,1421.0,1533.0,807.0,699.0,559.0,571.0,558.0,495.0,495.0,2275.0,2299.0,2035.0,1872.0,1415.0,1440.0,1371.0,1395.0,788.0,674.0,735.0,577.0,489.0,426.0,426.0,2262.0,2286.0,2022.0,1859.0,1314.0,1339.0,1289.0,1432.0,725.0,724.0,697.0,715.0,445.0,426.0,426.0,2224.0,2248.0,1984.0,1821.0,1276.0,1301.0,1251.0,1394.0,649.0,661.0,653.0,671.0,445.0,470.0,426.0,2098.0,2122.0,1858.0,1695.0,1150.0,1175.0,1125.0,1130.0,561.0,623.0,703.0,671.0,583.0,445.0,426.0,2098.0,2122.0,1858.0,1695.0,1150.0,1175.0,949.0,1130.0,611.0,560.0,703.0,671.0,583.0,445.0,451.0,2148.0,2172.0,1908.0,1745.0,1200.0,1187.0,980.0,1180.0,611.0,503.0,665.0,602.0,583.0,583.0,451.0,2071.0,2083.0,1807.0,1757.0,1256.0,1287.0,1274.0,1474.0,954.0,865.0,738.0,660.0,628.0,483.0,533.0,2148.0,2172.0,1908.0,1707.0,1143.0,1168.0,980.0,1180.0,535.0,415.0,552.0,602.0,583.0,639.0,451.0,2293.0,2317.0,2053.0,1833.0,1288.0,1313.0,1175.0,1325.0,497.0,415.0,552.0,652.0,583.0,589.0,451.0,2243.0,2267.0,2003.0,1783.0,1238.0,1288.0,1125.0,1275.0,478.0,415.0,577.0,583.0,564.0,589.0,451.0,2117.0,2141.0,1877.0,1657.0,1162.0,1187.0,999.0,1061.0,371.0,377.0,602.0,583.0,564.0,589.0,451.0,2117.0,2141.0,1877.0,1657.0,1162.0,1187.0,999.0,1061.0,402.0,377.0,627.0,608.0,564.0,589.0,551.0,2067.0,2091.0,1827.0,1607.0,1112.0,1149.0,961.0,1023.0,327.0,402.0,602.0,564.0,564.0,589.0,589.0
2015-01-16,116.0,116.0,116.0,116.0,116.0,141.0,166.0,166.0,147.0,228.0,190.0,133.0,101.0,32.0,57.0,135.0,135.0,135.0,135.0,135.0,160.0,185.0,166.0,222.0,247.0,171.0,158.0,120.0,57.0,32.0,160.0,160.0,160.0,160.0,160.0,185.0,210.0,197.0,247.0,247.0,215.0,89.0,95.0,32.0,13.0,235.0,235.0,235.0,235.0,235.0,260.0,285.0,272.0,247.0,209.0,196.0,139.0,51.0,32.0,38.0,235.0,235.0,235.0,235.0,235.0,260.0,285.0,272.0,247.0,234.0,177.0,76.0,13.0,13.0,38.0,235.0,235.0,235.0,235.0,235.0,260.0,285.0,272.0,247.0,177.0,158.0,57.0,13.0,38.0,38.0,254.0,254.0,254.0,254.0,254.0,279.0,304.0,253.0,171.0,177.0,120.0,57.0,38.0,38.0,38.0,254.0,254.0,254.0,254.0,254.0,279.0,304.0,253.0,171.0,177.0,32.0,82.0,13.0,38.0,38.0,216.0,216.0,216.0,216.0,216.0,241.0,266.0,253.0,196.0,139.0,32.0,82.0,13.0,38.0,38.0,136.0,136.0,136.0,136.0,136.0,161.0,186.0,186.0,123.0,59.0,77.0,89.0,32.0,32.0,57.0,216.0,216.0,216.0,216.0,216.0,241.0,266.0,253.0,177.0,139.0,32.0,82.0,13.0,38.0,38.0,178.0,178.0,178.0,178.0,178.0,203.0,228.0,215.0,196.0,139.0,32.0,82.0,38.0,38.0,38.0,178.0,178.0,178.0,178.0,178.0,203.0,228.0,215.0,171.0,139.0,32.0,82.0,38.0,38.0,38.0,159.0,159.0,159.0,159.0,159.0,184.0,209.0,196.0,171.0,120.0,32.0,107.0,38.0,38.0,38.0,159.0,159.0,159.0,159.0,159.0,184.0,209.0,196.0,171.0,120.0,57.0,107.0,38.0,38.0,38.0,159.0,159.0,159.0,159.0,159.0,184.0,209.0,196.0,171.0,120.0,57.0,107.0,38.0,38.0,38.0
