,roll:1000_sd:0.5,roll:1000_sd:0.75,roll:1000_sd:1.0,roll:1000_sd:1.25,roll:1000_sd:1.5,roll:1000_sd:1.75,roll:1000_sd:2.0,roll:1000_sd:2.25,roll:1000_sd:2.5,roll:1000_sd:2.75,roll:1000_sd:3.0,roll:1000_sd:3.25,roll:1000_sd:3.5,roll:1000_sd:3.75,roll:1000_sd:4.0,roll:1500_sd:0.5,roll:1500_sd:0.75,roll:1500_sd:1.0,roll:1500_sd:1.25,roll:1500_sd:1.5,roll:1500_sd:1.75,roll:1500_sd:2.0,roll:1500_sd:2.25,roll:1500_sd:2.5,roll:1500_sd:2.75,roll:1500_sd:3.0,roll:1500_sd:3.25,roll:1500_sd:3.5,roll:1500_sd:3.75,roll:1500_sd:4.0,roll:2000_sd:0.5,roll:2000_sd:0.75,roll:2000_sd:1.0,roll:2000_sd:1.25,roll:2000_sd:1.5,roll:2000_sd:1.75,roll:2000_sd:2.0,roll:2000_sd:2.25,roll:2000_sd:2.5,roll:2000_sd:2.75,roll:2000_sd:3.0,roll:2000_sd:3.25,roll:2000_sd:3.5,roll:2000_sd:3.75,roll:2000_sd:4.0,roll:2500_sd:0.5,roll:2500_sd:0.75,roll:2500_sd:1.0,roll:2500_sd:1.25,roll:2500_sd:1.5,roll:2500_sd:1.75,roll:2500_sd:2.0,roll:2500_sd:2.25,roll:2500_sd:2.5,roll:2500_sd:2.75,roll:2500_sd:3.0,roll:2500_sd:3.25,roll:2500_sd:3.5,roll:2500_sd:3.75,roll:2500_sd:4.0,roll:3000_sd:0.5,roll:3000_sd:0.75,roll:3000_sd:1.0,roll:3000_sd:1.25,roll:3000_sd:1.5,roll:3000_sd:1.75,roll:3000_sd:2.0,roll:3000_sd:2.25,roll:3000_sd:2.5,roll:3000_sd:2.75,roll:3000_sd:3.0,roll:3000_sd:3.25,roll:3000_sd:3.5,roll:3000_sd:3.75,roll:3000_sd:4.0,roll:3500_sd:0.5,roll:3500_sd:0.75,roll:3500_sd:1.0,roll:3500_sd:1.25,roll:3500_sd:1.5,roll:3500_sd:1.75,roll:3500_sd:2.0,roll:3500_sd:2.25,roll:3500_sd:2.5,roll:3500_sd:2.75,roll:3500_sd:3.0,roll:3500_sd:3.25,roll:3500_sd:3.5,roll:3500_sd:3.75,roll:3500_sd:4.0,roll:4000_sd:0.5,roll:4000_sd:0.75,roll:4000_sd:1.0,roll:4000_sd:1.25,roll:4000_sd:1.5,roll:4000_sd:1.75,roll:4000_sd:2.0,roll:4000_sd:2.25,roll:4000_sd:2.5,roll:4000_sd:2.75,roll:4000_sd:3.0,roll:4000_sd:3.25,roll:4000_sd:3.5,roll:4000_sd:3.75,roll:4000_sd:4.0,roll:4500_sd:0.5,roll:4500_sd:0.75,roll:4500_sd:1.0,roll:4500_sd:1.25,roll:4500_sd:1.5,roll:4500_sd:1.75,roll:4500_sd:2.0,roll:4500_sd:2.25,roll:4500_sd:2.5,roll:4500_sd:2.75,roll:4500_sd:3.0,roll:4500_sd:3.25,roll:4500_sd:3.5,roll:4500_sd:3.75,roll:4500_sd:4.0,roll:5000_sd:0.5,roll:5000_sd:0.75,roll:5000_sd:1.0,roll:5000_sd:1.25,roll:5000_sd:1.5,roll:5000_sd:1.75,roll:5000_sd:2.0,roll:5000_sd:2.25,roll:5000_sd:2.5,roll:5000_sd:2.75,roll:5000_sd:3.0,roll:5000_sd:3.25,roll:5000_sd:3.5,roll:5000_sd:3.75,roll:5000_sd:4.0,roll:500_sd:0.5,roll:500_sd:0.75,roll:500_sd:1.0,roll:500_sd:1.25,roll:500_sd:1.5,roll:500_sd:1.75,roll:500_sd:2.0,roll:500_sd:2.25,roll:500_sd:2.5,roll:500_sd:2.75,roll:500_sd:3.0,roll:500_sd:3.25,roll:500_sd:3.5,roll:500_sd:3.75,roll:500_sd:4.0
2015-01-05,3,3,3,3,3,3,3,3,3,2,2,1,0,0,0,3,3,3,3,3,2,2,2,1,1,1,1,0,0,0,3,3,3,3,2,2,2,1,0,0,0,0,0,0,0,3,3,3,3,2,2,2,1,1,1,1,0,0,0,0,3,3,3,2,2,2,2,2,1,1,1,1,0,0,0,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,5,5,5,5,5,4,4,4,4,4,4,4,4,2,1,5,5,5,5,5,4,4,3,2,2,2,2,2,2,2,5,5,5,5,4,4,4,4,3,2,2,2,2,2,2,5,5,5,5,4,4,4,4,4,3,2,2,2,2,2,5,5,5,5,4,4,4,4,4,4,3,2,2,2,2,5,5,5,5,4,4,4,4,4,4,4,2,2,2,2,5,5,5,5,4,4,4,4,4,4,4,4,2,2,2,5,5,5,5,4,4,4,4,4,4,4,4,3,2,1,5,5,5,5,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2
2015-01-07,12,12,12,12,12,10,8,8,8,7,7,7,7,6,5,10,10,10,10,10,10,10,8,8,8,8,7,7,7,5,10,10,10,10,10,10,10,9,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,7,7,7,7,7,5,10,10,10,10,10,10,8,8,8,8,7,7,7,7,5,9,9,9,9,9,7,7,7,7,7,7,7,7,7,5,9,9,9,9,9,9,7,7,7,7,7,7,7,5,5,11,11,11,11,11,11,9,9,9,9,9,7,7,2,0,11,11,11,11,11,11,11,9,9,9,9,7,5,1,0,12,12,12,11,11,8,8,8,8,7,7,5,5,3,3
2015-01-08,8,8,8,8,8,8,8,6,6,4,4,4,4,4,3,8,8,8,8,8,8,8,6,6,6,6,4,3,3,3,8,8,8,8,8,8,8,6,6,6,5,5,5,3,3,8,8,8,8,8,8,8,8,6,6,5,5,5,4,1,8,8,8,8,8,7,7,7,7,5,5,5,4,3,2,8,8,8,8,8,7,7,7,7,7,5,4,4,3,1,10,10,10,10,10,9,9,7,7,7,5,5,4,2,2,10,10,10,10,10,9,9,7,7,7,5,5,5,3,2,10,10,10,10,10,9,9,7,7,7,7,5,4,4,2,10,10,10,8,8,6,6,6,6,6,6,3,3,3,3
2015-01-09,6,6,6,6,6,6,4,4,4,4,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,5,4,4,2,2,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,6,6,6,6,6,6,6,6,5,5,5,3,3,3,2,6,6,6,6,6,6,6,6,5,5,5,3,3,3,3,6,6,6,6,6,6,6,5,5,5,3,3,3,2,2,6,6,6,6,6,6,6,5,5,5,3,3,3,2,2,6,6,6,6,6,6,6,5,3,3,3,3,3,2,2,6,6,6,6,6,6,6,6,3,3,3,3,3,2,2,7,6,5,5,5,5,5,5,4,3,2,2,2,2,2
2015-01-12,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0
2015-01-13,4,4,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,2,2,0,0,0,3,3,3,3,3,3,3,3,3,3,2,2,1,0,0,5,5,5,5,5,5,5,5,5,5,4,2,2,0,0,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1,6,6,5,5,5,5,5,3,3,3,3,0,0,0,0,6,6,5,5,5,5,3,3,3,1,0,0,0,0,0,4,4,3,3,3,3,1,1,1,1,0,0,0,0,0,7,7,7,6,4,3,3,2,2,2,2,2,2,1,1
2015-01-14,9,9,9,9,9,9,9,7,7,7,7,5,3,3,3,14,14,14,13,13,13,12,10,9,8,7,6,5,3,2,14,14,14,14,12,11,11,10,8,7,7,6,5,3,2,14,14,14,14,12,12,11,9,7,7,7,6,4,3,2,14,14,14,14,12,12,12,8,7,5,5,3,3,2,2,14,14,14,14,12,12,12,5,5,4,3,3,2,2,2,13,13,13,13,12,12,8,4,4,4,3,2,2,2,2,13,12,11,11,10,10,6,4,4,4,3,2,2,2,2,13,12,11,11,10,8,6,4,4,4,2,2,2,2,2,6,6,5,5,5,5,5,4,4,4,4,4,4,3,2
2015-01-15,4,4,4,4,3,3,2,2,0,0,0,0,0,0,0,4,4,4,4,3,3,3,2,0,0,0,0,0,0,0,4,4,4,4,3,3,3,2,2,2,0,0,0,0,0,4,4,3,3,3,3,3,3,2,2,2,0,0,0,0,4,4,3,3,3,3,3,3,3,2,2,2,0,0,0,4,4,3,3,3,3,3,3,3,3,2,2,2,0,0,4,4,3,3,3,3,3,3,3,3,3,2,2,1,0,4,4,3,3,3,3,3,3,3,3,3,3,2,2,0,4,4,3,3,3,3,3,3,3,3,3,3,2,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1
2015-01-16,8,8,8,8,8,7,3,2,2,2,2,2,2,2,2,8,8,8,8,8,5,3,2,2,2,2,2,2,2,2,8,8,8,8,6,5,3,3,2,2,2,2,2,2,2,8,8,8,8,6,6,3,3,3,2,2,2,2,2,2,8,8,8,8,6,6,5,3,3,2,2,2,2,2,2,8,8,8,8,6,5,5,3,3,2,2,2,2,2,2,8,8,8,6,6,5,5,3,3,2,2,2,2,2,2,8,8,8,6,5,5,5,3,3,2,2,2,2,2,2,8,8,8,6,5,5,4,2,2,2,2,2,2,2,2,7,6,6,6,6,5,5,5,4,3,3,2,2,2,2
