,roll:1000_sd:0.5,roll:1000_sd:0.75,roll:1000_sd:1.0,roll:1000_sd:1.25,roll:1000_sd:1.5,roll:1000_sd:1.75,roll:1000_sd:2.0,roll:1000_sd:2.25,roll:1000_sd:2.5,roll:1000_sd:2.75,roll:1000_sd:3.0,roll:1000_sd:3.25,roll:1000_sd:3.5,roll:1000_sd:3.75,roll:1000_sd:4.0,roll:1500_sd:0.5,roll:1500_sd:0.75,roll:1500_sd:1.0,roll:1500_sd:1.25,roll:1500_sd:1.5,roll:1500_sd:1.75,roll:1500_sd:2.0,roll:1500_sd:2.25,roll:1500_sd:2.5,roll:1500_sd:2.75,roll:1500_sd:3.0,roll:1500_sd:3.25,roll:1500_sd:3.5,roll:1500_sd:3.75,roll:1500_sd:4.0,roll:2000_sd:0.5,roll:2000_sd:0.75,roll:2000_sd:1.0,roll:2000_sd:1.25,roll:2000_sd:1.5,roll:2000_sd:1.75,roll:2000_sd:2.0,roll:2000_sd:2.25,roll:2000_sd:2.5,roll:2000_sd:2.75,roll:2000_sd:3.0,roll:2000_sd:3.25,roll:2000_sd:3.5,roll:2000_sd:3.75,roll:2000_sd:4.0,roll:2500_sd:0.5,roll:2500_sd:0.75,roll:2500_sd:1.0,roll:2500_sd:1.25,roll:2500_sd:1.5,roll:2500_sd:1.75,roll:2500_sd:2.0,roll:2500_sd:2.25,roll:2500_sd:2.5,roll:2500_sd:2.75,roll:2500_sd:3.0,roll:2500_sd:3.25,roll:2500_sd:3.5,roll:2500_sd:3.75,roll:2500_sd:4.0,roll:3000_sd:0.5,roll:3000_sd:0.75,roll:3000_sd:1.0,roll:3000_sd:1.25,roll:3000_sd:1.5,roll:3000_sd:1.75,roll:3000_sd:2.0,roll:3000_sd:2.25,roll:3000_sd:2.5,roll:3000_sd:2.75,roll:3000_sd:3.0,roll:3000_sd:3.25,roll:3000_sd:3.5,roll:3000_sd:3.75,roll:3000_sd:4.0,roll:3500_sd:0.5,roll:3500_sd:0.75,roll:3500_sd:1.0,roll:3500_sd:1.25,roll:3500_sd:1.5,roll:3500_sd:1.75,roll:3500_sd:2.0,roll:3500_sd:2.25,roll:3500_sd:2.5,roll:3500_sd:2.75,roll:3500_sd:3.0,roll:3500_sd:3.25,roll:3500_sd:3.5,roll:3500_sd:3.75,roll:3500_sd:4.0,roll:4000_sd:0.5,roll:4000_sd:0.75,roll:4000_sd:1.0,roll:4000_sd:1.25,roll:4000_sd:1.5,roll:4000_sd:1.75,roll:4000_sd:2.0,roll:4000_sd:2.25,roll:4000_sd:2.5,roll:4000_sd:2.75,roll:4000_sd:3.0,roll:4000_sd:3.25,roll:4000_sd:3.5,roll:4000_sd:3.75,roll:4000_sd:4.0,roll:4500_sd:0.5,roll:4500_sd:0.75,roll:4500_sd:1.0,roll:4500_sd:1.25,roll:4500_sd:1.5,roll:4500_sd:1.75,roll:4500_sd:2.0,roll:4500_sd:2.25,roll:4500_sd:2.5,roll:4500_sd:2.75,roll:4500_sd:3.0,roll:4500_sd:3.25,roll:4500_sd:3.5,roll:4500_sd:3.75,roll:4500_sd:4.0,roll:5000_sd:0.5,roll:5000_sd:0.75,roll:5000_sd:1.0,roll:5000_sd:1.25,roll:5000_sd:1.5,roll:5000_sd:1.75,roll:5000_sd:2.0,roll:5000_sd:2.25,roll:5000_sd:2.5,roll:5000_sd:2.75,roll:5000_sd:3.0,roll:5000_sd:3.25,roll:5000_sd:3.5,roll:5000_sd:3.75,roll:5000_sd:4.0,roll:500_sd:0.5,roll:500_sd:0.75,roll:500_sd:1.0,roll:500_sd:1.25,roll:500_sd:1.5,roll:500_sd:1.75,roll:500_sd:2.0,roll:500_sd:2.25,roll:500_sd:2.5,roll:500_sd:2.75,roll:500_sd:3.0,roll:500_sd:3.25,roll:500_sd:3.5,roll:500_sd:3.75,roll:500_sd:4.0
2015-01-05,-106.666666667,-106.666666667,-106.666666667,-106.666666667,-6.66666666668,-6.66666666668,-6.66666666668,-6.66666666668,-6.66666666668,-40.0,-40.0,-90.0,,,,26.6666666667,26.6666666667,26.6666666667,26.6666666667,26.6666666667,35.0,35.0,35.0,9.99999999998,9.99999999998,9.99999999998,60.0,,,,10.0,10.0,10.0,10.0,-15.0,-15.0,-15.0,10.0,,,,,,,,10.0,10.0,10.0,10.0,-15.0,-15.0,-15.0,-40.0,-40.0,-40.0,-40.0,,,,,10.0,10.0,10.0,-15.0,-15.0,-15.0,-15.0,-15.0,-40.0,-40.0,-40.0,-40.0,,,,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-40.0,-40.0,-40.0,9.99999999998,9.99999999998,,,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,9.99999999998,9.99999999998,9.99999999998,9.99999999998,9.99999999998,,,9.99999999998,9.99999999998,9.99999999998,9.99999999998,9.99999999998,9.99999999998,9.99999999998,9.99999999998,-40.0,-40.0,-40.0,,,,,35.0,35.0,35.0,35.0,35.0,35.0,35.0,9.99999999998,9.99999999998,9.99999999998,9.99999999998,,,,,-90.0,-90.0,-90.0,,,,,,,,,,,,
2015-01-06,180.0,180.0,180.0,180.0,130.0,272.5,272.5,272.5,272.5,272.5,272.5,272.5,285.0,310.0,260.0,100.0,100.0,100.0,180.0,-300.0,272.5,322.5,260.0,135.0,135.0,160.0,210.0,185.0,185.0,185.0,60.0,60.0,60.0,80.0,272.5,272.5,272.5,322.5,260.0,135.0,160.0,210.0,185.0,185.0,185.0,80.0,80.0,80.0,80.0,172.5,272.5,272.5,272.5,322.5,260.0,135.0,185.0,210.0,185.0,185.0,80.0,80.0,80.0,80.0,172.5,172.5,272.5,272.5,272.5,322.5,260.0,185.0,210.0,185.0,185.0,80.0,80.0,80.0,80.0,172.5,172.5,272.5,272.5,272.5,322.5,322.5,135.0,185.0,210.0,185.0,80.0,80.0,80.0,80.0,172.5,172.5,172.5,272.5,272.5,272.5,322.5,322.5,135.0,185.0,235.0,80.0,80.0,80.0,80.0,172.5,172.5,172.5,222.5,272.5,272.5,272.5,322.5,293.333333333,185.0,310.0,80.0,80.0,80.0,80.0,172.5,172.5,172.5,172.5,272.5,272.5,272.5,297.5,347.5,385.0,285.0,-377.5,-40.0,-40.0,-40.0,10.0,97.5,172.5,172.5,172.5,172.5,326.666666667,326.666666667,326.666666667,310.0,310.0
2015-01-07,201.666666667,201.666666667,201.666666667,201.666666667,201.666666667,230.0,160.0,160.0,166.25,202.857142857,195.714285714,195.714285714,224.285714286,210.0,180.0,180.0,180.0,180.0,180.0,190.0,240.0,230.0,178.75,185.0,185.0,185.0,238.571428571,245.714285714,245.714285714,210.0,220.0,220.0,220.0,220.0,230.0,240.0,225.0,265.555555556,217.142857143,231.428571429,245.714285714,245.714285714,245.714285714,260.0,260.0,215.555555556,215.555555556,215.555555556,215.555555556,226.666666667,282.222222222,276.666666667,282.222222222,304.444444444,245.714285714,210.0,217.142857143,245.714285714,260.0,210.0,205.0,205.0,205.0,205.0,215.0,225.0,285.0,291.25,297.5,310.0,217.142857143,217.142857143,252.857142857,245.714285714,190.0,237.777777778,237.777777778,237.777777778,237.777777778,271.111111111,317.142857143,310.0,317.142857143,331.428571429,338.571428571,245.714285714,245.714285714,252.857142857,245.714285714,210.0,237.777777778,237.777777778,237.777777778,237.777777778,248.888888889,293.333333333,310.0,317.142857143,324.285714286,338.571428571,338.571428571,245.714285714,274.285714286,200.0,240.0,187.272727273,187.272727273,187.272727273,187.272727273,214.545454545,250.909090909,265.555555556,271.111111111,271.111111111,287.777777778,298.888888889,260.0,288.571428571,335.0,,178.181818182,178.181818182,178.181818182,178.181818182,187.272727273,232.727272727,255.454545455,271.111111111,271.111111111,282.222222222,287.777777778,274.285714286,240.0,260.0,,80.8333333333,80.8333333333,143.333333333,160.0,164.545454545,160.0,160.0,160.0,172.5,217.142857143,231.428571429,160.0,160.0,160.0,193.333333333
2015-01-08,178.75,178.75,178.75,178.75,178.75,178.75,191.25,218.333333333,235.0,235.0,235.0,235.0,260.0,260.0,310.0,178.75,178.75,178.75,178.75,178.75,178.75,191.25,218.333333333,218.333333333,218.333333333,235.0,235.0,243.333333333,243.333333333,243.333333333,166.25,166.25,166.25,166.25,166.25,178.75,178.75,201.666666667,201.666666667,218.333333333,230.0,240.0,230.0,226.666666667,276.666666667,147.5,147.5,147.5,147.5,147.5,160.0,191.25,191.25,201.666666667,201.666666667,240.0,240.0,280.0,260.0,210.0,178.75,178.75,178.75,178.75,185.0,188.571428571,202.857142857,202.857142857,231.428571429,240.0,240.0,240.0,247.5,276.666666667,235.0,178.75,178.75,178.75,178.75,178.75,188.571428571,195.714285714,195.714285714,210.0,245.714285714,240.0,247.5,247.5,276.666666667,360.0,135.0,135.0,135.0,135.0,135.0,143.333333333,143.333333333,195.714285714,210.0,231.428571429,220.0,240.0,297.5,285.0,285.0,145.0,145.0,145.0,145.0,145.0,143.333333333,143.333333333,195.714285714,195.714285714,224.285714286,220.0,260.0,260.0,310.0,285.0,135.0,135.0,135.0,135.0,135.0,132.222222222,143.333333333,181.428571429,181.428571429,202.857142857,260.0,260.0,322.5,322.5,285.0,185.0,185.0,185.0,228.75,228.75,235.0,235.0,235.0,235.0,235.0,235.0,243.333333333,243.333333333,243.333333333,260.0
2015-01-09,93.3333333333,93.3333333333,93.3333333333,93.3333333333,93.3333333333,126.666666667,110.0,110.0,110.0,110.0,160.0,160.0,160.0,210.0,210.0,85.0,85.0,85.0,85.0,85.0,85.0,101.666666667,118.333333333,118.333333333,135.0,110.0,72.5,72.5,160.0,210.0,85.0,85.0,85.0,85.0,85.0,85.0,101.666666667,85.0,118.333333333,118.333333333,110.0,110.0,93.3333333333,93.3333333333,110.0,85.0,85.0,85.0,85.0,85.0,85.0,101.666666667,101.666666667,180.0,140.0,140.0,110.0,110.0,93.3333333333,185.0,85.0,85.0,85.0,85.0,85.0,85.0,101.666666667,101.666666667,120.0,130.0,140.0,110.0,110.0,143.333333333,126.666666667,101.666666667,101.666666667,101.666666667,101.666666667,101.666666667,101.666666667,118.333333333,190.0,210.0,170.0,143.333333333,143.333333333,143.333333333,210.0,235.0,85.0,85.0,85.0,85.0,85.0,85.0,118.333333333,200.0,160.0,160.0,126.666666667,143.333333333,143.333333333,210.0,235.0,101.666666667,101.666666667,101.666666667,101.666666667,101.666666667,101.666666667,168.333333333,210.0,143.333333333,143.333333333,143.333333333,143.333333333,143.333333333,210.0,210.0,101.666666667,101.666666667,101.666666667,101.666666667,101.666666667,101.666666667,168.333333333,185.0,143.333333333,143.333333333,143.333333333,143.333333333,143.333333333,210.0,210.0,-125.714285714,-65.0,30.0,30.0,50.0,90.0,90.0,90.0,147.5,143.333333333,160.0,160.0,160.0,160.0,160.0
2015-01-12,-15.0,-15.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,,,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,,,,,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,,,,,,,35.0,35.0,35.0,60.0,60.0,60.0,60.0,60.0,60.0,,,,,,,35.0,35.0,35.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,,,,,,35.0,35.0,35.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,,,,,,35.0,35.0,35.0,35.0,60.0,60.0,60.0,60.0,60.0,60.0,,,,,,10.0,10.0,10.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,,,,,,10.0,60.0,60.0,60.0,,,,,,,,,,,,-15.0,-15.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,160.0,160.0,160.0,,
2015-01-13,72.5,72.5,210.0,210.0,285.0,285.0,285.0,385.0,360.0,660.0,410.0,410.0,410.0,410.0,410.0,210.0,210.0,210.0,285.0,285.0,285.0,285.0,235.0,285.0,285.0,,,,,,76.6666666667,76.6666666667,76.6666666667,126.666666667,176.666666667,176.666666667,176.666666667,110.0,110.0,210.0,185.0,235.0,,,,76.6666666667,76.6666666667,76.6666666667,176.666666667,176.666666667,176.666666667,76.6666666666,76.6666666666,76.6666666666,176.666666667,135.0,185.0,110.0,,,90.0,90.0,90.0,150.0,150.0,150.0,90.0,90.0,110.0,120.0,97.5,185.0,235.0,,,90.0,90.0,90.0,150.0,150.0,150.0,130.0,150.0,210.0,110.0,110.0,35.0,60.0,60.0,60.0,60.0,60.0,50.0,110.0,110.0,110.0,70.0,143.333333333,143.333333333,210.0,210.0,,,,,93.3333333333,93.3333333333,90.0,150.0,150.0,150.0,243.333333333,243.333333333,193.333333333,410.0,,,,,,85.0,85.0,76.6666666667,176.666666667,176.666666667,176.666666667,410.0,460.0,460.0,460.0,,,,,,2.85714285714,31.4285714286,31.4285714286,10.0,47.5,76.6666666667,76.6666666667,260.0,260.0,260.0,460.0,460.0,460.0,260.0,10.0
2015-01-14,65.5555555556,65.5555555556,87.7777777778,87.7777777778,93.3333333333,93.3333333333,93.3333333333,117.142857143,124.285714286,145.714285714,145.714285714,170.0,343.333333333,343.333333333,360.0,45.7142857143,45.7142857143,45.7142857143,63.8461538462,63.8461538462,63.8461538462,68.3333333333,95.0,104.444444444,128.75,145.714285714,151.666666667,180.0,243.333333333,285.0,45.7142857143,45.7142857143,52.8571428571,60.0,76.6666666667,78.1818181818,78.1818181818,60.0,78.75,81.4285714286,95.7142857143,126.666666667,130.0,160.0,160.0,38.5714285714,31.4285714286,38.5714285714,52.8571428571,60.0,51.6666666667,64.5454545455,43.3333333333,52.8571428571,52.8571428571,67.1428571429,110.0,72.5,93.3333333333,110.0,38.5714285714,38.5714285714,45.7142857143,60.0,68.3333333333,68.3333333333,76.6666666667,78.75,95.7142857143,110.0,110.0,110.0,126.666666667,135.0,135.0,52.8571428571,52.8571428571,60.0,81.4285714286,85.0,101.666666667,101.666666667,120.0,120.0,135.0,143.333333333,143.333333333,110.0,110.0,135.0,60.0,67.6923076923,67.6923076923,79.2307692308,93.3333333333,101.666666667,110.0,135.0,135.0,147.5,143.333333333,110.0,110.0,110.0,135.0,60.0,68.3333333333,69.0909090909,82.7272727273,100.0,110.0,126.666666667,122.5,147.5,147.5,143.333333333,110.0,110.0,110.0,135.0,52.3076923077,68.3333333333,69.0909090909,82.7272727273,100.0,122.5,160.0,135.0,147.5,147.5,110.0,110.0,110.0,135.0,135.0,43.3333333333,43.3333333333,100.0,120.0,150.0,150.0,150.0,172.5,172.5,172.5,172.5,172.5,260.0,276.666666667,360.0
2015-01-15,260.0,260.0,260.0,260.0,226.666666667,260.0,310.0,310.0,,,,,,,,247.5,247.5,247.5,247.5,210.0,210.0,260.0,310.0,,,,,,,,247.5,247.5,235.0,247.5,210.0,210.0,210.0,285.0,310.0,310.0,,,,,,247.5,247.5,210.0,210.0,210.0,210.0,210.0,243.333333333,285.0,310.0,310.0,,,,,197.5,197.5,143.333333333,143.333333333,143.333333333,210.0,210.0,260.0,226.666666667,285.0,310.0,310.0,,,,197.5,197.5,143.333333333,143.333333333,143.333333333,210.0,210.0,226.666666667,226.666666667,276.666666667,285.0,310.0,310.0,,,197.5,197.5,143.333333333,143.333333333,143.333333333,143.333333333,226.666666667,226.666666667,260.0,226.666666667,276.666666667,310.0,310.0,510.0,,210.0,210.0,160.0,160.0,160.0,160.0,226.666666667,260.0,226.666666667,226.666666667,276.666666667,276.666666667,335.0,335.0,,210.0,210.0,160.0,160.0,160.0,160.0,160.0,226.666666667,260.0,226.666666667,226.666666667,276.666666667,310.0,160.0,160.0,222.5,222.5,235.0,260.0,272.5,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0
2015-01-16,35.0,60.0,3.75,3.75,3.75,131.428571429,-123.333333333,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1285.0,1285.0,60.0,-8.75,-8.75,47.5,197.5,40.0,-123.333333333,-240.0,-240.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,-8.75,-8.75,22.5,72.5,76.6666666667,40.0,-140.0,-123.333333333,-190.0,1260.0,1260.0,1335.0,1335.0,1335.0,1335.0,10.0,35.0,60.0,122.5,110.0,151.666666667,-106.666666667,-56.6666666667,-40.0,1335.0,1335.0,1335.0,1335.0,1335.0,1335.0,397.5,410.0,485.0,528.75,593.333333333,618.333333333,730.0,910.0,926.666666667,1335.0,1335.0,1335.0,1335.0,1335.0,1335.0,410.0,447.5,491.25,535.0,560.0,670.0,710.0,910.0,926.666666667,1335.0,1335.0,1335.0,1335.0,1335.0,1335.0,422.5,485.0,516.25,543.333333333,560.0,650.0,690.0,910.0,926.666666667,1335.0,1335.0,1335.0,1335.0,1335.0,1360.0,447.5,485.0,535.0,543.333333333,610.0,650.0,690.0,910.0,926.666666667,1335.0,1335.0,1360.0,1360.0,1385.0,1385.0,447.5,497.5,535.0,543.333333333,590.0,660.0,822.5,1335.0,1335.0,1335.0,1335.0,1360.0,1360.0,1385.0,1385.0,167.142857143,235.0,235.0,235.0,243.333333333,210.0,850.0,540.0,672.5,910.0,1110.0,1285.0,1585.0,1585.0,1585.0
