,roll:1000_sd:0.5,roll:1000_sd:0.75,roll:1000_sd:1.0,roll:1000_sd:1.25,roll:1000_sd:1.5,roll:1000_sd:1.75,roll:1000_sd:2.0,roll:1000_sd:2.25,roll:1000_sd:2.5,roll:1000_sd:2.75,roll:1000_sd:3.0,roll:1000_sd:3.25,roll:1000_sd:3.5,roll:1000_sd:3.75,roll:1000_sd:4.0,roll:1500_sd:0.5,roll:1500_sd:0.75,roll:1500_sd:1.0,roll:1500_sd:1.25,roll:1500_sd:1.5,roll:1500_sd:1.75,roll:1500_sd:2.0,roll:1500_sd:2.25,roll:1500_sd:2.5,roll:1500_sd:2.75,roll:1500_sd:3.0,roll:1500_sd:3.25,roll:1500_sd:3.5,roll:1500_sd:3.75,roll:1500_sd:4.0,roll:2000_sd:0.5,roll:2000_sd:0.75,roll:2000_sd:1.0,roll:2000_sd:1.25,roll:2000_sd:1.5,roll:2000_sd:1.75,roll:2000_sd:2.0,roll:2000_sd:2.25,roll:2000_sd:2.5,roll:2000_sd:2.75,roll:2000_sd:3.0,roll:2000_sd:3.25,roll:2000_sd:3.5,roll:2000_sd:3.75,roll:2000_sd:4.0,roll:2500_sd:0.5,roll:2500_sd:0.75,roll:2500_sd:1.0,roll:2500_sd:1.25,roll:2500_sd:1.5,roll:2500_sd:1.75,roll:2500_sd:2.0,roll:2500_sd:2.25,roll:2500_sd:2.5,roll:2500_sd:2.75,roll:2500_sd:3.0,roll:2500_sd:3.25,roll:2500_sd:3.5,roll:2500_sd:3.75,roll:2500_sd:4.0,roll:3000_sd:0.5,roll:3000_sd:0.75,roll:3000_sd:1.0,roll:3000_sd:1.25,roll:3000_sd:1.5,roll:3000_sd:1.75,roll:3000_sd:2.0,roll:3000_sd:2.25,roll:3000_sd:2.5,roll:3000_sd:2.75,roll:3000_sd:3.0,roll:3000_sd:3.25,roll:3000_sd:3.5,roll:3000_sd:3.75,roll:3000_sd:4.0,roll:3500_sd:0.5,roll:3500_sd:0.75,roll:3500_sd:1.0,roll:3500_sd:1.25,roll:3500_sd:1.5,roll:3500_sd:1.75,roll:3500_sd:2.0,roll:3500_sd:2.25,roll:3500_sd:2.5,roll:3500_sd:2.75,roll:3500_sd:3.0,roll:3500_sd:3.25,roll:3500_sd:3.5,roll:3500_sd:3.75,roll:3500_sd:4.0,roll:4000_sd:0.5,roll:4000_sd:0.75,roll:4000_sd:1.0,roll:4000_sd:1.25,roll:4000_sd:1.5,roll:4000_sd:1.75,roll:4000_sd:2.0,roll:4000_sd:2.25,roll:4000_sd:2.5,roll:4000_sd:2.75,roll:4000_sd:3.0,roll:4000_sd:3.25,roll:4000_sd:3.5,roll:4000_sd:3.75,roll:4000_sd:4.0,roll:4500_sd:0.5,roll:4500_sd:0.75,roll:4500_sd:1.0,roll:4500_sd:1.25,roll:4500_sd:1.5,roll:4500_sd:1.75,roll:4500_sd:2.0,roll:4500_sd:2.25,roll:4500_sd:2.5,roll:4500_sd:2.75,roll:4500_sd:3.0,roll:4500_sd:3.25,roll:4500_sd:3.5,roll:4500_sd:3.75,roll:4500_sd:4.0,roll:5000_sd:0.5,roll:5000_sd:0.75,roll:5000_sd:1.0,roll:5000_sd:1.25,roll:5000_sd:1.5,roll:5000_sd:1.75,roll:5000_sd:2.0,roll:5000_sd:2.25,roll:5000_sd:2.5,roll:5000_sd:2.75,roll:5000_sd:3.0,roll:5000_sd:3.25,roll:5000_sd:3.5,roll:5000_sd:3.75,roll:5000_sd:4.0,roll:500_sd:0.5,roll:500_sd:0.75,roll:500_sd:1.0,roll:500_sd:1.25,roll:500_sd:1.5,roll:500_sd:1.75,roll:500_sd:2.0,roll:500_sd:2.25,roll:500_sd:2.5,roll:500_sd:2.75,roll:500_sd:3.0,roll:500_sd:3.25,roll:500_sd:3.5,roll:500_sd:3.75,roll:500_sd:4.0
2015-01-05,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.5,0.5,0.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.5,0.5,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.5,0.5,0.5,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.666666666667,0.666666666667,0.666666666667,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2015-01-06,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.5,0.5,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0
2015-01-07,0.916666666667,0.916666666667,0.916666666667,0.916666666667,0.916666666667,0.9,0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.875,0.875,0.875,0.875,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.888888888889,0.888888888889,0.888888888889,0.888888888889,0.888888888889,1.0,1.0,1.0,1.0,1.0,0.857142857143,0.857142857143,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,0.857142857143,0.857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.909090909091,0.909090909091,0.909090909091,0.909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.909090909091,0.909090909091,0.909090909091,0.909090909091,0.909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.666666666667,0.666666666667,0.75,0.818181818182,0.818181818182,0.875,0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0
2015-01-08,0.875,0.875,0.875,0.875,0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.833333333333,0.833333333333,1.0,1.0,1.0,1.0,0.666666666667,1.0,0.875,0.875,0.875,0.875,0.875,0.875,1.0,1.0,0.833333333333,0.833333333333,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.875,0.875,0.875,0.857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.875,0.875,0.875,0.857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8,0.888888888889,0.888888888889,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.888888888889,0.888888888889,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.888888888889,0.888888888889,0.857142857143,0.857142857143,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.875,0.875,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.666666666667,0.666666666667,0.666666666667,0.666666666667
2015-01-09,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.666666666667,0.666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.571428571429,0.666666666667,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2015-01-12,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0
2015-01-13,0.25,0.25,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.666666666667,0.666666666667,0.666666666667,1.0,1.0,1.0,1.0,0.666666666667,0.666666666667,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.666666666667,0.666666666667,0.666666666667,1.0,1.0,1.0,0.666666666667,0.666666666667,0.666666666667,1.0,1.0,1.0,1.0,-1.0,-1.0,0.8,0.8,0.8,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.75,1.0,1.0,-1.0,-1.0,0.8,0.8,0.8,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8,0.75,1.0,1.0,1.0,0.833333333333,0.833333333333,0.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.833333333333,0.833333333333,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.75,0.75,0.666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.428571428571,0.428571428571,0.428571428571,0.333333333333,0.5,0.333333333333,0.333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2015-01-14,0.777777777778,0.777777777778,0.777777777778,0.777777777778,0.888888888889,0.888888888889,0.888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.714285714286,0.714285714286,0.714285714286,0.846153846154,0.846153846154,0.846153846154,0.833333333333,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.642857142857,0.642857142857,0.714285714286,0.785714285714,0.833333333333,0.818181818182,0.818181818182,0.8,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.714285714286,0.642857142857,0.714285714286,0.857142857143,0.833333333333,0.75,0.818181818182,0.888888888889,0.857142857143,0.857142857143,0.857142857143,0.833333333333,0.75,1.0,1.0,0.714285714286,0.714285714286,0.785714285714,0.857142857143,0.833333333333,0.833333333333,0.833333333333,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.714285714286,0.714285714286,0.857142857143,0.857142857143,0.833333333333,0.833333333333,0.916666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.769230769231,0.769230769231,0.846153846154,0.846153846154,0.833333333333,0.833333333333,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.846153846154,0.833333333333,0.909090909091,0.909090909091,0.9,0.9,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.769230769231,0.833333333333,0.909090909091,0.909090909091,0.9,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.833333333333,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2015-01-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2015-01-16,0.625,0.75,0.625,0.625,0.625,0.857142857143,0.333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.625,0.625,0.75,0.875,0.6,0.333333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.625,0.625,0.75,0.666666666667,0.6,0.333333333333,0.333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.625,0.75,0.75,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.714285714286,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.8,1.0,0.8,0.75,1.0,1.0,1.0,1.0,1.0,1.0
