,roll:1000_sd:0.5,roll:1000_sd:0.75,roll:1000_sd:1.0,roll:1000_sd:1.25,roll:1000_sd:1.5,roll:1000_sd:1.75,roll:1000_sd:2.0,roll:1000_sd:2.25,roll:1000_sd:2.5,roll:1000_sd:2.75,roll:1000_sd:3.0,roll:1000_sd:3.25,roll:1000_sd:3.5,roll:1000_sd:3.75,roll:1000_sd:4.0,roll:1500_sd:0.5,roll:1500_sd:0.75,roll:1500_sd:1.0,roll:1500_sd:1.25,roll:1500_sd:1.5,roll:1500_sd:1.75,roll:1500_sd:2.0,roll:1500_sd:2.25,roll:1500_sd:2.5,roll:1500_sd:2.75,roll:1500_sd:3.0,roll:1500_sd:3.25,roll:1500_sd:3.5,roll:1500_sd:3.75,roll:1500_sd:4.0,roll:2000_sd:0.5,roll:2000_sd:0.75,roll:2000_sd:1.0,roll:2000_sd:1.25,roll:2000_sd:1.5,roll:2000_sd:1.75,roll:2000_sd:2.0,roll:2000_sd:2.25,roll:2000_sd:2.5,roll:2000_sd:2.75,roll:2000_sd:3.0,roll:2000_sd:3.25,roll:2000_sd:3.5,roll:2000_sd:3.75,roll:2000_sd:4.0,roll:2500_sd:0.5,roll:2500_sd:0.75,roll:2500_sd:1.0,roll:2500_sd:1.25,roll:2500_sd:1.5,roll:2500_sd:1.75,roll:2500_sd:2.0,roll:2500_sd:2.25,roll:2500_sd:2.5,roll:2500_sd:2.75,roll:2500_sd:3.0,roll:2500_sd:3.25,roll:2500_sd:3.5,roll:2500_sd:3.75,roll:2500_sd:4.0,roll:3000_sd:0.5,roll:3000_sd:0.75,roll:3000_sd:1.0,roll:3000_sd:1.25,roll:3000_sd:1.5,roll:3000_sd:1.75,roll:3000_sd:2.0,roll:3000_sd:2.25,roll:3000_sd:2.5,roll:3000_sd:2.75,roll:3000_sd:3.0,roll:3000_sd:3.25,roll:3000_sd:3.5,roll:3000_sd:3.75,roll:3000_sd:4.0,roll:3500_sd:0.5,roll:3500_sd:0.75,roll:3500_sd:1.0,roll:3500_sd:1.25,roll:3500_sd:1.5,roll:3500_sd:1.75,roll:3500_sd:2.0,roll:3500_sd:2.25,roll:3500_sd:2.5,roll:3500_sd:2.75,roll:3500_sd:3.0,roll:3500_sd:3.25,roll:3500_sd:3.5,roll:3500_sd:3.75,roll:3500_sd:4.0,roll:4000_sd:0.5,roll:4000_sd:0.75,roll:4000_sd:1.0,roll:4000_sd:1.25,roll:4000_sd:1.5,roll:4000_sd:1.75,roll:4000_sd:2.0,roll:4000_sd:2.25,roll:4000_sd:2.5,roll:4000_sd:2.75,roll:4000_sd:3.0,roll:4000_sd:3.25,roll:4000_sd:3.5,roll:4000_sd:3.75,roll:4000_sd:4.0,roll:4500_sd:0.5,roll:4500_sd:0.75,roll:4500_sd:1.0,roll:4500_sd:1.25,roll:4500_sd:1.5,roll:4500_sd:1.75,roll:4500_sd:2.0,roll:4500_sd:2.25,roll:4500_sd:2.5,roll:4500_sd:2.75,roll:4500_sd:3.0,roll:4500_sd:3.25,roll:4500_sd:3.5,roll:4500_sd:3.75,roll:4500_sd:4.0,roll:5000_sd:0.5,roll:5000_sd:0.75,roll:5000_sd:1.0,roll:5000_sd:1.25,roll:5000_sd:1.5,roll:5000_sd:1.75,roll:5000_sd:2.0,roll:5000_sd:2.25,roll:5000_sd:2.5,roll:5000_sd:2.75,roll:5000_sd:3.0,roll:5000_sd:3.25,roll:5000_sd:3.5,roll:5000_sd:3.75,roll:5000_sd:4.0,roll:500_sd:0.5,roll:500_sd:0.75,roll:500_sd:1.0,roll:500_sd:1.25,roll:500_sd:1.5,roll:500_sd:1.75,roll:500_sd:2.0,roll:500_sd:2.25,roll:500_sd:2.5,roll:500_sd:2.75,roll:500_sd:3.0,roll:500_sd:3.25,roll:500_sd:3.5,roll:500_sd:3.75,roll:500_sd:4.0,roll:5500_sd:0.5,roll:5500_sd:0.75,roll:5500_sd:1.0,roll:5500_sd:1.25,roll:5500_sd:1.5,roll:5500_sd:1.75,roll:5500_sd:2.0,roll:5500_sd:2.25,roll:5500_sd:2.5,roll:5500_sd:2.75,roll:5500_sd:3.0,roll:5500_sd:3.25,roll:5500_sd:3.5,roll:5500_sd:3.75,roll:5500_sd:4.0,roll:6000_sd:0.5,roll:6000_sd:0.75,roll:6000_sd:1.0,roll:6000_sd:1.25,roll:6000_sd:1.5,roll:6000_sd:1.75,roll:6000_sd:2.0,roll:6000_sd:2.25,roll:6000_sd:2.5,roll:6000_sd:2.75,roll:6000_sd:3.0,roll:6000_sd:3.25,roll:6000_sd:3.5,roll:6000_sd:3.75,roll:6000_sd:4.0,roll:6500_sd:0.5,roll:6500_sd:0.75,roll:6500_sd:1.0,roll:6500_sd:1.25,roll:6500_sd:1.5,roll:6500_sd:1.75,roll:6500_sd:2.0,roll:6500_sd:2.25,roll:6500_sd:2.5,roll:6500_sd:2.75,roll:6500_sd:3.0,roll:6500_sd:3.25,roll:6500_sd:3.5,roll:6500_sd:3.75,roll:6500_sd:4.0,roll:7000_sd:0.5,roll:7000_sd:0.75,roll:7000_sd:1.0,roll:7000_sd:1.25,roll:7000_sd:1.5,roll:7000_sd:1.75,roll:7000_sd:2.0,roll:7000_sd:2.25,roll:7000_sd:2.5,roll:7000_sd:2.75,roll:7000_sd:3.0,roll:7000_sd:3.25,roll:7000_sd:3.5,roll:7000_sd:3.75,roll:7000_sd:4.0,roll:7500_sd:0.5,roll:7500_sd:0.75,roll:7500_sd:1.0,roll:7500_sd:1.25,roll:7500_sd:1.5,roll:7500_sd:1.75,roll:7500_sd:2.0,roll:7500_sd:2.25,roll:7500_sd:2.5,roll:7500_sd:2.75,roll:7500_sd:3.0,roll:7500_sd:3.25,roll:7500_sd:3.5,roll:7500_sd:3.75,roll:7500_sd:4.0,roll:8000_sd:0.5,roll:8000_sd:0.75,roll:8000_sd:1.0,roll:8000_sd:1.25,roll:8000_sd:1.5,roll:8000_sd:1.75,roll:8000_sd:2.0,roll:8000_sd:2.25,roll:8000_sd:2.5,roll:8000_sd:2.75,roll:8000_sd:3.0,roll:8000_sd:3.25,roll:8000_sd:3.5,roll:8000_sd:3.75,roll:8000_sd:4.0
2015-01-05,23,23,23,23,23,23,23,21,21,18,16,12,7,6,4,20,20,20,20,20,20,20,18,16,14,14,11,6,6,3,19,19,19,19,19,19,19,17,15,12,11,5,5,2,2,17,17,17,17,17,17,17,15,12,11,9,7,3,2,2,14,14,14,14,14,14,14,12,11,9,8,7,4,3,2,17,17,17,17,17,17,17,15,10,7,7,6,4,3,2,17,17,17,17,17,17,17,15,10,7,7,5,4,3,2,16,16,16,16,16,16,16,14,8,7,7,6,4,4,1,16,16,16,16,16,16,16,14,8,7,7,6,4,3,2,33,33,33,33,33,33,33,31,31,25,20,13,11,9,6,16,16,16,16,16,16,16,14,8,7,7,6,4,2,2,16,16,16,16,16,16,16,14,8,7,7,6,4,2,2,16,16,16,16,16,16,16,14,8,7,7,7,3,2,1,16,16,16,16,16,16,16,14,8,7,7,6,4,2,1,16,16,16,16,16,16,16,14,8,7,7,4,3,2,1,16,16,16,16,16,16,16,14,8,7,5,4,3,2,1
2015-01-06,80,80,80,80,75,72,64,56,52,49,42,31,26,20,14,73,73,73,73,63,59,57,51,42,35,32,27,24,19,12,70,70,70,70,57,56,52,47,39,32,26,23,18,15,11,54,54,54,54,41,41,39,36,31,28,23,21,17,12,11,49,49,49,49,36,36,34,29,27,23,21,18,15,12,9,52,52,52,52,39,39,37,31,26,25,22,18,14,11,6,51,51,51,51,38,37,33,31,25,22,19,16,13,10,8,61,61,61,60,47,42,29,24,22,21,19,17,11,10,7,51,51,51,51,38,32,26,24,22,20,18,17,8,6,5,79,79,79,79,77,76,72,68,64,58,51,46,35,28,18,47,47,47,47,33,33,26,23,21,20,17,12,9,5,5,54,54,54,54,40,39,25,23,21,18,12,11,9,5,5,57,57,57,57,43,40,25,22,18,14,11,11,9,5,4,59,59,59,57,44,41,25,20,17,13,11,11,6,5,4,58,58,58,56,42,41,33,19,15,13,11,9,7,6,4,57,57,57,54,41,41,33,19,15,13,11,9,8,6,4
2015-01-07,32,32,32,32,32,30,29,28,28,27,26,24,21,17,13,29,29,29,29,29,29,29,28,28,27,21,18,13,12,10,27,27,27,27,27,27,27,26,26,20,15,13,13,12,11,28,28,28,28,28,28,28,26,26,21,16,14,13,11,9,33,33,33,33,33,33,30,24,22,21,18,14,11,7,5,30,30,30,30,30,30,29,21,19,17,13,9,7,6,4,26,26,26,26,26,26,25,21,18,16,11,9,6,5,4,26,26,26,26,26,26,26,25,19,17,12,8,6,5,4,25,25,25,25,25,25,25,23,18,16,12,10,6,6,4,44,44,44,44,44,44,44,42,40,39,37,26,22,16,11,23,23,23,23,23,23,23,21,18,16,12,10,7,6,3,25,25,25,25,25,25,24,23,20,14,13,11,7,6,3,24,24,24,24,24,24,24,23,18,14,13,11,6,5,3,22,22,22,22,22,22,22,21,17,14,13,11,6,5,3,22,22,22,22,22,22,22,21,16,14,11,9,5,5,3,20,20,20,20,20,20,20,19,16,12,11,9,6,5,4
2015-01-08,34,34,34,34,34,34,34,34,34,34,33,28,21,13,8,33,33,33,33,33,33,33,33,33,33,29,23,17,9,2,35,35,35,35,35,35,35,35,35,33,28,20,12,7,5,33,33,33,33,33,33,33,33,32,30,28,19,11,8,4,32,32,32,32,32,32,32,32,31,29,23,14,9,8,5,28,28,28,28,28,28,28,28,27,26,19,14,8,5,4,24,24,24,24,24,24,24,24,23,21,19,10,7,7,2,24,24,24,24,24,24,24,24,24,21,16,9,7,4,2,23,23,23,23,23,23,23,22,22,21,10,9,7,5,2,39,39,39,39,39,39,39,38,38,31,26,22,15,14,10,21,21,21,21,21,21,21,21,21,20,12,7,7,3,2,18,18,18,18,18,18,18,18,17,17,12,7,6,4,2,14,14,14,14,14,14,14,14,13,13,11,8,5,2,2,17,17,17,17,17,17,16,16,15,12,10,7,6,3,2,20,20,20,20,20,20,18,18,16,13,10,7,6,2,2,19,19,19,19,19,19,16,15,14,13,10,7,6,1,1
2015-01-09,50,50,50,50,50,50,50,48,47,43,38,28,22,14,10,43,43,43,43,43,43,42,42,41,37,30,25,15,9,9,43,43,43,43,43,43,41,41,38,36,26,20,12,8,5,38,38,38,38,38,38,36,35,33,31,19,14,11,8,5,36,36,36,36,36,36,34,32,30,26,18,13,12,10,5,32,32,32,32,32,32,32,30,29,26,16,13,12,8,5,28,28,28,28,28,28,28,27,23,17,14,13,10,7,5,25,25,25,25,25,25,24,22,19,17,13,13,12,7,6,25,25,25,25,25,25,24,22,19,15,13,12,11,6,5,57,57,57,57,57,57,57,56,47,43,39,29,24,17,12,25,25,25,25,25,25,25,22,18,16,13,12,8,8,5,26,26,26,26,26,26,25,25,18,15,12,10,8,8,6,30,30,30,28,28,27,27,24,16,13,12,12,8,7,5,27,27,27,27,25,25,25,20,15,13,12,10,8,7,5,22,22,22,22,22,22,20,20,15,13,12,9,7,7,5,25,25,25,23,23,23,20,18,14,13,9,9,7,6,3
2015-01-12,65,65,65,65,63,63,59,56,52,46,39,30,20,12,7,60,60,60,60,58,58,55,49,46,43,30,20,14,11,6,61,61,61,61,59,59,56,48,42,35,29,21,13,9,6,55,55,55,55,53,53,50,46,38,27,19,18,13,9,6,48,48,48,48,46,46,43,42,32,24,21,18,14,10,6,39,39,39,39,37,37,33,33,30,24,20,19,15,9,6,40,40,40,40,38,38,35,35,33,23,20,16,13,9,6,42,42,42,42,40,40,37,37,33,26,17,15,10,8,6,42,42,42,42,40,40,37,35,33,24,16,13,10,8,4,68,68,68,68,66,66,66,62,58,53,43,35,26,17,12,43,43,43,43,41,41,38,38,30,25,18,12,9,6,4,43,43,43,43,41,41,38,36,30,24,15,12,9,5,4,39,39,39,39,37,37,34,34,29,22,13,12,7,4,4,39,39,39,39,37,37,34,34,30,19,13,10,5,4,4,38,38,38,38,36,36,33,32,30,17,11,9,5,4,3,38,38,38,38,36,36,33,32,30,17,12,8,5,4,3
2015-01-13,58,58,58,56,53,52,52,49,45,39,30,25,20,16,14,55,55,55,53,50,46,46,44,44,36,24,21,20,19,13,56,56,56,54,51,48,44,41,38,25,20,19,19,18,13,48,48,48,46,43,40,36,30,28,22,19,19,16,14,13,44,44,44,42,39,35,34,30,24,22,19,15,15,13,12,38,38,38,36,33,30,29,24,24,21,15,15,13,12,12,34,34,34,32,29,26,24,21,19,16,16,14,12,12,6,34,34,34,32,29,26,24,21,20,16,16,12,10,8,6,39,39,39,37,34,28,26,22,20,16,12,11,10,4,2,73,73,73,71,69,65,63,60,57,50,35,28,21,18,16,40,40,40,38,35,28,26,23,18,14,11,9,4,2,2,36,36,36,34,31,28,26,23,18,13,6,6,5,2,2,33,33,33,31,28,25,23,18,14,8,6,6,2,2,2,33,33,33,31,28,25,23,16,10,6,6,6,3,2,2,31,31,31,29,26,23,21,12,8,6,6,4,3,2,2,29,29,29,27,24,21,19,13,8,6,6,4,3,3,2
2015-01-14,62,62,59,57,53,51,49,41,39,35,29,21,10,8,6,56,56,53,51,45,41,38,36,34,33,26,20,13,7,5,54,54,51,49,46,42,37,36,34,33,22,15,9,7,4,71,71,68,51,46,45,41,33,28,27,21,10,8,5,5,55,55,52,50,43,42,39,31,30,27,20,11,6,5,5,55,55,52,50,43,38,36,33,30,27,18,7,6,5,5,56,56,53,51,46,39,39,33,29,23,19,8,7,5,5,54,54,51,49,44,37,37,31,26,22,19,8,7,5,5,52,52,49,47,42,35,35,29,27,23,16,10,7,6,5,63,63,59,56,55,52,48,46,45,43,32,27,18,10,9,52,52,49,47,42,35,33,27,26,23,15,9,7,5,5,49,49,46,44,39,34,31,26,23,17,14,9,7,4,4,52,52,49,47,42,36,30,26,22,15,14,9,7,5,4,50,50,47,45,40,34,26,23,19,14,13,6,6,5,3,47,47,44,42,37,30,24,22,19,13,11,6,6,4,2,45,45,42,40,35,28,24,20,19,13,11,6,5,4,2
2015-01-15,154,154,154,150,140,120,107,99,94,70,54,44,32,22,14,127,127,127,119,102,96,86,71,54,46,38,28,20,16,11,99,99,99,93,84,77,68,55,49,39,25,23,19,13,10,98,98,98,89,79,74,62,49,43,34,31,20,12,12,10,87,87,87,80,72,61,50,36,34,33,22,16,13,10,10,72,72,72,63,53,47,43,32,29,28,19,16,11,11,10,74,74,72,65,57,51,40,32,28,25,19,16,12,9,8,76,76,73,65,54,42,36,33,28,22,18,12,11,9,9,80,80,80,72,47,41,36,30,25,20,16,13,9,7,6,192,192,192,189,173,158,145,131,115,102,75,47,38,24,16,66,66,65,61,40,36,34,28,22,15,14,9,7,7,6,63,63,62,54,37,33,30,24,20,15,10,7,7,6,5,59,59,58,47,38,28,26,23,20,14,9,7,6,6,4,52,52,52,43,37,27,24,20,18,14,9,7,7,4,4,50,50,50,46,37,23,20,20,15,14,9,5,4,4,3,51,51,51,46,33,22,20,16,12,11,7,5,4,4,3
2015-01-16,115,115,115,115,112,105,101,94,90,77,60,41,27,23,16,105,105,105,101,97,90,89,84,79,59,46,30,22,16,13,97,97,95,89,88,86,77,71,61,48,33,26,17,13,10,92,92,88,73,68,66,63,60,53,40,26,17,14,11,9,80,80,76,73,67,64,60,53,49,42,23,18,15,10,8,76,76,72,70,68,59,57,52,47,36,19,17,10,8,8,71,71,67,65,62,55,52,48,38,30,17,14,13,9,7,63,63,59,57,53,50,45,42,35,24,17,14,11,10,5,58,58,54,52,49,44,40,37,30,23,16,13,9,9,5,137,137,137,137,136,129,127,121,114,94,71,54,43,30,23,62,62,58,51,50,42,38,35,30,21,15,11,9,9,4,64,64,59,56,51,44,39,36,31,21,13,11,10,9,5,60,60,56,53,50,45,40,39,28,18,15,12,10,5,5,64,64,60,55,52,46,42,37,27,17,15,13,8,5,5,60,60,56,53,49,43,39,35,26,17,14,12,5,5,4,62,62,58,54,50,44,40,36,28,18,13,10,5,5,4
