,roll:1000_sd:0.5,roll:1000_sd:0.75,roll:1000_sd:1.0,roll:1000_sd:1.25,roll:1000_sd:1.5,roll:1000_sd:1.75,roll:1000_sd:2.0,roll:1000_sd:2.25,roll:1000_sd:2.5,roll:1000_sd:2.75,roll:1000_sd:3.0,roll:1000_sd:3.25,roll:1000_sd:3.5,roll:1000_sd:3.75,roll:1000_sd:4.0,roll:1500_sd:0.5,roll:1500_sd:0.75,roll:1500_sd:1.0,roll:1500_sd:1.25,roll:1500_sd:1.5,roll:1500_sd:1.75,roll:1500_sd:2.0,roll:1500_sd:2.25,roll:1500_sd:2.5,roll:1500_sd:2.75,roll:1500_sd:3.0,roll:1500_sd:3.25,roll:1500_sd:3.5,roll:1500_sd:3.75,roll:1500_sd:4.0,roll:2000_sd:0.5,roll:2000_sd:0.75,roll:2000_sd:1.0,roll:2000_sd:1.25,roll:2000_sd:1.5,roll:2000_sd:1.75,roll:2000_sd:2.0,roll:2000_sd:2.25,roll:2000_sd:2.5,roll:2000_sd:2.75,roll:2000_sd:3.0,roll:2000_sd:3.25,roll:2000_sd:3.5,roll:2000_sd:3.75,roll:2000_sd:4.0,roll:2500_sd:0.5,roll:2500_sd:0.75,roll:2500_sd:1.0,roll:2500_sd:1.25,roll:2500_sd:1.5,roll:2500_sd:1.75,roll:2500_sd:2.0,roll:2500_sd:2.25,roll:2500_sd:2.5,roll:2500_sd:2.75,roll:2500_sd:3.0,roll:2500_sd:3.25,roll:2500_sd:3.5,roll:2500_sd:3.75,roll:2500_sd:4.0,roll:3000_sd:0.5,roll:3000_sd:0.75,roll:3000_sd:1.0,roll:3000_sd:1.25,roll:3000_sd:1.5,roll:3000_sd:1.75,roll:3000_sd:2.0,roll:3000_sd:2.25,roll:3000_sd:2.5,roll:3000_sd:2.75,roll:3000_sd:3.0,roll:3000_sd:3.25,roll:3000_sd:3.5,roll:3000_sd:3.75,roll:3000_sd:4.0,roll:3500_sd:0.5,roll:3500_sd:0.75,roll:3500_sd:1.0,roll:3500_sd:1.25,roll:3500_sd:1.5,roll:3500_sd:1.75,roll:3500_sd:2.0,roll:3500_sd:2.25,roll:3500_sd:2.5,roll:3500_sd:2.75,roll:3500_sd:3.0,roll:3500_sd:3.25,roll:3500_sd:3.5,roll:3500_sd:3.75,roll:3500_sd:4.0,roll:4000_sd:0.5,roll:4000_sd:0.75,roll:4000_sd:1.0,roll:4000_sd:1.25,roll:4000_sd:1.5,roll:4000_sd:1.75,roll:4000_sd:2.0,roll:4000_sd:2.25,roll:4000_sd:2.5,roll:4000_sd:2.75,roll:4000_sd:3.0,roll:4000_sd:3.25,roll:4000_sd:3.5,roll:4000_sd:3.75,roll:4000_sd:4.0,roll:4500_sd:0.5,roll:4500_sd:0.75,roll:4500_sd:1.0,roll:4500_sd:1.25,roll:4500_sd:1.5,roll:4500_sd:1.75,roll:4500_sd:2.0,roll:4500_sd:2.25,roll:4500_sd:2.5,roll:4500_sd:2.75,roll:4500_sd:3.0,roll:4500_sd:3.25,roll:4500_sd:3.5,roll:4500_sd:3.75,roll:4500_sd:4.0,roll:5000_sd:0.5,roll:5000_sd:0.75,roll:5000_sd:1.0,roll:5000_sd:1.25,roll:5000_sd:1.5,roll:5000_sd:1.75,roll:5000_sd:2.0,roll:5000_sd:2.25,roll:5000_sd:2.5,roll:5000_sd:2.75,roll:5000_sd:3.0,roll:5000_sd:3.25,roll:5000_sd:3.5,roll:5000_sd:3.75,roll:5000_sd:4.0,roll:500_sd:0.5,roll:500_sd:0.75,roll:500_sd:1.0,roll:500_sd:1.25,roll:500_sd:1.5,roll:500_sd:1.75,roll:500_sd:2.0,roll:500_sd:2.25,roll:500_sd:2.5,roll:500_sd:2.75,roll:500_sd:3.0,roll:500_sd:3.25,roll:500_sd:3.5,roll:500_sd:3.75,roll:500_sd:4.0,roll:5500_sd:0.5,roll:5500_sd:0.75,roll:5500_sd:1.0,roll:5500_sd:1.25,roll:5500_sd:1.5,roll:5500_sd:1.75,roll:5500_sd:2.0,roll:5500_sd:2.25,roll:5500_sd:2.5,roll:5500_sd:2.75,roll:5500_sd:3.0,roll:5500_sd:3.25,roll:5500_sd:3.5,roll:5500_sd:3.75,roll:5500_sd:4.0,roll:6000_sd:0.5,roll:6000_sd:0.75,roll:6000_sd:1.0,roll:6000_sd:1.25,roll:6000_sd:1.5,roll:6000_sd:1.75,roll:6000_sd:2.0,roll:6000_sd:2.25,roll:6000_sd:2.5,roll:6000_sd:2.75,roll:6000_sd:3.0,roll:6000_sd:3.25,roll:6000_sd:3.5,roll:6000_sd:3.75,roll:6000_sd:4.0,roll:6500_sd:0.5,roll:6500_sd:0.75,roll:6500_sd:1.0,roll:6500_sd:1.25,roll:6500_sd:1.5,roll:6500_sd:1.75,roll:6500_sd:2.0,roll:6500_sd:2.25,roll:6500_sd:2.5,roll:6500_sd:2.75,roll:6500_sd:3.0,roll:6500_sd:3.25,roll:6500_sd:3.5,roll:6500_sd:3.75,roll:6500_sd:4.0,roll:7000_sd:0.5,roll:7000_sd:0.75,roll:7000_sd:1.0,roll:7000_sd:1.25,roll:7000_sd:1.5,roll:7000_sd:1.75,roll:7000_sd:2.0,roll:7000_sd:2.25,roll:7000_sd:2.5,roll:7000_sd:2.75,roll:7000_sd:3.0,roll:7000_sd:3.25,roll:7000_sd:3.5,roll:7000_sd:3.75,roll:7000_sd:4.0,roll:7500_sd:0.5,roll:7500_sd:0.75,roll:7500_sd:1.0,roll:7500_sd:1.25,roll:7500_sd:1.5,roll:7500_sd:1.75,roll:7500_sd:2.0,roll:7500_sd:2.25,roll:7500_sd:2.5,roll:7500_sd:2.75,roll:7500_sd:3.0,roll:7500_sd:3.25,roll:7500_sd:3.5,roll:7500_sd:3.75,roll:7500_sd:4.0,roll:8000_sd:0.5,roll:8000_sd:0.75,roll:8000_sd:1.0,roll:8000_sd:1.25,roll:8000_sd:1.5,roll:8000_sd:1.75,roll:8000_sd:2.0,roll:8000_sd:2.25,roll:8000_sd:2.5,roll:8000_sd:2.75,roll:8000_sd:3.0,roll:8000_sd:3.25,roll:8000_sd:3.5,roll:8000_sd:3.75,roll:8000_sd:4.0
2015-01-05,23,23,23,23,23,21,18,12,7,7,3,2,1,1,1,18,18,18,18,16,15,11,8,6,5,2,1,0,0,0,14,14,14,14,12,11,11,8,3,2,0,0,0,0,0,15,15,15,15,13,11,8,6,4,1,0,0,0,0,0,13,13,13,13,11,8,8,6,2,1,0,0,0,0,0,13,13,13,13,8,8,8,4,3,1,1,0,0,0,0,13,13,13,13,8,8,6,4,2,1,1,0,0,0,0,13,13,13,13,8,6,6,4,2,1,1,0,0,0,0,16,16,16,15,6,6,6,4,2,1,1,0,0,0,0,30,30,30,30,23,22,20,14,10,8,7,5,4,4,3,17,17,17,17,6,6,6,4,2,1,1,0,0,0,0,17,17,17,17,6,6,6,4,2,1,0,0,0,0,0,17,17,17,17,6,6,6,4,2,0,0,0,0,0,0,17,17,17,17,6,6,6,3,2,0,0,0,0,0,0,17,17,17,17,6,6,6,3,2,1,0,0,0,0,0,17,17,17,17,6,6,6,3,2,0,0,0,0,0,0
2015-01-06,57,56,55,49,44,36,30,23,17,14,11,6,5,3,1,55,53,51,44,40,35,25,20,16,11,9,7,4,1,1,56,54,52,44,38,25,21,16,12,9,7,5,2,1,1,52,52,48,37,26,21,18,12,9,8,6,3,2,1,1,53,53,47,34,21,19,17,11,9,5,4,2,1,1,1,53,53,47,34,21,14,12,9,8,3,1,1,1,1,1,52,52,46,35,19,14,11,9,7,1,1,1,1,1,1,52,52,46,33,19,14,11,7,5,3,1,1,1,1,0,52,52,48,35,19,12,9,7,3,3,1,1,1,1,1,61,60,60,56,49,43,35,29,22,15,11,7,5,4,3,51,51,47,34,19,13,8,7,3,3,1,1,1,1,1,51,51,45,32,19,14,10,5,3,3,1,1,1,1,1,51,51,45,34,17,13,9,5,4,3,3,1,1,1,1,51,51,45,34,16,12,8,5,3,3,3,1,1,1,1,51,51,45,34,16,13,7,4,3,3,3,1,1,0,0,51,51,45,34,16,11,7,3,3,2,2,1,1,0,0
2015-01-07,35,35,34,33,31,25,22,19,14,9,6,4,1,1,1,33,33,33,33,29,23,22,16,8,4,2,1,0,0,0,27,27,27,27,26,21,13,10,5,5,2,1,0,0,0,25,25,25,25,19,13,8,7,3,1,1,1,0,0,0,24,24,24,24,20,11,6,6,2,1,1,0,0,0,0,23,23,23,21,21,12,4,4,2,1,0,0,0,0,0,17,17,17,17,17,9,2,2,1,1,1,0,0,0,0,20,20,20,20,19,10,4,2,1,1,1,0,0,0,0,19,19,19,19,16,10,4,2,1,1,1,0,0,0,0,35,35,33,33,33,32,25,23,15,13,10,7,4,1,0,16,16,16,16,15,10,4,2,1,1,1,1,0,0,0,16,16,16,16,15,10,4,2,1,1,1,0,0,0,0,15,15,15,15,15,11,2,1,1,1,1,0,0,0,0,15,15,15,15,15,9,2,1,1,1,0,0,0,0,0,15,15,15,15,13,9,2,1,1,0,0,0,0,0,0,16,16,16,16,13,9,2,1,0,0,0,0,0,0,0
2015-01-08,29,29,29,29,27,18,12,12,9,7,3,2,2,1,0,28,28,28,28,28,20,8,8,7,6,4,3,2,2,1,24,24,24,24,24,20,10,8,7,5,5,3,3,2,1,22,22,22,22,22,18,13,5,5,3,3,3,3,2,1,23,23,23,23,21,16,11,5,3,3,3,2,1,0,0,24,24,24,24,22,13,9,5,3,3,3,2,1,0,0,24,24,24,24,22,12,3,3,3,3,3,2,0,0,0,26,26,26,26,24,13,3,3,3,3,3,2,0,0,0,24,24,24,24,20,14,3,3,3,3,2,2,0,0,0,33,33,33,33,31,29,22,16,9,7,7,5,3,2,0,24,24,24,23,18,12,3,3,3,3,2,2,1,0,0,21,21,21,21,15,11,3,3,3,3,3,2,1,0,0,19,19,19,19,13,9,3,3,3,3,3,2,1,0,0,19,19,19,19,11,9,5,3,3,3,3,2,1,0,0,17,17,17,17,11,9,6,3,3,3,2,2,1,0,0,17,17,17,17,11,9,4,3,3,3,2,2,1,0,0
2015-01-09,9,9,9,9,7,7,6,4,3,0,0,0,0,0,0,11,11,11,9,8,8,6,4,2,1,0,0,0,0,0,11,11,11,11,8,6,4,3,1,0,0,0,0,0,0,8,8,8,8,7,5,5,4,0,0,0,0,0,0,0,8,8,8,8,7,5,4,4,2,0,0,0,0,0,0,8,8,8,8,7,5,4,4,1,0,0,0,0,0,0,8,8,8,8,7,5,5,4,1,1,0,0,0,0,0,8,8,8,8,7,5,5,1,1,1,0,0,0,0,0,9,9,9,9,8,6,4,1,1,1,0,0,0,0,0,17,17,17,17,17,17,11,11,8,6,2,2,1,0,0,11,11,11,11,10,8,2,1,1,0,0,0,0,0,0,13,13,13,13,10,6,2,2,1,0,0,0,0,0,0,13,13,13,13,6,2,2,2,0,0,0,0,0,0,0,13,13,13,13,6,2,2,2,0,0,0,0,0,0,0,13,13,13,13,6,2,2,2,0,0,0,0,0,0,0,13,13,13,13,6,2,0,0,0,0,0,0,0,0,0
2015-01-12,20,20,20,19,16,12,8,7,7,4,3,2,0,0,0,19,19,19,18,17,13,7,6,4,3,2,1,0,0,0,19,19,19,18,17,11,10,6,3,3,2,2,0,0,0,19,19,19,18,17,11,8,5,4,3,3,2,1,0,0,20,20,20,19,16,11,7,5,3,3,2,2,0,0,0,18,18,18,17,16,10,8,7,3,2,2,2,0,0,0,18,18,18,17,16,10,8,6,2,0,0,0,0,0,0,18,18,18,17,16,10,7,6,3,0,0,0,0,0,0,18,18,18,17,16,10,8,6,3,0,0,0,0,0,0,19,19,19,18,18,17,16,13,12,7,5,4,1,1,0,18,18,18,17,16,10,8,4,3,0,0,0,0,0,0,17,17,17,16,15,11,8,4,3,0,0,0,0,0,0,17,17,17,16,15,11,8,4,3,0,0,0,0,0,0,17,17,17,16,15,11,7,4,3,0,0,0,0,0,0,17,17,17,16,15,11,7,4,3,0,0,0,0,0,0,17,17,17,16,15,11,7,4,3,1,0,0,0,0,0
2015-01-13,9,9,9,9,9,7,6,6,5,2,2,2,0,0,0,11,11,11,11,11,9,6,6,4,1,1,1,1,0,0,11,11,11,11,11,7,4,4,4,1,0,0,0,0,0,10,10,10,9,9,7,4,4,0,0,0,0,0,0,0,11,11,11,9,8,5,4,3,0,0,0,0,0,0,0,11,11,11,9,8,5,2,2,2,0,0,0,0,0,0,11,11,11,9,6,4,2,0,0,0,0,0,0,0,0,11,11,11,9,6,5,0,0,0,0,0,0,0,0,0,11,11,11,9,6,5,0,0,0,0,0,0,0,0,0,9,9,9,9,7,7,5,5,3,3,2,1,1,1,0,11,11,11,9,6,5,0,0,0,0,0,0,0,0,0,11,11,11,9,6,6,0,0,0,0,0,0,0,0,0,11,11,11,9,7,6,0,0,0,0,0,0,0,0,0,11,11,11,9,7,6,0,0,0,0,0,0,0,0,0,9,9,9,9,8,6,0,0,0,0,0,0,0,0,0,9,9,9,9,8,6,0,0,0,0,0,0,0,0,0
2015-01-14,58,58,58,49,45,35,29,26,19,15,11,7,4,1,1,56,56,56,50,41,31,23,20,18,11,9,5,3,1,0,56,56,56,46,39,32,19,15,11,8,5,3,1,1,1,52,52,50,47,33,29,22,12,8,7,5,3,1,1,1,54,54,52,46,35,21,13,13,7,7,7,2,1,1,1,55,55,53,46,33,22,13,11,8,7,3,2,1,1,0,55,55,49,46,29,19,15,9,8,5,2,1,1,1,1,56,56,54,44,28,20,14,9,7,5,2,2,1,1,1,56,56,54,43,30,22,15,9,7,6,3,2,1,1,1,65,65,64,60,53,47,38,32,29,24,21,12,9,6,2,56,56,54,45,34,20,14,11,9,6,3,2,1,1,1,56,56,54,45,32,21,14,11,9,5,2,2,1,1,1,56,56,54,44,31,22,14,10,8,4,2,1,1,1,1,56,56,54,43,31,19,13,10,8,4,2,2,1,1,1,56,56,54,43,31,17,14,9,8,4,2,1,0,0,0,56,56,54,43,31,17,14,8,8,4,2,1,0,0,0
2015-01-15,47,47,47,45,43,40,29,27,19,17,6,6,4,3,2,41,41,41,37,35,33,25,23,17,15,7,4,3,3,3,40,40,40,35,31,28,23,23,15,7,5,3,3,3,1,38,38,36,35,27,25,19,19,12,4,3,3,3,2,2,35,35,33,30,25,24,19,17,9,6,4,3,2,2,1,35,35,34,29,28,23,15,11,7,5,3,3,2,2,0,33,33,30,27,25,16,12,7,5,3,3,1,1,0,0,29,29,28,25,23,15,11,5,3,3,3,3,1,0,0,32,32,32,27,20,13,9,3,3,3,3,3,0,0,0,55,55,55,55,52,46,39,33,27,18,13,11,5,2,2,32,32,32,25,18,9,7,4,3,2,2,2,0,0,0,34,34,34,22,16,9,4,4,3,2,2,1,0,0,0,38,38,34,28,18,8,4,4,3,2,2,1,0,0,0,38,38,34,28,18,8,4,4,3,2,2,1,0,0,0,34,34,32,27,16,10,4,4,3,2,2,1,0,0,0,32,32,32,25,16,13,4,4,3,2,2,1,0,0,0
2015-01-16,35,35,35,35,31,24,16,14,7,4,2,1,1,1,1,40,40,40,38,32,18,11,9,4,4,3,1,1,1,1,34,34,34,32,20,14,10,6,4,3,3,2,2,1,1,29,29,29,26,18,14,8,5,3,3,2,2,2,1,1,22,22,22,22,18,12,5,5,3,2,2,2,1,1,1,23,23,23,20,15,7,5,5,2,2,2,2,1,1,1,18,18,18,18,13,6,3,2,2,2,2,2,1,1,1,19,19,19,17,12,5,3,2,2,2,2,1,1,1,1,19,19,17,12,9,5,3,2,2,1,1,1,1,1,1,44,44,44,44,44,37,26,23,11,6,4,2,1,1,1,17,17,17,9,7,5,3,2,2,1,1,1,1,1,1,15,15,15,9,9,5,3,2,2,1,1,1,1,1,1,13,13,13,7,6,5,3,2,2,1,1,1,1,1,1,13,13,11,6,6,4,3,2,2,1,1,1,1,1,1,8,8,8,6,5,4,3,2,1,1,1,1,1,1,1,6,6,6,6,5,4,3,1,1,1,1,1,1,1,1
