,roll:1000_sd:0.5,roll:1000_sd:0.75,roll:1000_sd:1.0,roll:1000_sd:1.25,roll:1000_sd:1.5,roll:1000_sd:1.75,roll:1000_sd:2.0,roll:1000_sd:2.25,roll:1000_sd:2.5,roll:1000_sd:2.75,roll:1000_sd:3.0,roll:1000_sd:3.25,roll:1000_sd:3.5,roll:1000_sd:3.75,roll:1000_sd:4.0,roll:1500_sd:0.5,roll:1500_sd:0.75,roll:1500_sd:1.0,roll:1500_sd:1.25,roll:1500_sd:1.5,roll:1500_sd:1.75,roll:1500_sd:2.0,roll:1500_sd:2.25,roll:1500_sd:2.5,roll:1500_sd:2.75,roll:1500_sd:3.0,roll:1500_sd:3.25,roll:1500_sd:3.5,roll:1500_sd:3.75,roll:1500_sd:4.0,roll:2000_sd:0.5,roll:2000_sd:0.75,roll:2000_sd:1.0,roll:2000_sd:1.25,roll:2000_sd:1.5,roll:2000_sd:1.75,roll:2000_sd:2.0,roll:2000_sd:2.25,roll:2000_sd:2.5,roll:2000_sd:2.75,roll:2000_sd:3.0,roll:2000_sd:3.25,roll:2000_sd:3.5,roll:2000_sd:3.75,roll:2000_sd:4.0,roll:2500_sd:0.5,roll:2500_sd:0.75,roll:2500_sd:1.0,roll:2500_sd:1.25,roll:2500_sd:1.5,roll:2500_sd:1.75,roll:2500_sd:2.0,roll:2500_sd:2.25,roll:2500_sd:2.5,roll:2500_sd:2.75,roll:2500_sd:3.0,roll:2500_sd:3.25,roll:2500_sd:3.5,roll:2500_sd:3.75,roll:2500_sd:4.0,roll:3000_sd:0.5,roll:3000_sd:0.75,roll:3000_sd:1.0,roll:3000_sd:1.25,roll:3000_sd:1.5,roll:3000_sd:1.75,roll:3000_sd:2.0,roll:3000_sd:2.25,roll:3000_sd:2.5,roll:3000_sd:2.75,roll:3000_sd:3.0,roll:3000_sd:3.25,roll:3000_sd:3.5,roll:3000_sd:3.75,roll:3000_sd:4.0,roll:3500_sd:0.5,roll:3500_sd:0.75,roll:3500_sd:1.0,roll:3500_sd:1.25,roll:3500_sd:1.5,roll:3500_sd:1.75,roll:3500_sd:2.0,roll:3500_sd:2.25,roll:3500_sd:2.5,roll:3500_sd:2.75,roll:3500_sd:3.0,roll:3500_sd:3.25,roll:3500_sd:3.5,roll:3500_sd:3.75,roll:3500_sd:4.0,roll:4000_sd:0.5,roll:4000_sd:0.75,roll:4000_sd:1.0,roll:4000_sd:1.25,roll:4000_sd:1.5,roll:4000_sd:1.75,roll:4000_sd:2.0,roll:4000_sd:2.25,roll:4000_sd:2.5,roll:4000_sd:2.75,roll:4000_sd:3.0,roll:4000_sd:3.25,roll:4000_sd:3.5,roll:4000_sd:3.75,roll:4000_sd:4.0,roll:4500_sd:0.5,roll:4500_sd:0.75,roll:4500_sd:1.0,roll:4500_sd:1.25,roll:4500_sd:1.5,roll:4500_sd:1.75,roll:4500_sd:2.0,roll:4500_sd:2.25,roll:4500_sd:2.5,roll:4500_sd:2.75,roll:4500_sd:3.0,roll:4500_sd:3.25,roll:4500_sd:3.5,roll:4500_sd:3.75,roll:4500_sd:4.0,roll:5000_sd:0.5,roll:5000_sd:0.75,roll:5000_sd:1.0,roll:5000_sd:1.25,roll:5000_sd:1.5,roll:5000_sd:1.75,roll:5000_sd:2.0,roll:5000_sd:2.25,roll:5000_sd:2.5,roll:5000_sd:2.75,roll:5000_sd:3.0,roll:5000_sd:3.25,roll:5000_sd:3.5,roll:5000_sd:3.75,roll:5000_sd:4.0,roll:500_sd:0.5,roll:500_sd:0.75,roll:500_sd:1.0,roll:500_sd:1.25,roll:500_sd:1.5,roll:500_sd:1.75,roll:500_sd:2.0,roll:500_sd:2.25,roll:500_sd:2.5,roll:500_sd:2.75,roll:500_sd:3.0,roll:500_sd:3.25,roll:500_sd:3.5,roll:500_sd:3.75,roll:500_sd:4.0,roll:5500_sd:0.5,roll:5500_sd:0.75,roll:5500_sd:1.0,roll:5500_sd:1.25,roll:5500_sd:1.5,roll:5500_sd:1.75,roll:5500_sd:2.0,roll:5500_sd:2.25,roll:5500_sd:2.5,roll:5500_sd:2.75,roll:5500_sd:3.0,roll:5500_sd:3.25,roll:5500_sd:3.5,roll:5500_sd:3.75,roll:5500_sd:4.0,roll:6000_sd:0.5,roll:6000_sd:0.75,roll:6000_sd:1.0,roll:6000_sd:1.25,roll:6000_sd:1.5,roll:6000_sd:1.75,roll:6000_sd:2.0,roll:6000_sd:2.25,roll:6000_sd:2.5,roll:6000_sd:2.75,roll:6000_sd:3.0,roll:6000_sd:3.25,roll:6000_sd:3.5,roll:6000_sd:3.75,roll:6000_sd:4.0,roll:6500_sd:0.5,roll:6500_sd:0.75,roll:6500_sd:1.0,roll:6500_sd:1.25,roll:6500_sd:1.5,roll:6500_sd:1.75,roll:6500_sd:2.0,roll:6500_sd:2.25,roll:6500_sd:2.5,roll:6500_sd:2.75,roll:6500_sd:3.0,roll:6500_sd:3.25,roll:6500_sd:3.5,roll:6500_sd:3.75,roll:6500_sd:4.0,roll:7000_sd:0.5,roll:7000_sd:0.75,roll:7000_sd:1.0,roll:7000_sd:1.25,roll:7000_sd:1.5,roll:7000_sd:1.75,roll:7000_sd:2.0,roll:7000_sd:2.25,roll:7000_sd:2.5,roll:7000_sd:2.75,roll:7000_sd:3.0,roll:7000_sd:3.25,roll:7000_sd:3.5,roll:7000_sd:3.75,roll:7000_sd:4.0,roll:7500_sd:0.5,roll:7500_sd:0.75,roll:7500_sd:1.0,roll:7500_sd:1.25,roll:7500_sd:1.5,roll:7500_sd:1.75,roll:7500_sd:2.0,roll:7500_sd:2.25,roll:7500_sd:2.5,roll:7500_sd:2.75,roll:7500_sd:3.0,roll:7500_sd:3.25,roll:7500_sd:3.5,roll:7500_sd:3.75,roll:7500_sd:4.0,roll:8000_sd:0.5,roll:8000_sd:0.75,roll:8000_sd:1.0,roll:8000_sd:1.25,roll:8000_sd:1.5,roll:8000_sd:1.75,roll:8000_sd:2.0,roll:8000_sd:2.25,roll:8000_sd:2.5,roll:8000_sd:2.75,roll:8000_sd:3.0,roll:8000_sd:3.25,roll:8000_sd:3.5,roll:8000_sd:3.75,roll:8000_sd:4.0
2015-01-05,530.918,530.918,530.918,530.918,605.904,765.851,705.742,460.52,535.347,535.349,330.188,185.136,115.091,115.091,115.091,455.67,455.67,455.67,480.67,390.616,545.568,615.427,480.356,465.322,545.275,285.142,115.091,-4.947,-4.947,-4.947,375.498,375.498,375.498,375.498,285.454,540.425,615.424,605.35,330.178,260.133,-4.947,-4.947,-4.947,-4.947,-4.947,495.547,495.547,495.547,495.561,505.517,615.422,605.302,465.269,505.197,140.095,-4.947,-4.947,-4.947,-4.947,-4.947,530.491,530.491,530.491,530.491,490.447,585.266,710.262,595.233,315.104,145.053,-4.947,-4.947,-4.947,-4.947,-4.947,580.501,580.501,580.501,580.501,355.301,630.299,735.266,455.137,385.145,145.053,145.053,-4.947,-4.947,-4.947,-4.947,630.498,630.498,630.498,630.498,405.298,685.262,520.179,555.14,360.15,145.053,145.053,-4.947,-4.947,-4.947,-4.947,680.497,680.497,680.497,680.497,455.297,470.177,570.168,555.14,360.15,145.053,145.053,-4.947,-4.947,-4.947,-4.947,795.593,795.593,795.593,775.55,295.175,495.171,595.173,555.14,410.148,145.053,145.053,-4.947,-4.947,-4.947,-4.947,646.21,646.21,646.21,646.21,555.926,810.878,820.756,700.542,420.462,530.386,560.337,495.262,400.223,455.186,410.135,815.634,815.634,815.634,815.634,295.173,520.174,595.173,580.141,410.148,145.053,145.053,-4.947,-4.947,-4.947,-4.947,760.671,760.671,760.671,760.671,290.209,520.174,670.176,580.141,365.102,145.053,-4.947,-4.947,-4.947,-4.947,-4.947,760.671,760.671,760.671,760.671,240.212,520.174,670.176,580.141,365.102,-4.947,-4.947,-4.947,-4.947,-4.947,-4.947,760.671,760.671,760.671,760.671,290.209,520.174,670.176,530.141,365.102,-4.947,-4.947,-4.947,-4.947,-4.947,-4.947,760.671,760.671,760.671,760.671,290.209,520.174,670.176,530.141,365.102,145.053,-4.947,-4.947,-4.947,-4.947,-4.947,760.671,760.671,760.671,760.671,290.209,520.174,670.176,485.095,365.102,-4.947,-4.947,-4.947,-4.947,-4.947,-4.947
2015-01-06,1789.814,1769.735,1799.646,1653.856,1753.414,1767.715,1647.19,1661.579,1466.1,1325.923,1265.761,740.506,775.376,585.201,270.094,1849.638,1859.478,1819.311,1678.401,1572.965,2047.57,1646.731,1571.364,1471.041,1220.746,1125.666,1060.506,675.257,270.094,270.036,1994.739,1954.582,1964.41,1928.41,1757.762,1746.78,1541.45,1391.152,1185.869,1105.563,940.412,770.332,385.173,290.09,220.046,1939.451,1939.451,1984.156,1812.902,1216.883,1491.468,1406.206,1185.784,1050.613,1035.464,845.332,485.168,460.171,290.09,220.046,1984.534,1984.534,1989.067,1752.65,1066.446,1601.308,1486.122,1240.714,1100.607,745.37,705.241,365.09,290.09,290.09,290.09,2084.541,2084.541,2164.076,2052.651,1441.465,1375.98,1210.783,1050.62,1005.591,580.222,340.138,290.09,290.09,290.09,270.036,1989.512,1989.512,2219.046,2247.774,1426.368,1300.999,1115.767,1025.629,1010.565,290.112,340.138,290.09,290.09,270.036,270.036,1989.44,1989.44,2218.974,2107.591,1426.368,1301.003,1115.753,935.563,745.378,655.228,340.138,290.09,290.09,270.036,120.036,2014.441,2014.441,2234.145,2272.703,1501.37,1235.859,950.624,960.516,605.231,605.231,340.138,290.09,270.036,270.036,270.036,1595.189,1600.103,1600.095,1619.526,1603.844,1708.38,1397.682,1277.253,1261.605,1321.116,1090.914,885.61,670.436,575.32,380.276,2019.358,2019.358,2189.063,2177.624,1576.358,1255.927,905.549,885.522,505.229,630.268,340.138,270.036,270.036,270.036,270.036,2019.356,2019.356,2048.89,2137.515,1651.361,1375.987,1220.641,670.375,530.266,630.268,340.138,270.036,270.036,270.036,270.036,2069.357,2069.357,2198.891,2227.623,1561.221,1330.9,1100.598,670.375,655.269,630.268,680.265,270.094,270.036,270.036,270.036,2069.357,2069.357,2298.891,2227.623,1491.152,1235.86,980.552,670.375,580.269,630.268,680.265,270.036,270.036,270.036,270.036,1894.35,1894.35,2123.884,2052.616,1491.152,1305.917,885.518,550.306,580.269,630.268,660.214,270.036,270.036,120.036,0.0,1944.345,1944.345,2173.879,2277.618,1491.152,1315.758,885.518,555.232,580.269,435.176,465.122,270.036,270.036,120.036,0.0
2015-01-07,996.503,996.503,976.48,1006.457,966.394,921.167,836.052,725.943,550.68,325.45,190.337,150.237,15.098,15.098,15.098,831.414,831.414,831.414,881.417,801.279,731.089,811.052,640.725,255.474,100.235,35.143,-9.899,-54.966,-54.966,-54.966,761.217,761.217,761.217,761.217,791.188,616.006,355.607,370.517,120.306,120.306,85.147,70.037,-54.966,-54.966,-4.93599999999,620.983,620.983,620.983,670.984,600.788,405.586,205.416,260.357,85.166,-9.919,70.037,70.037,-54.966,-54.966,0.0,650.926,650.926,650.926,675.925,695.797,365.507,140.311,215.317,-39.854,15.081,70.037,-79.963,-54.966,-54.966,0.0,655.894,655.894,655.894,615.829,740.83,360.537,25.211,100.217,10.125,15.081,-79.963,-79.963,-54.966,-54.966,0.0,510.725,510.725,510.725,535.726,560.725,250.394,-39.856,10.125,15.081,15.081,70.037,-79.963,-54.966,-54.966,0.0,545.881,545.881,545.881,595.878,575.812,270.439,50.196,10.125,15.081,15.081,70.037,-79.963,-54.966,-54.966,-4.93199999999,500.814,500.814,500.814,575.812,515.67,270.439,100.195,10.125,15.081,65.068,70.037,-79.963,-54.966,-54.966,-4.93199999999,496.484,496.484,456.437,506.438,506.438,586.407,496.173,656.085,520.675,455.616,245.524,160.358,50.226,-34.9,-54.966,465.668,465.668,465.668,490.669,470.635,370.431,100.197,10.119,65.068,65.068,70.037,70.037,-54.966,-54.966,-29.941,465.668,465.668,465.668,490.669,520.634,370.431,100.197,60.112,65.068,115.053,70.037,-79.963,-54.966,-54.966,-29.941,495.633,495.633,495.633,495.633,570.627,440.46,60.112,65.068,65.068,115.053,70.037,-79.963,-54.966,-54.966,-29.941,545.626,545.626,545.626,545.626,620.632,350.382,60.112,65.068,115.053,115.053,-79.963,-79.963,-54.966,-54.966,-29.941,545.626,545.626,545.626,545.626,530.55,400.381,60.11,115.053,115.053,-79.963,-79.963,-79.963,-54.966,-54.966,-29.941,540.663,540.663,540.663,540.663,580.549,400.381,110.095,115.053,-79.963,-79.963,-79.963,-79.963,-54.966,-54.966,-29.941
2015-01-08,701.32,701.32,701.32,701.32,661.241,530.819,310.597,535.614,575.466,410.373,180.152,210.138,210.138,215.095,45.043,781.277,781.277,781.277,781.277,781.277,470.954,105.423,230.42,310.371,465.317,350.211,230.188,260.153,410.16,240.102,626.06,626.06,626.06,626.06,676.065,500.898,145.522,230.416,360.368,295.277,445.269,230.19,430.196,410.154,240.102,635.972,635.972,635.972,635.972,635.97,555.856,330.649,145.293,270.282,130.167,255.159,380.197,430.192,410.154,240.102,706.018,706.018,706.018,706.018,665.949,465.776,315.567,245.295,205.172,280.172,380.16,310.155,190.117,20.059,20.059,726.056,726.056,726.056,726.056,685.987,455.655,375.484,195.294,280.172,280.172,380.16,310.155,190.111,20.059,20.059,676.055,676.055,676.055,676.055,685.985,485.612,55.187,55.187,280.172,330.167,330.167,310.155,20.059,20.059,20.059,666.163,666.163,666.163,716.162,726.092,605.65,205.184,205.184,330.167,330.167,330.167,410.16,20.059,0.0,0.0,626.082,626.082,626.082,676.081,645.902,575.666,205.184,205.184,330.167,330.167,310.129,410.16,0.0,0.0,0.0,756.391,756.391,756.391,756.391,716.36,701.277,690.97,365.769,275.483,110.384,260.384,220.258,280.179,240.1,-104.958,626.084,626.084,626.084,606.031,555.798,385.584,55.187,205.184,330.167,330.167,310.129,410.16,240.102,20.059,0.0,515.963,515.963,515.963,515.963,445.677,365.547,55.187,205.184,330.167,330.167,330.167,410.16,240.102,20.059,0.0,475.884,475.884,475.884,475.884,405.598,375.465,55.187,205.184,330.167,330.167,330.167,410.16,240.102,20.059,0.0,475.884,475.884,475.884,475.884,415.516,375.465,145.273,205.18,330.167,330.167,385.129,410.16,240.102,20.059,0.0,535.803,535.803,535.803,535.803,465.517,375.465,265.314,255.179,330.167,330.167,310.129,410.16,240.102,20.059,0.0,535.803,535.803,535.803,535.803,465.517,375.465,175.228,255.179,330.167,385.129,310.129,410.16,240.102,20.059,0.0
2015-01-09,75.3,75.3,75.3,75.3,60.248,160.248,190.219,75.148,55.113,-54.979,-29.968,-29.968,-29.968,-29.968,-29.968,190.376,190.376,190.376,150.321,180.298,230.297,265.224,275.155,110.093,90.061,-29.968,-29.968,-29.968,-29.968,-29.968,190.364,190.364,190.364,240.365,255.286,140.225,200.166,230.13,90.059,-29.968,-29.968,-29.968,-29.968,-29.968,-29.96,180.273,180.273,180.273,230.274,260.251,170.189,195.194,275.164,-29.968,-29.968,-29.968,-29.968,-4.961,-4.961,-4.961,230.274,230.274,230.274,280.275,260.251,170.189,175.162,175.162,160.096,-29.968,-29.968,-29.968,-4.961,-4.961,0.0,280.273,280.273,280.273,330.274,310.25,170.189,175.162,175.162,90.061,-29.968,-29.968,-29.968,-4.961,-4.961,-4.961,280.273,280.273,280.273,330.274,310.25,170.189,195.194,175.162,90.061,90.061,-29.968,-4.961,-4.961,-4.961,-4.961,280.273,280.273,280.273,330.274,310.25,170.189,195.194,40.06,90.061,90.061,-29.958,-4.961,-4.961,-4.961,-4.961,275.307,275.307,275.307,325.308,305.284,165.223,150.158,40.06,90.061,90.061,-4.961,-4.961,-4.961,0.0,0.0,160.517,160.517,160.517,160.517,185.518,210.518,65.362,165.364,55.272,115.207,-64.919,-39.919,-9.941,-29.968,-29.968,265.371,265.371,265.371,315.372,295.348,155.287,60.092,90.061,90.061,-29.968,-4.961,-4.961,0.0,0.0,0.0,305.426,305.426,305.426,355.427,295.333,115.217,60.09,110.093,90.061,-29.968,-4.961,-4.961,0.0,0.0,0.0,255.425,255.425,255.425,305.426,165.202,35.087,110.093,110.093,-29.968,-29.968,-4.961,-4.961,0.0,0.0,0.0,255.425,255.425,255.425,305.426,165.202,35.085,110.093,110.093,-29.968,-29.968,-4.961,-4.961,0.0,0.0,0.0,255.425,255.425,255.425,305.426,165.202,85.088,110.087,110.087,-29.968,-29.968,-4.961,-4.961,0.0,0.0,0.0,255.425,255.425,255.425,305.426,215.201,85.088,-29.968,-29.968,-29.968,-29.968,-4.961,-4.961,0.0,0.0,0.0
2015-01-12,526.192,526.192,526.192,606.128,445.969,360.801,230.564,235.492,235.476,225.281,155.239,135.163,-79.949,-79.949,-79.949,631.144,631.144,631.144,686.081,691.028,535.812,185.498,165.444,200.286,105.227,-39.822,-9.886,-79.949,-79.949,-79.949,556.141,556.141,556.141,661.079,616.021,365.737,370.649,240.427,80.228,130.246,60.186,60.184,-79.949,-79.949,-79.949,556.131,556.131,556.131,561.069,666.016,490.709,330.551,270.362,250.291,230.248,230.252,60.184,190.121,-79.949,0.0,446.254,446.254,446.254,401.193,465.999,540.692,335.485,400.303,105.245,230.252,60.17,240.121,70.07,0.0,0.0,406.115,406.115,406.115,361.054,416.0,345.639,380.563,490.431,105.251,60.186,60.186,240.121,0.0,0.0,0.0,406.115,406.115,406.115,361.054,416.0,395.636,535.493,445.383,35.187,-79.947,-79.947,-79.949,0.0,0.0,0.0,406.115,406.115,406.115,361.054,416.0,470.639,510.502,445.383,130.241,-79.947,-79.947,-79.949,0.0,0.0,0.0,356.112,356.112,356.112,311.051,365.997,470.643,480.555,445.383,130.241,-79.947,-79.947,-79.949,0.0,0.0,0.0,406.152,406.152,406.152,361.089,411.089,341.039,370.987,310.801,265.729,135.455,20.344,75.292,40.103,40.101,-79.949,356.112,356.112,356.112,311.051,365.997,520.648,480.555,355.261,130.241,-79.947,-79.947,-79.949,0.0,0.0,0.0,361.058,361.058,361.058,315.997,370.943,590.714,480.557,355.261,130.241,-79.947,-79.947,-79.949,0.0,0.0,0.0,361.058,361.058,361.058,315.997,370.943,540.712,505.556,355.261,260.187,-79.947,-79.947,-79.949,0.0,0.0,0.0,361.058,361.058,361.058,315.997,370.943,540.712,460.487,355.261,260.187,-79.947,-79.947,-79.949,0.0,0.0,0.0,361.058,361.058,361.058,315.997,370.943,490.711,460.487,425.311,260.187,-79.947,-79.947,-79.949,0.0,0.0,0.0,411.057,411.057,411.057,365.996,370.943,490.711,460.487,425.311,260.187,145.053,-79.947,-79.949,0.0,0.0,0.0
2015-01-13,175.979,175.979,175.979,175.979,225.982,135.816,115.685,290.687,270.6,85.304,110.303,110.301,-79.885,-79.885,-79.885,191.164,191.164,191.164,191.164,216.164,275.984,140.694,165.692,75.499,-9.792,15.213,65.218,65.218,0.0,0.0,191.16,191.16,191.16,191.16,241.167,110.818,-24.498,25.503,150.504,-9.792,-104.884,-104.884,-79.885,-79.885,-79.885,271.064,271.064,271.064,250.977,350.971,185.804,50.485,25.505,-179.899,-129.903,-104.884,-104.886,-79.885,-79.885,0.0,241.157,241.157,241.157,300.98,330.879,70.615,25.491,5.40600000001,-179.899,-104.884,-104.884,-104.886,-79.885,-79.885,0.0,241.157,241.157,241.157,250.977,330.882,95.624,-64.721,-64.691,-39.69,-104.884,-104.884,-104.884,-79.885,-79.885,-79.885,191.162,191.162,191.162,250.977,190.67,75.496,-64.721,-204.9,-179.899,-104.884,-104.886,-79.885,-79.885,-79.885,0.0,191.162,191.162,191.162,250.977,190.67,145.579,-204.9,-204.9,-179.899,-79.881,-79.881,-79.875,-79.875,0.0,0.0,191.162,191.162,191.162,250.977,190.67,145.579,-204.9,-204.9,-179.899,-79.885,0.0,0.0,0.0,0.0,0.0,175.981,175.981,175.981,175.981,110.82,110.82,70.602,95.601,105.403,130.403,60.301,40.204,145.089,145.089,95.089,191.162,191.162,191.162,250.977,190.67,145.579,-204.9,-204.9,-179.899,-79.885,0.0,0.0,0.0,0.0,0.0,191.162,191.162,191.162,250.977,190.67,215.675,-204.9,-204.9,-179.899,-79.885,0.0,0.0,0.0,0.0,0.0,191.162,191.162,191.162,250.977,210.768,215.675,-204.9,-204.9,-179.899,-79.885,0.0,0.0,0.0,0.0,0.0,191.16,191.16,191.16,250.977,210.768,215.675,-204.9,-204.9,-179.899,-79.885,0.0,0.0,0.0,0.0,0.0,200.982,200.982,200.982,250.977,280.872,215.675,-204.9,-204.9,-179.899,-79.885,-79.885,0.0,0.0,0.0,0.0,200.982,200.982,200.982,250.977,280.882,215.675,-204.9,-204.9,-179.899,-79.885,-79.885,0.0,0.0,0.0,0.0
2015-01-14,1667.07,1667.07,1717.065,1935.27,2029.401,1777.374,1831.145,1995.47,1679.123,1748.353,1442.504,1161.612,876.028,365.376,120.158,1776.725,1776.725,2001.724,2180.549,2123.73,2146.558,2009.949,1949.382,2008.916,1367.502,1277.143,871.208,655.78,240.439,-4.837,1801.678,1801.678,1851.673,2074.741,2358.38,2316.873,1754.191,1798.392,1392.521,1056.898,671.241,410.493,265.348,390.381,390.381,1870.849,1870.849,1905.531,2370.033,2162.175,2431.359,2014.869,1537.774,1181.834,1186.678,821.259,460.494,240.352,390.381,415.382,2161.331,2161.331,2196.013,2249.802,2377.669,1944.644,1357.978,1707.971,1136.705,1286.723,1311.723,360.494,290.353,340.381,415.382,2231.499,2231.499,2266.181,2474.775,2237.245,2039.856,1557.99,1467.567,1331.891,1286.727,630.743,360.494,315.354,315.354,170.218,2206.435,2206.435,2160.201,2449.711,2131.357,1804.26,1673.287,1227.096,1331.865,821.293,510.601,240.352,290.353,365.382,415.382,2251.591,2251.591,2361.273,2384.327,2011.194,1724.518,1553.053,1227.096,1111.67,821.261,510.601,365.352,290.353,315.354,415.382,2401.584,2401.584,2436.266,2389.093,2176.567,1939.943,1648.294,1227.096,1111.696,941.459,610.601,365.352,290.353,315.354,415.382,1808.451,1808.451,1813.211,1832.39,1540.984,1469.763,1537.848,1766.674,2156.154,2055.246,2419.663,1562.803,1077.165,766.595,210.645,2451.589,2451.589,2511.272,2479.553,2232.301,1849.511,1528.086,1417.49,1552.129,1016.477,610.601,510.601,290.356,315.354,415.382,2451.589,2451.589,2511.272,2479.553,2216.965,1919.714,1578.087,1567.494,1652.16,871.33,560.647,560.647,290.398,340.399,440.427,2376.592,2376.592,2486.271,2459.369,2221.789,2064.935,1578.087,1472.317,1431.93,750.986,560.647,290.398,290.398,340.399,440.427,2376.592,2376.592,2436.275,2489.183,2171.805,1854.287,1532.907,1472.317,1431.93,700.976,510.65,560.647,290.398,340.399,440.427,2376.592,2376.592,2411.274,2489.183,2196.805,1613.779,1703.114,1427.111,1461.612,800.986,560.647,365.438,95.189,120.192,120.192,2376.592,2376.592,2411.274,2539.188,2171.81,1613.779,1703.14,1206.826,1356.824,800.986,560.647,365.438,120.192,120.192,120.192
2015-01-15,1224.114,1224.114,1274.115,1108.71,1043.257,957.652,860.698,965.47,903.641,813.249,346.079,446.054,455.708,460.558,260.55,1048.117,1048.117,1123.117,967.289,951.926,911.465,725.045,759.638,893.166,697.961,411.409,405.747,385.563,335.589,285.589,1052.903,1052.903,1102.906,976.931,821.108,710.579,759.638,809.637,952.734,436.519,371.107,285.583,360.563,385.563,65.433,1037.513,1037.513,1047.147,1001.939,740.373,624.931,603.868,678.886,637.423,325.952,155.741,205.74,335.568,260.563,240.434,827.091,827.091,786.724,726.05,600.03,554.784,578.867,588.373,426.945,441.338,300.92,230.725,235.568,235.568,15.434,902.081,902.081,881.87,730.841,760.665,559.61,373.021,392.186,361.535,346.195,255.807,255.725,235.568,285.563,-129.787,761.78,761.78,776.203,690.534,775.046,468.192,362.333,136.534,296.198,205.808,205.808,-34.561,-34.561,-129.787,-129.787,780.73,780.73,785.519,699.85,784.56,547.975,442.124,71.177,105.792,255.807,305.802,385.645,65.433,-104.788,-79.777,816.072,816.072,816.072,690.124,698.998,382.628,376.847,-19.187,155.802,305.802,305.802,435.644,-104.788,-79.777,0.0,955.671,955.671,1055.673,1080.673,969.993,848.844,882.518,1116.061,1219.957,938.367,737.452,772.095,551.015,285.564,285.564,866.071,866.071,866.071,699.832,608.642,301.99,261.52,150.952,280.802,185.58,185.58,290.434,-79.777,0.0,0.0,881.423,881.423,881.423,664.345,468.253,351.882,75.97,150.936,305.802,185.58,185.58,190.434,0.0,0.0,0.0,962.079,962.079,881.379,785.226,508.56,281.734,75.97,150.936,255.805,185.58,185.58,145.223,0.0,0.0,0.0,912.08,912.08,831.38,735.189,533.549,281.734,75.982,250.958,305.802,185.58,185.58,240.363,0.0,0.0,0.0,856.389,856.389,816.036,690.002,493.242,322.153,175.992,250.958,305.802,185.498,185.498,240.363,-29.825,0.0,0.0,691.026,691.026,691.026,574.616,493.236,482.687,200.997,250.992,305.802,185.498,185.498,240.363,-29.825,0.0,0.0
2015-01-16,473.629,473.629,473.629,473.629,468.192,352.444,466.627,476.403,60.827,-174.473,-214.69,-109.822,-34.823,65.182,140.194,599.087,599.087,599.087,608.879,463.296,181.97,41.248,101.091,-174.455,-124.487,-44.591,-134.822,-109.822,-84.835,40.164,528.575,528.575,528.575,488.368,197.131,151.509,96.143,-34.26,-99.455,-69.609,5.415,-14.69,15.165,40.164,140.164,478.141,478.141,478.141,467.829,231.889,251.509,-19.095,70.628,-94.566,-19.6,-39.693,210.301,215.169,140.164,165.163,337.392,337.392,337.392,387.391,331.959,161.359,-54.34,95.628,-44.565,-64.7,110.31,215.169,140.164,165.163,290.174,282.499,282.499,282.499,347.244,146.731,-89.186,-4.36299999999,95.628,-139.668,85.299,110.306,210.301,140.164,165.163,290.174,257.042,257.042,257.042,307.038,106.498,15.7,-194.557,-189.669,-139.66,10.299,110.306,210.301,140.164,165.167,290.174,377.14,377.14,377.14,286.91,161.375,-79.352,-194.549,-189.661,-89.657,85.325,160.311,115.169,140.164,165.167,290.174,202.068,202.068,111.838,61.325,151.014,-79.352,-169.55,-139.658,-89.657,-159.832,65.179,115.169,140.164,265.175,290.174,304.358,304.358,304.358,354.359,404.358,313.757,267.7,457.478,291.232,-109.331,-199.537,-314.704,-234.83,-209.83,-209.83,161.827,161.827,161.827,51.012,10.827,-79.352,-144.55,-89.657,-89.657,-59.827,65.179,115.169,140.168,265.175,290.174,121.616,121.616,121.616,-48.978,1.029,-79.352,-94.547,-89.657,-89.657,15.172,65.179,115.173,240.176,265.175,290.174,56.417,56.417,56.417,-39.176,-34.278,-79.354,-119.514,-89.657,-89.657,40.172,65.179,215.181,240.176,265.175,290.174,106.425,106.425,66.24,-34.278,-34.28,-99.447,-69.513,-89.657,10.342,-9.83300000001,65.179,115.169,240.176,265.175,290.174,-44.068,-44.068,5.931,-34.28,-29.38,0.557000000001,-69.519,-39.658,-34.79,-9.83300000001,65.179,115.169,240.176,265.175,290.174,-84.279,-84.279,-34.28,-34.28,20.629,0.557000000001,-19.514,-134.79,-34.79,-9.83300000001,65.179,215.181,240.176,265.175,290.174
