,roll:1000_sd:0.5,roll:1000_sd:0.75,roll:1000_sd:1.0,roll:1000_sd:1.25,roll:1000_sd:1.5,roll:1000_sd:1.75,roll:1000_sd:2.0,roll:1000_sd:2.25,roll:1000_sd:2.5,roll:1000_sd:2.75,roll:1000_sd:3.0,roll:1000_sd:3.25,roll:1000_sd:3.5,roll:1000_sd:3.75,roll:1000_sd:4.0,roll:1500_sd:0.5,roll:1500_sd:0.75,roll:1500_sd:1.0,roll:1500_sd:1.25,roll:1500_sd:1.5,roll:1500_sd:1.75,roll:1500_sd:2.0,roll:1500_sd:2.25,roll:1500_sd:2.5,roll:1500_sd:2.75,roll:1500_sd:3.0,roll:1500_sd:3.25,roll:1500_sd:3.5,roll:1500_sd:3.75,roll:1500_sd:4.0,roll:2000_sd:0.5,roll:2000_sd:0.75,roll:2000_sd:1.0,roll:2000_sd:1.25,roll:2000_sd:1.5,roll:2000_sd:1.75,roll:2000_sd:2.0,roll:2000_sd:2.25,roll:2000_sd:2.5,roll:2000_sd:2.75,roll:2000_sd:3.0,roll:2000_sd:3.25,roll:2000_sd:3.5,roll:2000_sd:3.75,roll:2000_sd:4.0,roll:2500_sd:0.5,roll:2500_sd:0.75,roll:2500_sd:1.0,roll:2500_sd:1.25,roll:2500_sd:1.5,roll:2500_sd:1.75,roll:2500_sd:2.0,roll:2500_sd:2.25,roll:2500_sd:2.5,roll:2500_sd:2.75,roll:2500_sd:3.0,roll:2500_sd:3.25,roll:2500_sd:3.5,roll:2500_sd:3.75,roll:2500_sd:4.0,roll:3000_sd:0.5,roll:3000_sd:0.75,roll:3000_sd:1.0,roll:3000_sd:1.25,roll:3000_sd:1.5,roll:3000_sd:1.75,roll:3000_sd:2.0,roll:3000_sd:2.25,roll:3000_sd:2.5,roll:3000_sd:2.75,roll:3000_sd:3.0,roll:3000_sd:3.25,roll:3000_sd:3.5,roll:3000_sd:3.75,roll:3000_sd:4.0,roll:3500_sd:0.5,roll:3500_sd:0.75,roll:3500_sd:1.0,roll:3500_sd:1.25,roll:3500_sd:1.5,roll:3500_sd:1.75,roll:3500_sd:2.0,roll:3500_sd:2.25,roll:3500_sd:2.5,roll:3500_sd:2.75,roll:3500_sd:3.0,roll:3500_sd:3.25,roll:3500_sd:3.5,roll:3500_sd:3.75,roll:3500_sd:4.0,roll:4000_sd:0.5,roll:4000_sd:0.75,roll:4000_sd:1.0,roll:4000_sd:1.25,roll:4000_sd:1.5,roll:4000_sd:1.75,roll:4000_sd:2.0,roll:4000_sd:2.25,roll:4000_sd:2.5,roll:4000_sd:2.75,roll:4000_sd:3.0,roll:4000_sd:3.25,roll:4000_sd:3.5,roll:4000_sd:3.75,roll:4000_sd:4.0,roll:4500_sd:0.5,roll:4500_sd:0.75,roll:4500_sd:1.0,roll:4500_sd:1.25,roll:4500_sd:1.5,roll:4500_sd:1.75,roll:4500_sd:2.0,roll:4500_sd:2.25,roll:4500_sd:2.5,roll:4500_sd:2.75,roll:4500_sd:3.0,roll:4500_sd:3.25,roll:4500_sd:3.5,roll:4500_sd:3.75,roll:4500_sd:4.0,roll:5000_sd:0.5,roll:5000_sd:0.75,roll:5000_sd:1.0,roll:5000_sd:1.25,roll:5000_sd:1.5,roll:5000_sd:1.75,roll:5000_sd:2.0,roll:5000_sd:2.25,roll:5000_sd:2.5,roll:5000_sd:2.75,roll:5000_sd:3.0,roll:5000_sd:3.25,roll:5000_sd:3.5,roll:5000_sd:3.75,roll:5000_sd:4.0,roll:500_sd:0.5,roll:500_sd:0.75,roll:500_sd:1.0,roll:500_sd:1.25,roll:500_sd:1.5,roll:500_sd:1.75,roll:500_sd:2.0,roll:500_sd:2.25,roll:500_sd:2.5,roll:500_sd:2.75,roll:500_sd:3.0,roll:500_sd:3.25,roll:500_sd:3.5,roll:500_sd:3.75,roll:500_sd:4.0,roll:5500_sd:0.5,roll:5500_sd:0.75,roll:5500_sd:1.0,roll:5500_sd:1.25,roll:5500_sd:1.5,roll:5500_sd:1.75,roll:5500_sd:2.0,roll:5500_sd:2.25,roll:5500_sd:2.5,roll:5500_sd:2.75,roll:5500_sd:3.0,roll:5500_sd:3.25,roll:5500_sd:3.5,roll:5500_sd:3.75,roll:5500_sd:4.0,roll:6000_sd:0.5,roll:6000_sd:0.75,roll:6000_sd:1.0,roll:6000_sd:1.25,roll:6000_sd:1.5,roll:6000_sd:1.75,roll:6000_sd:2.0,roll:6000_sd:2.25,roll:6000_sd:2.5,roll:6000_sd:2.75,roll:6000_sd:3.0,roll:6000_sd:3.25,roll:6000_sd:3.5,roll:6000_sd:3.75,roll:6000_sd:4.0,roll:6500_sd:0.5,roll:6500_sd:0.75,roll:6500_sd:1.0,roll:6500_sd:1.25,roll:6500_sd:1.5,roll:6500_sd:1.75,roll:6500_sd:2.0,roll:6500_sd:2.25,roll:6500_sd:2.5,roll:6500_sd:2.75,roll:6500_sd:3.0,roll:6500_sd:3.25,roll:6500_sd:3.5,roll:6500_sd:3.75,roll:6500_sd:4.0,roll:7000_sd:0.5,roll:7000_sd:0.75,roll:7000_sd:1.0,roll:7000_sd:1.25,roll:7000_sd:1.5,roll:7000_sd:1.75,roll:7000_sd:2.0,roll:7000_sd:2.25,roll:7000_sd:2.5,roll:7000_sd:2.75,roll:7000_sd:3.0,roll:7000_sd:3.25,roll:7000_sd:3.5,roll:7000_sd:3.75,roll:7000_sd:4.0,roll:7500_sd:0.5,roll:7500_sd:0.75,roll:7500_sd:1.0,roll:7500_sd:1.25,roll:7500_sd:1.5,roll:7500_sd:1.75,roll:7500_sd:2.0,roll:7500_sd:2.25,roll:7500_sd:2.5,roll:7500_sd:2.75,roll:7500_sd:3.0,roll:7500_sd:3.25,roll:7500_sd:3.5,roll:7500_sd:3.75,roll:7500_sd:4.0,roll:8000_sd:0.5,roll:8000_sd:0.75,roll:8000_sd:1.0,roll:8000_sd:1.25,roll:8000_sd:1.5,roll:8000_sd:1.75,roll:8000_sd:2.0,roll:8000_sd:2.25,roll:8000_sd:2.5,roll:8000_sd:2.75,roll:8000_sd:3.0,roll:8000_sd:3.25,roll:8000_sd:3.5,roll:8000_sd:3.75,roll:8000_sd:4.0
2015-01-05,61,61,59,55,50,49,46,40,32,24,17,13,9,5,3,50,49,48,44,40,36,35,32,30,22,18,11,7,6,4,48,45,43,40,35,29,26,23,18,13,10,9,7,7,4,44,41,39,37,27,21,16,16,11,11,10,10,7,7,6,39,36,34,27,25,21,14,14,12,11,8,6,6,5,3,33,29,27,24,21,17,16,14,12,8,7,6,6,3,2,26,23,21,19,19,15,12,10,8,8,7,4,4,2,1,25,22,20,18,16,12,11,10,8,8,7,3,2,2,1,25,22,20,17,14,10,10,8,8,6,5,5,2,2,2,87,87,86,84,81,76,68,62,54,37,31,23,16,10,7,25,22,20,16,14,8,8,8,6,6,5,3,2,2,1,26,23,19,16,11,8,8,8,6,4,3,3,1,1,1,31,28,19,14,10,8,8,6,4,3,3,3,2,1,1,28,23,17,14,10,8,6,6,4,3,3,3,1,1,1,22,19,15,13,10,6,6,6,4,3,3,1,1,1,1,22,19,17,13,10,6,6,6,4,3,3,1,1,1,1
2015-01-06,110,110,106,96,95,90,80,49,37,34,22,19,16,13,8,103,102,88,84,70,65,51,40,24,22,18,13,8,6,5,75,73,68,59,50,43,39,26,20,13,11,10,8,6,4,63,61,53,51,44,38,32,25,19,15,10,9,7,7,5,59,56,49,47,42,36,31,19,16,10,10,9,7,7,5,53,53,49,46,38,32,29,20,15,11,8,7,5,5,3,48,48,47,42,36,35,26,20,14,10,6,5,5,4,2,47,45,42,42,36,35,26,21,15,9,8,5,3,2,2,42,42,42,42,35,31,26,19,13,8,7,4,3,2,2,152,152,148,127,124,121,111,94,75,57,47,32,21,17,11,44,44,42,38,31,27,25,18,13,9,7,4,3,2,2,45,45,39,36,31,28,25,19,13,9,7,4,3,3,2,42,40,40,38,31,26,24,17,13,10,7,4,4,3,1,42,40,40,38,29,26,24,18,13,10,8,4,3,1,1,41,39,38,32,27,26,25,19,11,10,8,4,3,1,1,43,37,36,33,28,26,24,21,12,10,7,4,4,2,1
2015-01-07,92,92,92,89,81,73,61,54,42,33,26,23,18,12,10,93,93,92,79,69,60,53,45,36,31,24,15,11,8,6,82,80,80,75,57,52,48,40,32,28,15,11,7,6,5,86,78,76,73,60,52,43,35,28,17,12,6,4,2,2,75,73,71,65,57,49,39,31,25,20,11,3,2,2,2,78,75,68,63,49,42,32,24,22,16,12,3,2,1,1,77,72,66,58,45,34,30,21,16,15,12,3,2,1,1,72,69,61,51,41,31,26,19,14,13,8,3,2,1,1,69,65,54,44,39,30,24,17,12,12,9,4,0,0,0,130,130,129,127,119,111,104,90,74,56,40,27,21,13,10,74,63,51,37,30,26,23,16,12,12,7,3,0,0,0,74,67,48,36,29,28,22,14,12,10,7,4,0,0,0,76,73,49,32,29,26,20,11,11,9,4,4,0,0,0,81,80,49,34,28,26,19,11,9,8,4,1,0,0,0,77,66,50,32,29,20,18,11,9,6,1,1,1,0,0,71,65,50,28,23,21,16,10,8,4,1,1,1,0,0
2015-01-08,97,96,94,91,88,86,72,59,51,34,32,26,19,12,9,84,83,81,76,74,62,54,43,31,24,20,17,11,10,7,62,62,61,59,51,47,40,34,26,24,20,18,9,7,4,61,61,60,57,50,48,37,28,24,22,18,13,7,4,3,58,55,55,48,46,40,34,27,25,18,14,7,4,4,3,51,51,51,51,46,37,32,23,15,14,10,6,6,4,4,49,47,47,47,40,34,28,20,15,13,10,6,6,6,4,44,44,44,42,36,30,24,17,13,11,8,7,4,4,4,41,39,39,39,33,27,23,16,12,10,8,5,4,4,4,115,114,113,112,107,102,98,89,79,53,38,30,23,14,11,42,40,37,32,31,27,20,13,10,10,7,4,4,4,2,34,34,33,30,28,25,18,13,11,10,7,5,4,4,2,36,36,31,30,25,21,18,13,11,10,7,6,4,4,2,33,31,31,27,23,20,16,12,10,10,7,6,4,4,3,35,33,31,29,22,20,16,11,10,10,9,6,4,4,3,39,35,35,29,22,18,14,11,10,10,6,4,4,4,3
2015-01-09,111,111,107,99,96,90,74,64,53,38,32,22,19,13,6,105,100,94,84,83,78,60,40,31,29,27,24,17,12,6,91,90,82,71,65,61,50,41,29,27,23,16,12,8,5,88,84,75,67,58,58,48,34,26,21,19,17,9,4,3,84,76,66,59,52,48,40,30,22,17,14,12,10,6,3,73,65,56,52,49,41,35,25,19,15,12,10,6,6,3,62,59,52,49,47,35,31,22,17,12,10,7,7,5,1,57,55,50,45,41,34,29,23,15,10,7,7,6,3,2,53,51,47,41,37,30,24,22,11,7,7,6,6,3,1,134,133,132,126,122,113,104,94,83,66,43,31,22,16,13,54,49,46,42,35,29,22,19,10,7,6,6,6,4,1,57,52,45,40,34,25,20,16,8,6,6,6,6,3,1,54,47,39,35,29,25,17,12,9,7,6,6,6,3,1,48,41,35,33,23,19,17,12,8,8,6,6,6,3,1,51,37,33,29,23,19,13,11,8,8,6,6,4,3,1,40,35,31,26,21,16,11,11,8,8,6,6,4,3,1
2015-01-12,107,106,104,102,96,89,71,63,49,37,27,23,17,15,8,98,97,92,90,81,64,52,41,31,26,21,14,14,10,9,86,84,76,68,55,49,39,36,27,21,17,14,7,5,3,76,72,67,57,49,40,33,27,23,17,9,9,4,3,3,71,67,64,50,45,38,30,21,14,13,9,8,6,3,2,71,69,65,51,42,35,23,18,13,10,7,5,5,5,3,70,66,59,51,36,29,22,18,13,10,7,6,5,3,3,68,63,53,39,31,27,14,13,9,9,7,5,5,5,3,66,59,50,42,29,18,14,12,9,7,7,3,3,3,1,142,142,138,138,135,126,120,109,91,72,45,36,25,17,10,70,58,44,36,20,15,13,10,5,5,3,3,3,3,1,63,49,41,32,20,14,13,8,4,3,3,1,1,1,1,55,46,37,28,17,14,13,9,4,3,3,1,1,1,1,55,47,37,26,17,14,13,7,3,3,3,1,1,1,1,49,46,34,22,17,14,11,7,3,3,3,2,1,1,1,50,44,30,20,15,10,8,6,3,3,3,3,1,1,1
2015-01-13,92,92,89,85,75,72,65,56,51,34,23,17,14,10,8,67,67,59,56,51,46,41,37,27,20,19,13,12,10,9,61,61,51,49,45,43,33,26,22,18,17,12,10,9,8,57,54,47,44,38,33,30,23,16,14,13,12,10,9,7,54,51,47,42,36,32,25,18,15,12,12,12,9,9,9,52,48,42,35,28,27,20,16,14,12,10,10,9,9,8,54,50,39,32,27,27,18,17,14,12,10,10,9,6,6,50,49,38,30,27,22,16,14,13,9,9,9,7,7,5,46,45,40,28,22,20,15,14,13,9,9,8,7,7,5,134,134,131,124,118,108,102,86,75,56,35,25,15,11,6,47,45,35,27,19,19,13,12,11,9,9,8,7,7,6,50,47,32,24,16,15,14,12,9,9,9,9,7,7,7,48,46,30,24,15,14,13,12,9,9,9,9,7,7,7,46,44,29,23,14,14,13,12,9,9,9,9,7,7,7,40,38,27,21,14,14,13,12,9,9,7,7,7,7,6,37,37,29,21,14,14,13,12,11,9,7,7,5,5,3
2015-01-14,151,150,142,127,106,93,81,70,53,43,33,22,15,10,7,136,136,125,108,101,80,65,46,36,29,24,15,7,4,4,119,115,108,96,84,66,48,42,32,22,15,11,7,4,3,112,107,104,89,81,63,47,36,21,19,15,9,6,5,4,102,97,86,73,65,45,36,29,18,14,11,8,7,6,4,84,79,71,64,51,38,30,19,14,13,12,8,7,6,5,83,78,69,53,41,29,26,16,13,11,9,7,7,7,6,79,77,53,42,38,28,23,14,12,10,8,7,7,6,4,77,72,50,38,32,23,20,13,12,10,9,7,6,6,3,185,184,171,165,148,133,120,107,86,69,54,40,26,17,9,72,70,45,33,29,18,16,12,12,10,7,7,4,4,3,71,67,39,30,26,18,16,11,11,8,7,7,4,3,3,65,55,42,30,23,15,11,11,8,8,7,5,4,3,3,55,51,37,27,20,13,10,9,7,7,7,4,4,3,2,55,50,35,24,16,12,9,9,7,5,5,5,4,3,1,47,41,30,20,15,12,11,9,7,5,5,4,2,2,2
2015-01-15,90,90,88,86,77,75,69,61,50,37,30,27,21,13,11,90,90,84,82,64,59,54,39,32,27,24,20,16,13,6,82,77,74,69,54,47,38,32,25,24,18,14,9,8,6,71,69,68,60,50,41,33,23,21,17,13,11,8,6,4,69,64,61,49,38,33,27,18,18,13,10,7,6,6,4,58,57,52,42,35,28,24,16,13,10,9,4,4,4,4,55,53,44,36,31,28,22,13,11,9,6,6,4,4,4,51,45,42,33,27,26,21,12,9,7,6,6,4,4,4,48,46,42,32,27,19,16,7,7,7,6,6,6,4,3,123,123,123,120,114,107,103,89,77,61,43,32,29,22,21,48,45,41,30,25,18,14,7,7,7,6,6,6,4,4,52,45,36,29,22,17,14,7,7,7,6,6,5,3,3,53,45,34,28,20,17,12,7,7,7,6,4,4,3,3,51,43,33,27,18,17,13,7,7,6,5,4,4,2,2,49,45,34,24,18,15,13,7,6,6,5,4,4,2,2,48,44,33,24,15,13,13,7,6,6,5,4,4,2,1
2015-01-16,126,126,126,122,104,99,91,73,53,41,27,20,15,12,9,114,112,108,93,82,67,60,53,41,34,24,15,9,8,7,104,104,103,97,66,56,48,37,28,22,19,13,8,6,5,101,101,98,92,61,49,40,30,22,18,18,14,9,6,5,94,94,94,81,61,41,29,21,20,18,13,10,6,5,4,85,85,81,73,58,37,28,22,18,16,10,9,5,3,2,80,80,78,72,55,31,26,19,16,13,10,9,4,2,1,86,81,76,67,42,30,25,20,16,13,9,7,5,2,1,86,85,74,65,44,28,22,15,11,11,9,7,5,2,1,164,164,164,163,160,149,126,116,93,73,53,35,24,15,12,87,84,84,61,42,28,18,14,11,11,9,7,4,2,2,81,81,80,47,37,27,15,14,13,11,9,4,4,2,1,79,78,66,42,35,29,15,14,13,9,8,5,4,2,1,77,69,59,37,34,27,15,14,13,9,5,4,4,2,1,77,70,64,34,31,25,15,13,11,6,4,4,4,2,1,79,71,66,33,31,23,17,11,11,6,4,4,4,2,1
2015-01-19,107,107,107,102,93,92,78,62,54,42,31,27,17,15,9,100,100,100,96,74,66,59,46,44,27,27,21,13,10,8,88,88,86,79,66,58,53,35,33,26,19,19,12,9,7,77,76,74,69,52,46,36,30,24,20,18,17,12,10,6,74,72,64,59,45,36,34,29,25,16,16,12,8,6,6,70,67,59,52,41,36,29,27,22,16,11,11,5,5,5,67,67,59,49,35,31,26,21,19,10,7,7,5,5,4,75,68,61,48,29,27,24,17,13,8,7,7,7,5,4,84,80,62,46,27,24,21,13,11,7,7,7,5,5,3,161,161,160,154,145,137,122,114,95,69,46,39,26,19,15,78,70,62,49,33,22,19,13,12,9,7,7,5,5,3,70,67,55,45,31,20,18,13,12,9,7,6,4,4,2,63,63,48,43,27,19,16,13,13,9,6,4,4,4,2,65,58,49,43,25,19,16,14,10,8,6,6,2,2,2,64,61,50,43,27,19,16,13,11,8,5,2,2,2,2,66,64,48,43,25,20,16,11,10,4,2,2,2,2,2
2015-01-20,81,81,81,80,76,74,69,63,56,41,29,19,15,11,6,69,69,69,65,59,52,47,40,33,26,20,13,10,7,3,68,67,67,56,48,38,32,28,21,17,13,9,8,7,3,50,50,47,45,40,36,28,25,22,17,11,8,6,5,5,47,47,44,43,40,33,30,25,20,14,12,8,5,5,5,43,43,42,42,38,30,26,24,19,11,10,8,5,5,5,44,44,42,39,36,30,26,20,18,11,10,8,7,3,3,44,44,38,37,34,28,24,20,16,12,10,8,6,4,2,46,46,40,37,33,26,20,16,15,11,9,8,5,3,1,106,106,106,105,101,97,94,91,83,66,47,30,22,14,11,48,48,44,34,28,21,18,16,15,11,8,5,3,3,1,46,46,42,31,26,23,18,16,13,9,7,6,3,3,2,43,43,43,30,27,22,18,16,11,9,7,6,3,3,3,45,45,41,33,27,19,16,12,11,9,8,6,3,3,3,43,43,40,33,23,17,14,11,11,9,7,3,3,3,3,45,45,44,35,22,18,12,11,11,9,8,3,3,3,1
2015-01-21,98,98,95,91,90,79,68,57,47,32,27,19,14,11,11,73,71,70,65,61,56,51,42,30,22,21,15,11,11,9,71,69,69,56,50,46,37,31,25,15,13,11,7,6,5,64,62,59,54,40,36,32,27,21,16,12,11,8,7,6,59,54,50,50,36,29,25,21,19,15,10,10,8,7,6,53,51,49,44,36,21,19,17,17,12,11,9,9,7,6,56,54,49,43,34,19,18,17,14,12,11,9,9,9,6,57,54,50,44,30,19,18,16,12,12,11,9,9,9,7,61,58,51,48,31,19,16,15,14,11,11,10,9,7,5,137,136,135,124,120,117,107,91,80,63,50,32,25,19,13,68,68,61,45,31,16,15,13,13,11,11,8,8,6,5,74,72,63,39,26,16,14,11,11,9,9,8,8,7,3,70,63,61,38,23,14,12,11,9,9,9,8,8,6,3,71,67,60,40,20,14,12,9,9,9,9,8,6,5,4,63,63,54,42,19,16,12,9,9,9,9,5,5,5,2,63,59,54,38,18,16,10,9,9,8,6,5,3,2,2
2015-01-22,109,106,106,101,89,81,69,55,46,36,29,24,20,17,13,95,94,92,80,75,67,55,47,40,34,25,17,12,10,5,81,74,70,66,61,56,44,38,29,25,19,12,7,4,3,81,81,70,63,48,44,31,31,21,17,13,9,4,3,2,69,67,54,50,35,32,29,19,17,14,11,8,5,3,2,57,55,51,44,32,31,26,16,15,13,9,6,5,3,2,53,50,49,42,31,28,22,17,13,12,7,5,3,3,2,54,50,49,37,29,25,20,15,12,12,7,3,3,3,3,55,49,43,33,28,20,13,12,11,10,6,5,3,3,3,148,145,146,144,139,128,110,90,80,58,44,33,22,15,8,52,48,35,29,18,15,12,11,9,9,6,3,3,3,3,46,39,25,23,16,15,11,9,9,9,7,3,3,3,3,44,32,22,21,15,12,10,9,9,9,7,3,3,3,3,35,24,19,19,14,12,9,9,9,9,6,3,3,3,3,32,23,21,18,14,14,9,9,9,8,5,5,3,3,2,34,24,19,16,14,14,9,9,9,7,3,3,3,3,2
