,PNL,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,-58120.0,907.152542373,1.0,2124.0,20208,-3.22651712397,1031.89745644,0.35349489285,-0.415499098355,1000,-2.64917461549,2,0.0
1,-58102.0,906.779661017,1.0,2124.0,20184,-3.23641467816,1033.39282134,0.352917585723,-0.415374594052,1000,-2.64464603423,3,0.0
2,-58084.0,906.474576271,1.0,2124.0,20180,-3.23505816286,1033.67408744,0.352787805856,-0.415245990808,1000,-2.64241365821,4,0.0
3,-58084.0,906.474576271,1.0,2124.0,20180,-3.23505816286,1033.67809868,0.352787805856,-0.415245990808,1000,-2.64241365821,5,0.0
4,-58084.0,906.474576271,1.0,2124.0,20180,-3.23505816286,1033.67809868,0.352787805856,-0.415245990808,1000,-2.64241365821,6,0.0
5,-58084.0,906.474576271,1.0,2124.0,20180,-3.23505816286,1033.70136382,0.352787805856,-0.415245990808,1000,-2.64241365821,7,0.0
6,-58084.0,906.474576271,1.0,2124.0,20180,-3.23505816286,1033.70136382,0.352787805856,-0.415245990808,1000,-2.64241365821,8,0.0
7,-58084.0,906.474576271,1.0,2124.0,20180,-3.23505816286,1033.70136382,0.352787805856,-0.415245990808,1000,-2.64241365821,9,0.0
8,-58084.0,906.474576271,1.0,2124.0,20180,-3.23505816286,1033.70136382,0.352787805856,-0.415245990808,1000,-2.64241365821,10,0.0
9,-50508.0,805.762711864,1.5,1902.0,18136,-2.80928986155,1147.00915587,0.361322018758,-0.361073024944,1000,-2.91893205225,2,0.0
10,-50358.0,804.847457627,1.5,1894.0,18088,-2.81075027996,1151.47234043,0.360582306831,-0.35999888382,1000,-2.9076535463,3,0.0
11,-50326.0,804.271186441,1.5,1894.0,18072,-2.81327056714,1152.64873347,0.360233131585,-0.359769625097,1000,-2.90196102243,4,0.0
12,-50326.0,804.271186441,1.5,1894.0,18072,-2.81327056714,1152.65321677,0.360233131585,-0.359769625097,1000,-2.90196102243,5,0.0
13,-50326.0,804.271186441,1.5,1894.0,18072,-2.81327056714,1152.65321677,0.360233131585,-0.359769625097,1000,-2.90196102243,6,0.0
14,-50326.0,804.271186441,1.5,1894.0,18072,-2.81327056714,1152.67921991,0.360233131585,-0.359769625097,1000,-2.90196102243,7,0.0
15,-50326.0,804.271186441,1.5,1894.0,18072,-2.81327056714,1152.67921991,0.360233131585,-0.359769625097,1000,-2.90196102243,8,0.0
16,-50326.0,804.271186441,1.5,1894.0,18072,-2.81327056714,1152.67921991,0.360233131585,-0.359769625097,1000,-2.90196102243,9,0.0
17,-50326.0,804.271186441,1.5,1894.0,18072,-2.81327056714,1152.67921991,0.360233131585,-0.359769625097,1000,-2.90196102243,10,0.0
18,-38440.0,636.915254237,2.0,1518.0,14444,-2.20596510974,1431.80303883,0.388857625211,-0.274934370518,1000,-2.8036452215,2,0.0
19,-38156.0,635.694915254,2.0,1520.0,14324,-2.21686063014,1452.59409594,0.386318478569,-0.272923090917,1000,-2.71932514838,3,0.0
