,PNL,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1000,NA,2,NA
1,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1000,NA,3,NA
2,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1000,NA,4,NA
3,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1000,NA,5,NA
4,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1000,NA,6,NA
5,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1000,NA,7,NA
6,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1000,NA,8,NA
7,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1000,NA,9,NA
8,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1000,NA,10,NA
9,NA,NA,1.5,NA,NA,NA,NA,NA,NA,1000,NA,2,NA
10,NA,NA,1.5,NA,NA,NA,NA,NA,NA,1000,NA,3,NA
11,NA,NA,1.5,NA,NA,NA,NA,NA,NA,1000,NA,4,NA
12,NA,NA,1.5,NA,NA,NA,NA,NA,NA,1000,NA,5,NA
13,NA,NA,1.5,NA,NA,NA,NA,NA,NA,1000,NA,6,NA
14,NA,NA,1.5,NA,NA,NA,NA,NA,NA,1000,NA,7,NA
15,NA,NA,1.5,NA,NA,NA,NA,NA,NA,1000,NA,8,NA
16,NA,NA,1.5,NA,NA,NA,NA,NA,NA,1000,NA,9,NA
17,NA,NA,1.5,NA,NA,NA,NA,NA,NA,1000,NA,10,NA
18,NA,NA,2.0,NA,NA,NA,NA,NA,NA,1000,NA,2,NA
19,NA,NA,2.0,NA,NA,NA,NA,NA,NA,1000,NA,3,NA
20,NA,NA,2.0,NA,NA,NA,NA,NA,NA,1000,NA,4,NA
21,NA,NA,2.0,NA,NA,NA,NA,NA,NA,1000,NA,5,NA
22,NA,NA,2.0,NA,NA,NA,NA,NA,NA,1000,NA,6,NA
23,NA,NA,2.0,NA,NA,NA,NA,NA,NA,1000,NA,7,NA
24,NA,NA,2.0,NA,NA,NA,NA,NA,NA,1000,NA,8,NA
25,NA,NA,2.0,NA,NA,NA,NA,NA,NA,1000,NA,9,NA
26,NA,NA,2.0,NA,NA,NA,NA,NA,NA,1000,NA,10,NA
27,NA,NA,2.5,NA,NA,NA,NA,NA,NA,1000,NA,2,NA
28,NA,NA,2.5,NA,NA,NA,NA,NA,NA,1000,NA,3,NA
29,NA,NA,2.5,NA,NA,NA,NA,NA,NA,1000,NA,4,NA
30,NA,NA,2.5,NA,NA,NA,NA,NA,NA,1000,NA,5,NA
31,NA,NA,2.5,NA,NA,NA,NA,NA,NA,1000,NA,6,NA
32,NA,NA,2.5,NA,NA,NA,NA,NA,NA,1000,NA,7,NA
33,NA,NA,2.5,NA,NA,NA,NA,NA,NA,1000,NA,8,NA
34,NA,NA,2.5,NA,NA,NA,NA,NA,NA,1000,NA,9,NA
35,NA,NA,2.5,NA,NA,NA,NA,NA,NA,1000,NA,10,NA
36,NA,NA,3.0,NA,NA,NA,NA,NA,NA,1000,NA,2,NA
37,NA,NA,3.0,NA,NA,NA,NA,NA,NA,1000,NA,3,NA
38,NA,NA,3.0,NA,NA,NA,NA,NA,NA,1000,NA,4,NA
39,NA,NA,3.0,NA,NA,NA,NA,NA,NA,1000,NA,5,NA
40,NA,NA,3.0,NA,NA,NA,NA,NA,NA,1000,NA,6,NA
41,NA,NA,3.0,NA,NA,NA,NA,NA,NA,1000,NA,7,NA
42,NA,NA,3.0,NA,NA,NA,NA,NA,NA,1000,NA,8,NA
43,NA,NA,3.0,NA,NA,NA,NA,NA,NA,1000,NA,9,NA
44,NA,NA,3.0,NA,NA,NA,NA,NA,NA,1000,NA,10,NA
45,NA,NA,3.5,NA,NA,NA,NA,NA,NA,1000,NA,2,NA
46,NA,NA,3.5,NA,NA,NA,NA,NA,NA,1000,NA,3,NA
