,PNL,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,-4300.207,184.441762712,1.0,638.723,7036,6.50263620387,1462.73872291,0.688927943761,-0.0531817276933,1000,-0.36696555912,2,0.237288135593
1,-3887.353,184.959440678,1.0,639.838,6624,6.68122270742,1646.4279476,0.666874610106,-0.0478064502774,1000,-0.32914393781,3,0.271186440678
2,-3849.17,185.95379661,1.0,639.838,6556,6.70031545741,1679.25047319,0.663722397476,-0.0472021531013,1000,-0.323397005643,4,0.271186440678
3,-3797.692,184.702864407,1.0,639.838,6528,6.73003802281,1699.74271229,0.661596958175,-0.0465455855367,1000,-0.319445230306,5,0.271186440678
4,-3777.72,185.678779661,1.0,639.838,6528,6.74271229404,1713.02915082,0.661596958175,-0.0462714224438,1000,-0.317459105943,6,0.271186440678
5,-3788.542,184.85759322,1.0,639.838,6512,6.73443456163,1727.39135959,0.660101651842,-0.0464257777135,1000,-0.318347877373,7,0.271186440678
6,-3781.336,184.904898305,1.0,639.838,6508,6.73871582962,1739.75969485,0.659885568976,-0.0463229435325,1000,-0.317522671438,8,0.271186440678
7,-3771.337,184.735423729,1.0,639.838,6508,6.74507310871,1740.4806103,0.659885568976,-0.0461931874982,1000,-0.31672891218,9,0.271186440678
8,-3771.337,184.735423729,1.0,639.838,6508,6.74507310871,1740.48188175,0.659885568976,-0.0461931874982,1000,-0.31672891218,10,0.271186440678
9,-3521.172,183.410694915,1.5,605.392,6724,6.88152240638,1529.96132597,0.691221608349,-0.0441188616935,1000,-0.280123176011,2,0.254237288136
10,-3197.793,184.043322034,1.5,606.507,6284,7.03557312253,1736.53886693,0.666666666667,-0.03983497527,1000,-0.257527111581,3,0.28813559322
11,-3119.606,184.743728814,1.5,606.507,6216,7.08666666667,1772.396,0.663333333333,-0.038763886962,1000,-0.246575314458,4,0.28813559322
12,-3068.128,183.49279661,1.5,606.507,6188,7.11989283322,1794.4916276,0.66108506363,-0.0381073193974,1000,-0.242891738648,5,0.28813559322
13,-3048.156,184.468711864,1.5,606.507,6188,7.13328868051,1808.53449431,0.66108506363,-0.0378331563045,1000,-0.241098827428,6,0.28813559322
14,-3058.978,183.647525424,1.5,606.507,6172,7.12558764271,1823.97313633,0.659503022163,-0.0379875115742,1000,-0.241957841485,7,0.28813559322
15,-3051.772,183.694830508,1.5,606.507,6168,7.13037634409,1837.11290323,0.659274193548,-0.0378846773932,1000,-0.241231089979,8,0.28813559322
16,-3041.773,183.525355932,1.5,606.507,6168,7.13709677419,1837.875,0.659274193548,-0.037754921359,1000,-0.240478404028,9,0.28813559322
17,-3041.773,183.525355932,1.5,606.507,6168,7.13709677419,1837.87634409,0.659274193548,-0.037754921359,1000,-0.240478404028,10,0.28813559322
18,-2182.641,172.555864407,2.0,556.306,6316,7.61624099542,1610.57432875,0.696791093648,-0.0286228051386,1000,-0.159436608305,2,0.237288135593
19,-2288.014,176.11279661,2.0,568.819,5764,7.5,1885.63760807,0.663544668588,-0.0294432988951,1000,-0.179518730679,3,0.28813559322
20,-1991.962,176.540389831,2.0,568.819,5692,7.72096420745,1929.35792549,0.658875091308,-0.0258305381633,1000,-0.148721206235,4,0.28813559322
21,-1953.102,175.458898305,2.0,568.819,5660,7.75165319618,1953.84790595,0.65613519471,-0.0253282874118,1000,-0.145612425163,5,0.305084745763
22,-1893.13,176.434813559,2.0,568.819,5660,7.79573842763,1969.39750184,0.65613519471,-0.0245553719265,1000,-0.141279337852,6,0.305084745763
23,-1903.952,175.613627119,2.0,568.819,5644,7.78924097273,1986.81208548,0.654384672071,-0.0247097271962,1000,-0.142097948403,7,0.305084745763
24,-1896.744,175.660932203,2.0,568.819,5640,7.79498525074,2001.41150442,0.65412979351,-0.0246068654442,1000,-0.14146831535,8,0.305084745763
25,-1886.745,175.491457627,2.0,568.819,5640,7.80235988201,2002.29646018,0.65412979351,-0.02447710941,1000,-0.140765577827,9,0.305084745763
26,-1916.748,175.69179661,2.0,568.819,5640,7.7802359882,2005.72492625,0.65412979351,-0.0248907156962,1000,-0.14322097891,10,0.305084745763
27,-1695.195,160.746423729,2.5,493.861,5568,7.85394932936,1771.8561848,0.707898658718,-0.0223407260308,1000,-0.154641155999,2,0.305084745763
28,-1537.898,161.768457627,2.5,496.439,4972,7.91421362489,2150.66021867,0.666105971405,-0.0200769654721,1000,-0.156148015915,3,0.338983050847
29,-1690.732,162.665118644,2.5,507.685,4836,7.72766695577,2248.81873374,0.655680832611,-0.0217296628117,1000,-0.177486678023,4,0.322033898305
30,-1521.687,162.490898305,2.5,507.685,4784,7.87719298246,2291.13421053,0.651754385965,-0.0196928013159,1000,-0.158020828225,5,0.338983050847
31,-1493.593,162.987152542,2.5,507.685,4780,7.90166812994,2307.26514486,0.651448639157,-0.0192922216318,1000,-0.154328497274,6,0.338983050847
32,-1477.055,163.20579661,2.5,507.685,4760,7.9188712522,2330.92063492,0.649911816578,-0.019083051281,1000,-0.152651032066,7,0.338983050847
33,-1449.851,163.253237288,2.5,507.685,4756,7.94351279788,2349.00529568,0.64960282436,-0.0187230891625,1000,-0.149773457309,8,0.338983050847
34,-1429.841,163.083762712,2.5,507.685,4756,7.96116504854,2350.08561342,0.64960282436,-0.0184765186592,1000,-0.147403047006,9,0.338983050847
35,-1462.367,163.284101695,2.5,507.685,4752,7.93286219081,2357.96466431,0.649293286219,-0.0189239634647,1000,-0.151117656429,10,0.338983050847
36,-351.177,142.818135593,3.0,457.386,4412,8.86471144749,2021.93188269,0.721854304636,-0.00583297502449,1000,-0.0456393403741,2,0.406779661017
37,180.764,149.478050847,3.0,497.387,3928,9.52840300107,2583.72883173,0.676312968917,0.000717779651345,1000,0.00509438402456,3,0.406779661017
38,-42.6939999999,150.582067797,3.0,518.624,3728,9.24914675768,2834.58134243,0.657565415245,-0.00182469084369,1000,-0.0139453252303,4,0.406779661017
