,PNL,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,-36844.0,622.576271186,1.0,1568.0,7032,-2.70588235294,767.022941176,0.533529411765,-0.277899194143,1000,-2.28334851057,2,0.0
1,-36824.0,622.237288136,1.0,1568.0,7032,-2.69411764706,767.051764706,0.533529411765,-0.27776053635,1000,-2.2819139638,3,0.0
2,-36824.0,622.237288136,1.0,1568.0,7032,-2.69411764706,767.051764706,0.533529411765,-0.27776053635,1000,-2.2819139638,4,0.0
3,-36824.0,622.237288136,1.0,1568.0,7032,-2.69411764706,767.051764706,0.533529411765,-0.27776053635,1000,-2.2819139638,5,0.0
4,-36824.0,622.237288136,1.0,1568.0,7032,-2.69411764706,767.051764706,0.533529411765,-0.27776053635,1000,-2.2819139638,6,0.0
5,-36824.0,622.237288136,1.0,1568.0,7032,-2.69411764706,767.051764706,0.533529411765,-0.27776053635,1000,-2.2819139638,7,0.0
6,-36824.0,622.237288136,1.0,1568.0,7032,-2.69411764706,767.051764706,0.533529411765,-0.27776053635,1000,-2.2819139638,8,0.0
7,-36824.0,622.237288136,1.0,1568.0,7032,-2.69411764706,767.051764706,0.533529411765,-0.27776053635,1000,-2.2819139638,9,0.0
8,-36824.0,622.237288136,1.0,1568.0,7032,-2.69411764706,767.051764706,0.533529411765,-0.27776053635,1000,-2.2819139638,10,0.0
9,-30180.0,553.220338983,1.5,1320.0,5824,-2.08720514653,931.744817727,0.533952823445,-0.228758632121,1000,-2.30341059998,2,0.0
10,-30040.0,552.406779661,1.5,1320.0,5824,-1.9871336669,931.859185132,0.533952823445,-0.227784032013,1000,-2.2462733342,3,0.0169491525424
11,-30084.0,553.084745763,1.5,1320.0,5820,-2.03147353362,932.526466381,0.533619456366,-0.228102134963,1000,-2.24942209497,4,0.0169491525424
12,-30084.0,553.084745763,1.5,1320.0,5820,-2.03147353362,932.526466381,0.533619456366,-0.228102134963,1000,-2.24942209497,5,0.0169491525424
13,-30084.0,553.084745763,1.5,1320.0,5820,-2.03147353362,932.526466381,0.533619456366,-0.228102134963,1000,-2.24942209497,6,0.0169491525424
14,-30084.0,553.084745763,1.5,1320.0,5820,-2.03147353362,932.526466381,0.533619456366,-0.228102134963,1000,-2.24942209497,7,0.0169491525424
15,-30084.0,553.084745763,1.5,1320.0,5820,-2.03147353362,932.526466381,0.533619456366,-0.228102134963,1000,-2.24942209497,8,0.0169491525424
16,-30084.0,553.084745763,1.5,1320.0,5820,-2.03147353362,932.526466381,0.533619456366,-0.228102134963,1000,-2.24942209497,9,0.0169491525424
17,-30084.0,553.084745763,1.5,1320.0,5820,-2.03147353362,932.526466381,0.533619456366,-0.228102134963,1000,-2.24942209497,10,0.0169491525424
18,-21684.0,457.016949153,2.0,1036.0,4664,1.12014453478,1151.94308943,0.574525745257,-0.165080259077,1000,-2.00432971268,2,0.0169491525424
19,-21544.0,456.338983051,2.0,996.0,4664,1.24661246612,1152.44534779,0.574525745257,-0.164097346138,1000,-1.97508690632,3,0.0169491525424
20,-21484.0,455.661016949,2.0,956.0,4664,1.30081300813,1152.62782294,0.574525745257,-0.163676476146,1000,-1.96370348561,4,0.0169491525424
21,-21484.0,455.661016949,2.0,956.0,4664,1.30081300813,1152.64046974,0.574525745257,-0.163676476146,1000,-1.96370348561,5,0.0169491525424
22,-21484.0,455.661016949,2.0,956.0,4664,1.30081300813,1152.64950316,0.574525745257,-0.163676476146,1000,-1.96370348561,6,0.0169491525424
23,-21484.0,455.661016949,2.0,956.0,4664,1.30081300813,1152.65401987,0.574525745257,-0.163676476146,1000,-1.96370348561,7,0.0169491525424
24,-21484.0,455.661016949,2.0,956.0,4664,1.30081300813,1152.65853659,0.574525745257,-0.163676476146,1000,-1.96370348561,8,0.0169491525424
25,-21484.0,455.661016949,2.0,956.0,4664,1.30081300813,1152.66214995,0.574525745257,-0.163676476146,1000,-1.96370348561,9,0.0169491525424
26,-21484.0,455.661016949,2.0,956.0,4664,1.30081300813,1152.66757001,0.574525745257,-0.163676476146,1000,-1.96370348561,10,0.0169491525424
27,-15268.0,389.830508475,2.5,1468.0,3240,2.68974700399,1659.75765646,0.604527296937,-0.116731625326,1000,-1.36382040497,2,0.0847457627119
28,-14932.0,389.559322034,2.5,1468.0,3236,3.12,1662.672,0.604,-0.114349612189,1000,-1.33979626906,3,0.0847457627119
29,-14956.0,389.559322034,2.5,1468.0,3232,3.07076101469,1664.49799733,0.60347129506,-0.11446848905,1000,-1.2889946256,4,0.0847457627119
30,-14936.0,389.559322034,2.5,1468.0,3232,3.09746328438,1664.57276368,0.60347129506,-0.114325957693,1000,-1.28206795523,5,0.0847457627119
31,-14936.0,389.559322034,2.5,1468.0,3232,3.09746328438,1664.58611482,0.60347129506,-0.114325957693,1000,-1.28206795523,6,0.0847457627119
32,-14936.0,389.559322034,2.5,1468.0,3232,3.09746328438,1664.59279039,0.60347129506,-0.114325957693,1000,-1.28206795523,7,0.0847457627119
33,-14936.0,389.559322034,2.5,1468.0,3232,3.09746328438,1664.59946595,0.60347129506,-0.114325957693,1000,-1.28206795523,8,0.0847457627119
34,-14936.0,389.559322034,2.5,1468.0,3232,3.09746328438,1664.60480641,0.60347129506,-0.114325957693,1000,-1.28206795523,9,0.0847457627119
35,-14936.0,389.559322034,2.5,1468.0,3232,3.09746328438,1664.61281709,0.60347129506,-0.114325957693,1000,-1.28206795523,10,0.0847457627119
36,-9940.0,342.033898305,3.0,1788.0,2104,6.18336886994,2428.34754797,0.611940298507,-0.0764085921557,1000,-0.672782560931,2,0.203389830508
37,-9896.0,341.898305085,3.0,1788.0,2088,6.1935483871,2460.16774194,0.608602150538,-0.0761130320584,1000,-0.69208370153,3,0.203389830508
38,-10348.0,343.186440678,3.0,1796.0,2064,5.08695652174,2503.39565217,0.604347826087,-0.0793006504018,1000,-0.725541533886,4,0.186440677966
39,-10692.0,344.474576271,3.0,1796.0,2040,4.140969163,2558.60792952,0.599118942731,-0.081758244573,1000,-0.766740526781,5,0.186440677966
40,-10632.0,344.474576271,3.0,1796.0,2040,4.2731277533,2560.5814978,0.599118942731,-0.0813303448067,1000,-0.759425733414,6,0.186440677966
41,-10640.0,344.474576271,3.0,1796.0,2032,4.11504424779,2565.28539823,0.597345132743,-0.0813997088432,1000,-0.761735083605,7,0.186440677966
42,-10560.0,344.474576271,3.0,1796.0,2032,4.29203539823,2567.83185841,0.597345132743,-0.0808275040853,1000,-0.750007365708,8,0.186440677966
43,-10520.0,344.474576271,3.0,1796.0,2032,4.38053097345,2568.26327434,0.597345132743,-0.0805439127225,1000,-0.745527276353,9,0.186440677966
44,-10480.0,344.474576271,3.0,1796.0,2032,4.46902654867,2568.67699115,0.597345132743,-0.0802585627505,1000,-0.740808780614,10,0.186440677966
45,-5584.0,311.186440678,3.5,1612.0,1132,,,0.669565217391,-0.0432626018267,1000,-0.342917805776,2,0.254237288136
46,-5460.0,311.186440678,3.5,1612.0,1116,,,0.663716814159,-0.0423830202205,1000,-0.345216926107,3,0.254237288136
47,-5264.0,315.593220339,3.5,1620.0,1112,,,0.662222222222,-0.0409228555349,1000,-0.328192944326,4,0.254237288136
48,-5392.0,318.983050847,3.5,1620.0,1096,,,0.654545454545,-0.0417606269243,1000,-0.327629940068,5,0.237288135593
49,-5420.0,320.338983051,3.5,1620.0,1088,,,0.651376146789,-0.0419467232451,1000,-0.342354172339,6,0.254237288136
50,-5424.0,321.220338983,3.5,1620.0,1076,,,0.64953271028,-0.0419952074352,1000,-0.344709444827,7,0.237288135593
51,-5164.0,319.93220339,3.5,1620.0,1076,,,0.64953271028,-0.0400976368478,1000,-0.322041968926,8,0.237288135593
52,-5144.0,320.203389831,3.5,1620.0,1076,,,0.64953271028,-0.0399769075756,1000,-0.322897836164,9,0.237288135593
53,-5100.0,320.949152542,3.5,1620.0,1072,,,0.646226415094,-0.0396498545355,1000,-0.319416005952,10,0.237288135593
54,-3392.0,263.457627119,4.0,1368.0,692,,,0.761904761905,-0.0267632613633,1000,-0.258443639069,2,0.338983050847
55,-3140.0,264.677966102,4.0,1368.0,684,,,0.758064516129,-0.0250245982071,1000,-0.244108859829,3,0.338983050847
56,-2744.0,267.796610169,4.0,1376.0,680,,,0.756097560976,-0.0221116057589,1000,-0.199710061048,4,0.35593220339
57,-2552.0,272.338983051,4.0,1376.0,672,,,0.743801652893,-0.0206777354555,1000,-0.179416978541,5,0.35593220339
58,-2504.0,277.762711864,4.0,1376.0,652,,,0.730434782609,-0.0201565409023,1000,-0.165417217466,6,0.338983050847
59,-2460.0,279.93220339,4.0,1376.0,640,,,0.718181818182,-0.0196936647215,1000,-0.160887308637,7,0.338983050847
60,-2384.0,280.881355932,4.0,1376.0,628,,,0.707547169811,-0.0191335107995,1000,-0.161486194278,8,0.338983050847
61,-2264.0,281.016949153,4.0,1376.0,628,,,0.707547169811,-0.0182481005888,1000,-0.15233882524,9,0.338983050847
62,-2252.0,283.389830508,4.0,1376.0,620,,,0.701923076923,-0.0181165304342,1000,-0.152000562811,10,0.322033898305
63,-22572.0,462.508474576,1.0,1300.0,4816,1.99126637555,1109.53624454,0.620087336245,-0.172077678791,2000,-1.70897112046,2,0.0338983050847
64,-22640.0,462.508474576,1.0,1300.0,4808,1.9072615923,1111.38495188,0.619422572178,-0.172566965764,2000,-1.72682648613,3,0.0338983050847
65,-22684.0,462.508474576,1.0,1300.0,4804,1.85639229422,1112.35901926,0.61996497373,-0.172885068713,2000,-1.740601423,4,0.0338983050847
66,-22684.0,462.508474576,1.0,1300.0,4804,1.85639229422,1112.35901926,0.61996497373,-0.172885068713,2000,-1.740601423,5,0.0338983050847
67,-22684.0,462.508474576,1.0,1300.0,4804,1.85639229422,1112.35901926,0.61996497373,-0.172885068713,2000,-1.740601423,6,0.0338983050847
68,-22684.0,462.508474576,1.0,1300.0,4804,1.85639229422,1112.35901926,0.61996497373,-0.172885068713,2000,-1.740601423,7,0.0338983050847
69,-22684.0,462.508474576,1.0,1300.0,4804,1.85639229422,1112.35901926,0.61996497373,-0.172885068713,2000,-1.740601423,8,0.0338983050847
70,-22684.0,462.508474576,1.0,1300.0,4804,1.85639229422,1112.35901926,0.61996497373,-0.172885068713,2000,-1.740601423,9,0.0338983050847
71,-22684.0,462.508474576,1.0,1300.0,4804,1.85639229422,1112.35901926,0.61996497373,-0.172885068713,2000,-1.740601423,10,0.0338983050847
72,-17848.0,419.118644068,1.5,1300.0,3600,2.40190249703,1487.60523187,0.61950059453,-0.136772787435,2000,-1.39211609324,2,0.0847457627119
73,-17980.0,418.237288136,1.5,1300.0,3588,2.19570405728,1495.90453461,0.618138424821,-0.137679850467,2000,-1.48074248101,3,0.0847457627119
74,-17920.0,418.237288136,1.5,1300.0,3588,2.26730310263,1495.8627685,0.618138424821,-0.137246073718,2000,-1.46200427481,4,0.0847457627119
75,-17984.0,418.237288136,1.5,1300.0,3584,2.17443249701,1497.44802867,0.617682198327,-0.137697923478,2000,-1.47304020903,5,0.0847457627119
76,-17984.0,418.237288136,1.5,1300.0,3584,2.17443249701,1497.44802867,0.617682198327,-0.137697923478,2000,-1.47304020903,6,0.0847457627119
77,-17984.0,418.237288136,1.5,1300.0,3584,2.17443249701,1497.44802867,0.617682198327,-0.137697923478,2000,-1.47304020903,7,0.0847457627119
78,-17984.0,418.237288136,1.5,1300.0,3584,2.17443249701,1497.44802867,0.617682198327,-0.137697923478,2000,-1.47304020903,8,0.0847457627119
79,-17984.0,418.237288136,1.5,1300.0,3584,2.17443249701,1497.44802867,0.617682198327,-0.137697923478,2000,-1.47304020903,9,0.0847457627119
80,-17984.0,418.237288136,1.5,1300.0,3584,2.17443249701,1497.44802867,0.617682198327,-0.137697923478,2000,-1.47304020903,10,0.0847457627119
81,-12092.0,365.966101695,2.0,1300.0,2624,6.82274247492,1995.82441472,0.647157190635,-0.0934128301021,2000,-0.883861386763,2,0.152542372881
82,-11864.0,365.966101695,2.0,1300.0,2612,7.15966386555,2014.89915966,0.645378151261,-0.0917314279275,2000,-0.844012445345,3,0.169491525424
83,-11956.0,365.966101695,2.0,1300.0,2600,6.95945945946,2033.04898649,0.643581081081,-0.0923420301006,2000,-0.854390056392,4,0.169491525424
84,-11976.0,366.847457627,2.0,1300.0,2600,6.92567567568,2034.84121622,0.643581081081,-0.0924764547508,2000,-0.852599707216,5,0.152542372881
