,PNL,alpha,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,-605034.0,0.0001,9332.62711864,1.0,36725.0,79056,,,0.00299401197605,-2.71992767273,1000,-1.03944903068,-1,0.0
1,-306777.0,0.0001,5003.74576271,1.5,27264.0,42868,,,0.0156645718038,-1.37598883661,1000,-0.669170295423,-1,0.0169491525424
2,-171449.0,0.0001,2883.38983051,2.0,24695.0,25316,,,0.0521198597386,-0.768908309696,1000,-0.490273462329,-1,0.186440677966
3,-109263.0,0.0001,1952.94915254,2.5,18742.0,16392,,,0.0885481078407,-0.490978059208,1000,-0.447745544106,-1,0.372881355932
4,-81702.0,0.0001,1557.83050847,3.0,16071.0,12068,,,0.0941931127616,-0.366533642246,1000,-0.419825548919,-1,0.389830508475
5,-53600.0,0.0001,1093.22033898,3.5,12847.0,7900,,,0.0978147762747,-0.239477459643,1000,-0.348494651995,-1,0.440677966102
6,-39019.0,0.0001,836.254237288,4.0,13119.0,5696,,,0.0970802919708,-0.173457127326,1000,-0.291030734193,-1,0.389830508475
7,-417549.0,0.0003,6716.84745763,1.0,21636.0,66316,-19.0439440712,99.1576175776,0.00647660553235,-1.87965290307,1000,-1.1546682022,-1,0.0
8,-138531.0,0.0003,2387.91525424,1.5,15463.0,29704,-12.3168249661,217.832428765,0.0400271370421,-0.621704016126,1000,-0.802022975191,-1,0.0338983050847
9,-60328.0,0.0003,1205.74576271,2.0,9422.0,15052,-9.34214073874,413.476139121,0.14747910488,-0.270295341121,1000,-0.535382424161,-1,0.322033898305
10,-38322.0,0.0003,878.610169492,2.5,7255.0,9048,-9.9071557971,659.660326087,0.226449275362,-0.17151637955,1000,-0.396194280411,-1,0.491525423729
11,-28120.0,0.0003,686.711864407,3.0,8246.0,5980,-11.4916550765,986.173157163,0.214186369958,-0.125269837544,1000,-0.314310049099,-1,0.525423728814
12,-20477.0,0.0003,540.033898305,3.5,8770.0,4068,,,0.195426195426,-0.0906249980528,1000,-0.260305594038,-1,0.542372881356
13,-14737.0,0.0003,429.745762712,4.0,8739.0,2808,,,0.177641653905,-0.0650716680252,1000,-0.216111533914,-1,0.491525423729
14,-393995.0,0.0005,6289.79661017,1.0,19310.0,66680,-17.4823911866,98.4203238818,0.00764553609054,-1.77632130889,1000,-1.43652865697,-1,0.0
15,-98057.0,0.0005,1692.40677966,1.5,8616.0,27188,-8.046573717,236.945565114,0.0529516463957,-0.439470889226,1000,-0.903125521901,-1,0.0169491525424
16,-37686.0,0.0005,838.101694915,2.0,6195.0,14024,-4.03389339513,448.132097335,0.189745075319,-0.16965423988,1000,-0.49000793551,-1,0.322033898305
17,-20325.0,0.0005,594.762711864,2.5,7270.0,7900,-3.04370447451,782.321019771,0.31737773153,-0.0902179912675,1000,-0.277905870957,-1,0.542372881356
18,-15322.0,0.0005,493.389830508,3.0,8323.0,4948,-4.61082910321,1202.05752961,0.307952622673,-0.0676282913605,1000,-0.215495499311,-1,0.576271186441
19,-11667.0,0.0005,398.118644068,3.5,7869.0,3128,-6.40410958904,1736.20410959,0.258904109589,-0.0514890554816,1000,-0.189510427005,-1,0.525423728814
20,-5669.0,0.0005,294.728813559,4.0,4296.0,1896,,,0.264018691589,-0.0249298859021,1000,-0.162704758661,-1,0.661016949153
21,-393286.0,0.0007,6164.30508475,1.0,18572.0,68624,-16.7821840089,95.2991168041,0.00795461192022,-1.77002617065,1000,-1.62346137461,-1,0.0
22,-71413.0,0.0007,1248.3220339,1.5,5238.0,25392,-4.8188463372,251.743365644,0.0626092483712,-0.320605900554,1000,-1.0090534394,-1,0.0169491525424
23,-25132.0,0.0007,620.237288136,2.0,5573.0,13488,-0.647980711272,463.279083785,0.21036769138,-0.112096653627,1000,-0.414168504952,-1,0.28813559322
24,-14158.0,0.0007,499.084745763,2.5,7722.0,7972,0.154639175258,777.259793814,0.342783505155,-0.0625699173947,1000,-0.209400395233,-1,0.559322033898
25,-9457.0,0.0007,390.745762712,3.0,6696.0,4388,-0.431861804223,1358.47792706,0.358925143954,-0.0418507473619,1000,-0.176909348219,-1,0.576271186441
26,-7009.0,0.0007,321.694915254,3.5,4968.0,2556,-1.57580919932,2145.50085179,0.320272572402,-0.0309096157307,1000,-0.177985298512,-1,0.525423728814
27,-1411.0,0.0007,219.745762712,4.0,1303.0,1324,,,0.365853658537,-0.00618578924591,1000,-0.101847260859,-1,0.64406779661
28,-379783.0,0.0009,5909.54237288,1.0,20826.0,68472,-16.045782285,95.0055102878,0.00861715223636,-1.70800931966,1000,-1.63401835204,-1,0.0
29,-62400.0,0.0009,1085.06779661,1.5,5122.0,25300,-3.42902711324,252.039553429,0.066985645933,-0.279287506901,1000,-1.05938463001,-1,0.0508474576271
30,-23017.0,0.0009,571.305084746,2.0,6744.0,14128,0.244323081345,439.784708249,0.202644438057,-0.102626663098,1000,-0.391994879921,-1,0.28813559322
31,-9068.0,0.0009,419.152542373,2.5,6383.0,7912,2.74168399168,779.439189189,0.361226611227,-0.0404558899895,1000,-0.185909736302,-1,0.559322033898
32,-4603.0,0.0009,317.186440678,3.0,4574.0,4052,3.9802289282,1459.67637877,0.431841831426,-0.0203900947024,1000,-0.128227794775,-1,0.64406779661
33,-2559.0,0.0009,249.508474576,3.5,2985.0,2056,5.24891774892,2691.66017316,0.398268398268,-0.0112444108374,1000,-0.112180800159,-1,0.593220338983
34,-16.0,0.0009,190.847457627,4.0,1004.0,1144,,,0.411290322581,2.8911940385e-05,1000,0.000610736147285,-1,0.661016949153
35,-543814.0,0.0001,8503.38983051,1.0,32635.0,72076,,,0.00345211581292,-2.44309829736,2000,-0.971313575884,-1,0.0
36,-275331.0,0.0001,4536.44067797,1.5,27960.0,38604,,,0.0220948410631,-1.23406261411,2000,-0.588583956845,-1,0.0677966101695
37,-147771.0,0.0001,2531.93220339,2.0,24154.0,21764,,,0.0653667595172,-0.662733006919,2000,-0.455524629416,-1,0.338983050847
38,-96897.0,0.0001,1781.52542373,2.5,19612.0,14348,,,0.0930956423316,-0.434926853977,2000,-0.419306171943,-1,0.35593220339
39,-57468.0,0.0001,1169.62711864,3.0,13248.0,9112,,,0.114311431143,-0.256544700135,2000,-0.355224120854,-1,0.423728813559
