,PNL,alpha,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,-153249.0,0.0001,2601.18644068,1.0,24458.0,23316,,,0.0652926913751,-0.687620783065,1000,-0.452323026139,-1,0.305084745763
1,-151642.0,0.0001,2577.33898305,1.5,24419.0,23128,,,0.0660031430068,-0.680168409862,1000,-0.451957179981,-1,0.305084745763
2,-140274.0,0.0001,2398.83050847,2.0,22214.0,21216,,,0.0712516669842,-0.628976178989,1000,-0.448827191592,-1,0.35593220339
3,-105345.0,0.0001,1896.28813559,2.5,18742.0,15880,,,0.0934865900383,-0.473160765321,1000,-0.43467406155,-1,0.372881355932
4,-80288.0,0.0001,1539.96610169,3.0,16071.0,11892,,,0.0976696367375,-0.360147775994,1000,-0.412413373452,-1,0.389830508475
5,-53439.0,0.0001,1091.3220339,3.5,12847.0,7876,,,0.098643006263,-0.238736537519,1000,-0.347354750448,-1,0.440677966102
6,-38982.0,0.0001,836.254237288,4.0,13119.0,5688,,,0.0972222222222,-0.173281896448,1000,-0.290707545718,-1,0.389830508475
7,-43197.0,0.0003,995.338983051,1.0,7273.0,11348,-8.30639367816,533.536278736,0.238864942529,-0.193065412845,1000,-0.448342388269,-1,0.508474576271
8,-43039.0,0.0003,995.355932203,1.5,7273.0,11276,-8.34237165582,536.860448301,0.239696312364,-0.19233448824,1000,-0.446559985772,-1,0.491525423729
9,-40232.0,0.0003,950.983050847,2.0,6828.0,10488,-8.349552355,574.895289996,0.25107045543,-0.179787721348,1000,-0.42324942663,-1,0.457627118644
10,-32846.0,0.0003,805.0,2.5,7026.0,7964,-9.30562725865,746.803304078,0.263293753227,-0.147228734593,1000,-0.369231879179,-1,0.576271186441
11,-27540.0,0.0003,682.627118644,3.0,8246.0,5860,-11.4701704545,1004.45028409,0.223721590909,-0.122587547954,1000,-0.307464668209,-1,0.525423728814
12,-20328.0,0.0003,539.084745763,3.5,8770.0,4052,,,0.198329853862,-0.0899505944709,1000,-0.258231503191,-1,0.542372881356
13,-14675.0,0.0003,429.966101695,4.0,8739.0,2800,,,0.178187403994,-0.0647947726268,1000,-0.21511196327,-1,0.491525423729
14,-21772.0,0.0005,664.576271186,1.0,5117.0,9548,-1.99314187741,646.860694385,0.342048864123,-0.0975317674097,1000,-0.336243635564,-1,0.525423728814
15,-21787.0,0.0005,664.152542373,1.5,5117.0,9508,-2.04476969436,649.282393457,0.341799397331,-0.0975730375632,1000,-0.334620911763,-1,0.525423728814
16,-20841.0,0.0005,656.355932203,2.0,5459.0,8944,-2.14252978918,689.074243813,0.351970669111,-0.0935327810987,1000,-0.311930750624,-1,0.593220338983
17,-17211.0,0.0005,566.677966102,2.5,7270.0,6924,-2.50148898154,880.309112567,0.374627754616,-0.0761072593354,1000,-0.234489665455,-1,0.627118644068
18,-14340.0,0.0005,484.93220339,3.0,8323.0,4760,-4.16299559471,1239.81145374,0.328634361233,-0.0632420458733,1000,-0.201749139522,-1,0.576271186441
19,-11539.0,0.0005,397.288135593,3.5,7869.0,3076,-6.45048814505,1759.0306834,0.26359832636,-0.0509008384449,1000,-0.187260579235,-1,0.542372881356
20,-5739.0,0.0005,295.169491525,4.0,4296.0,1876,,,0.262411347518,-0.0252412510961,1000,-0.164857259236,-1,0.661016949153
21,-12507.0,0.0007,523.254237288,1.0,4945.0,8888,1.54377880184,700.130414747,0.39400921659,-0.0548681712026,1000,-0.222697918162,-1,0.627118644068
22,-12625.0,0.0007,523.254237288,1.5,4945.0,8800,1.44320297952,707.045158287,0.394320297952,-0.055392225896,1000,-0.222305280556,-1,0.627118644068
23,-11264.0,0.0007,499.779661017,2.0,5388.0,8176,1.78212851406,759.27811245,0.407128514056,-0.0494282094727,1000,-0.192992594883,-1,0.661016949153
24,-11203.0,0.0007,477.457627119,2.5,7722.0,6752,0.88630806846,909.70599022,0.419315403423,-0.0490593378117,1000,-0.163713475486,-1,0.661016949153
