,PNL,alpha,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,-3067044.0,-1,49771.5423729,1.0,152250.0,91636,-113.630480441,109.604926927,0.0333858405531,-3.0793418107,1000,-2.13347187874,-1,0.0
1,-1168430.0,-1,19005.1016949,1.5,77610.0,44812,-83.6622724419,220.555645234,0.104654291095,-1.18273554062,1000,-1.55804009195,-1,0.0
2,-473419.0,-1,8180.23728814,2.0,35450.0,24168,-57.058263773,403.824540902,0.241068447412,-0.484490525893,1000,-1.17360766731,-1,0.0508474576271
3,-163016.0,-1,3819.01694915,2.5,15780.0,13172,-26.8448009873,728.081456341,0.388768898488,-0.170057784864,1000,-0.805859221998,-1,0.271186440678
4,-33137.0,-1,2023.57627119,3.0,8340.0,6812,6.06900726392,1360.25484262,0.527239709443,-0.0376977139977,1000,-0.326357166963,-1,0.457627118644
5,3444.0,-1,1367.37288136,3.5,4610.0,3612,35.0810810811,2466.53584019,0.599294947121,0.000833857457124,1000,0.012624366464,-1,0.542372881356
6,14539.0,-1,1128.16949153,4.0,3450.0,2080,67.8608137045,3973.14561028,0.6573875803,0.0131064971967,1000,0.282067008595,-1,0.610169491525
7,-2182444.0,-1,34889.1525424,1.0,79460.0,72308,-100.368932039,139.598058252,0.0438834951456,-2.18631622417,2000,-2.29503259934,-1,0.0
8,-731731.0,-1,11890.5423729,1.5,47640.0,32704,-68.576529984,305.867996552,0.147026228297,-0.741590414964,2000,-1.36668915793,-1,0.0
9,-231029.0,-1,4605.20338983,2.0,20120.0,16484,-33.9250245821,592.120943953,0.325958702065,-0.237772797904,2000,-0.892493766849,-1,0.203389830508
10,-56271.0,-1,2352.3220339,2.5,7890.0,8548,-1.7199807877,1121.62680115,0.486551392891,-0.0607790261405,2000,-0.45169475403,-1,0.406779661017
11,-996.0,-1,1602.08474576,3.0,5020.0,4964,27.0008417508,1873.67003367,0.585016835017,-0.0036613227215,2000,-0.0364629821909,-1,0.542372881356
12,19518.0,-1,1173.23728814,3.5,4140.0,2680,66.1785714286,3229.61201299,0.678571428571,0.0176358626743,2000,0.332657924178,-1,0.576271186441
13,18677.0,-1,1017.28813559,4.0,3450.0,1448,,,0.746794871795,0.017656752988,2000,0.557051398028,-1,0.694915254237
14,-1779865.0,-1,28017.1016949,1.0,65800.0,62656,-93.1859705317,161.822037156,0.0504163997438,-1.78251799682,3000,-2.11313594916,-1,0.0
15,-545844.0,-1,8973.96610169,1.5,30430.0,27248,-58.9513241604,368.743305223,0.174286137003,-0.553705414576,3000,-1.27769462109,-1,0.0338983050847
16,-161648.0,-1,3717.27118644,2.0,16810.0,13512,-25.2208182912,723.982551143,0.362515042118,-0.16699857879,3000,-0.730515523963,-1,0.305084745763
17,-18705.0,-1,1907.44067797,2.5,7500.0,6512,14.9238095238,1448.73015873,0.563174603175,-0.0225740171297,3000,-0.185656529497,-1,0.491525423729
18,14375.0,-1,1416.83050847,3.0,6300.0,3752,47.0033745782,2436.712036,0.634420697413,0.0120894431371,3000,0.159933340685,-1,0.576271186441
19,26276.0,-1,1055.3220339,3.5,3880.0,2036,95.1132897603,4175.20697168,0.742919389978,0.0246999742655,3000,0.533223939967,-1,0.694915254237
20,21774.0,-1,937.305084746,4.0,3450.0,1116,,,0.833333333333,0.0209763553457,3000,0.713741983807,-1,0.779661016949
21,-1558288.0,-1,24485.8983051,1.0,56640.0,56384,-90.0536172031,180.544004557,0.0563941896895,-1.56143853579,4000,-1.92334330563,-1,0.0
22,-452568.0,-1,7370.33898305,1.5,28620.0,23848,-54.5128595601,418.311505922,0.189678510998,-0.458083231758,4000,-1.08265668908,-1,0.0508474576271
23,-116991.0,-1,3208.0,2.0,16240.0,11452,-17.686009256,851.621929512,0.400498398006,-0.121283225916,4000,-0.604961169226,-1,0.338983050847
24,4766.0,-1,1584.96610169,2.5,4230.0,5300,31.6051805338,1773.96232339,0.622448979592,0.00116177350805,4000,0.0121222794078,-1,0.559322033898
25,24984.0,-1,1159.16949153,3.0,3170.0,2972,,,0.718614718615,0.02286787764,4000,0.405207431838,-1,0.610169491525
26,23889.0,-1,997.694915254,3.5,3170.0,1632,,,0.783098591549,0.0225483826593,4000,0.564437438622,-1,0.694915254237
27,19283.0,-1,982.288135593,4.0,2600.0,912,,,0.898305084746,0.0185086287065,4000,0.598276810623,-1,0.728813559322
