,PNL,alpha,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,-4108121.0,0.0001,63670.2542373,1.0,216200.0,88232,,,0.0103622233332,-4.11721345439,1000,-1.39979921461,-1,0.0
1,-3138268.0,0.0001,48326.440678,1.5,145730.0,67952,,,0.0184835242707,-3.17267901767,1000,-1.29062915507,-1,0.0
2,-2408549.0,0.0001,37444.1694915,2.0,114360.0,52332,,,0.0311612556604,-2.45166287104,1000,-1.08503132431,-1,0.0169491525424
3,-2024815.0,0.0001,32358.2881356,2.5,137160.0,42668,,,0.0379830348728,-2.07292514475,1000,-0.915938320084,-1,0.0169491525424
4,-1638496.0,0.0001,26749.559322,3.0,128650.0,34424,,,0.0457416939635,-1.67975459316,1000,-0.823402110637,-1,0.0847457627119
5,-1308148.0,0.0001,21813.8305085,3.5,95770.0,27512,,,0.0530558405394,-1.3435634107,1000,-0.794073351436,-1,0.169491525424
6,-1129167.0,0.0001,19205.9152542,4.0,94410.0,23164,,,0.0549163179916,-1.1590851627,1000,-0.734191449815,-1,0.186440677966
7,-3435150.0,0.0003,53740.5762712,1.0,129970.0,90412,-131.723535412,115.288394164,0.0192469732582,-3.44760630793,1000,-1.91634591217,-1,0.0
8,-2193580.0,0.0003,34318.2372881,1.5,96490.0,61140,-123.13859891,167.912087191,0.0399185870921,-2.21922185685,1000,-1.56749343523,-1,0.0
9,-1409145.0,0.0003,22453.1525424,2.0,77590.0,41260,-116.061403509,244.811988304,0.0766081871345,-1.43565791272,1000,-1.21033117342,-1,0.0
10,-932958.0,0.0003,15457.440678,2.5,64190.0,27404,-115.428802589,362.942188879,0.11253309797,-0.956124506189,1000,-1.0141847013,-1,0.101694915254
11,-716162.0,0.0003,12519.7966102,3.0,49720.0,20040,-122.176826807,478.062777553,0.122729107792,-0.736741778906,1000,-0.8784289485,-1,0.203389830508
12,-546629.0,0.0003,10092.9830508,3.5,57590.0,14640,-128.712264151,629.566870144,0.134017758047,-0.563896903767,1000,-0.717024207004,-1,0.28813559322
13,-456892.0,0.0003,8696.25423729,4.0,61860.0,11396,-139.539177102,786.897674419,0.119856887299,-0.473742361995,1000,-0.609084735198,-1,0.305084745763
14,-3259456.0,0.0005,51181.2881356,1.0,118201.0,90836,-123.292858404,113.462305791,0.0226430084746,-3.27717075656,1000,-1.88203910435,-1,0.0
15,-1797197.0,0.0005,28432.2881356,1.5,78210.0,55004,-110.306176084,185.300116805,0.0588407066725,-1.82229119528,1000,-1.49382575688,-1,0.0
16,-1020545.0,0.0005,16408.5932203,2.0,64490.0,33496,-101.190962625,299.121980531,0.115731282298,-1.0426285429,1000,-1.14720943497,-1,0.0169491525424
17,-627022.0,0.0005,10803.7627119,2.5,41440.0,21808,-93.8732864024,450.642830678,0.175991107818,-0.645822583745,1000,-0.944016525406,-1,0.152542372881
18,-417935.0,0.0005,7948.15254237,3.0,38930.0,14276,-95.8916382253,683.068259386,0.201365187713,-0.430995356011,1000,-0.808005446722,-1,0.220338983051
