,PNL,alpha,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,52056.52,-1,324.06470339,1.0,1550.0,3312,90.1923076923,2624.62564103,0.924358974359,0.0709670470121,1000,1.12088637738,-1,0.966101694915
1,51673.3075,-1,324.06470339,1.5,1550.0,3288,90.2454780362,2633.94702842,0.923772609819,0.0704798232503,1000,1.15545636122,-1,0.966101694915
2,51530.0175,-1,324.06470339,2.0,1550.0,3276,90.402075227,2642.91050584,0.923476005188,0.0702952617238,1000,1.16572470261,-1,0.966101694915
3,50621.035,-1,327.454533898,2.5,1550.0,3212,90.7284768212,2687.11125828,0.921854304636,0.0690285697062,1000,1.14214260776,-1,0.966101694915
4,45225.6525,-1,321.992923729,3.0,1550.0,2820,92.7811550152,3019.21732523,0.925531914894,0.0617286068774,1000,1.13746439652,-1,0.966101694915
5,37301.515,-1,332.945932203,3.5,1550.0,2160,100.909090909,3733.68888889,0.933333333333,0.0509193851218,1000,1.11676890407,-1,0.966101694915
6,26305.86,-1,336.942330508,4.0,1550.0,1360,,,0.939189189189,0.0359705060894,1000,1.0254940078,-1,0.915254237288
7,51194.06,-1,319.779025424,1.0,1550.0,3172,93.5397039031,2811.00672948,0.947510094213,0.0697551423353,2000,1.08382801329,-1,0.966101694915
8,51232.905,-1,319.779025424,1.5,1550.0,3164,93.7921727395,2806.70580297,0.947368421053,0.0698197719992,2000,1.09566076498,-1,0.966101694915
9,50778.5975,-1,319.779025424,2.0,1550.0,3144,93.75,2824.2513587,0.947010869565,0.0692268964036,2000,1.11496248604,-1,0.966101694915
10,48826.0575,-1,321.455466102,2.5,1550.0,3036,93.8645980254,2933.77433004,0.947813822285,0.0665776050799,2000,1.11673815237,-1,0.966101694915
11,43254.675,-1,318.92309322,3.0,1550.0,2640,96.5630114566,3312.10310966,0.9558101473,0.0590783502407,2000,1.12450440617,-1,0.915254237288
12,34169.1825,-1,333.998389831,3.5,1550.0,1840,110.265700483,4441.77536232,0.961352657005,0.0467232691304,2000,1.18264635399,-1,0.949152542373
13,24364.11,-1,336.883432203,4.0,1550.0,1128,134.533898305,6782.8559322,0.974576271186,0.0333062904629,2000,1.26774239054,-1,0.949152542373
14,51026.49,-1,318.923644068,1.0,1550.0,3024,97.4540311174,3014.53041018,0.947666195191,0.0695758150118,3000,1.12738073572,-1,0.949152542373
15,51143.7975,-1,318.923644068,1.5,1550.0,3020,97.7337110482,3001.18838527,0.947592067989,0.0697388957151,3000,1.13410830897,-1,0.949152542373
16,51120.1225,-1,318.841144068,2.0,1550.0,3004,98.1481481481,3018.10683761,0.947293447293,0.0697245090415,3000,1.15250204525,-1,0.949152542373
17,48722.715,-1,320.539957627,2.5,1550.0,2840,99.3192133132,3199.04387292,0.947049924357,0.0664561853287,3000,1.15284140053,-1,0.949152542373
18,41608.1825,-1,321.947161017,3.0,1550.0,2388,102.919708029,3745.60036496,0.954379562044,0.0568428816763,3000,1.15124956058,-1,0.949152542373
19,30131.005,-1,345.20190678,3.5,1550.0,1576,118.75,5155.73255814,0.96511627907,0.0412437327854,3000,1.13909976141,-1,0.898305084746
20,21169.22,-1,344.688474576,4.0,1600.0,940,,,0.973821989529,0.0289357443956,3000,1.1936286723,-1,0.915254237288
21,49245.3,-1,319.155127119,1.0,1550.0,2848,100.453857791,3204.89712557,0.957639939486,0.0672144666788,4000,1.112683755,-1,0.932203389831
22,49362.6175,-1,319.155127119,1.5,1550.0,2844,100.757575758,3190.38181818,0.957575757576,0.0673775611259,4000,1.11937476795,-1,0.932203389831
23,49134.2925,-1,319.155127119,2.0,1550.0,2828,100.914634146,3208.93902439,0.955792682927,0.0670548393477,4000,1.10647414142,-1,0.932203389831
24,47411.69,-1,317.460381356,2.5,1550.0,2692,102.331189711,3373.82797428,0.958199356913,0.0647214976707,4000,1.11400863627,-1,0.932203389831
25,39539.8675,-1,327.859279661,3.0,1550.0,2196,107.746478873,4056.48088531,0.959758551308,0.0540263350647,4000,1.11600378793,-1,0.915254237288
26,29103.1975,-1,347.063940678,3.5,1550.0,1472,,,0.977917981073,0.0398450322569,4000,1.17884431671,-1,0.915254237288
27,16900.5125,-1,354.057586207,4.0,1600.0,812,,,0.980132450331,0.023031862825,4000,0.863968597682,-1,0.775862068966
