,PNL,alpha,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,-1464027.8075,0.0001,21870.1893644,1.0,100055.8125,110516,-34.5495430147,96.3527491658,0.0166110546932,-2.00929651202,1000,-1.01915162603,-1,0.0
1,-466951.89,0.0001,7680.60131356,1.5,52908.745,50164,-18.5167387474,207.494473811,0.0585455710396,-0.642194749581,1000,-0.687486076039,-1,0.0169491525424
2,-171880.2875,0.0001,3504.84389831,2.0,42852.22,24800,-8.61395802831,412.743777452,0.175695461201,-0.239490942597,1000,-0.41278750061,-1,0.220338983051
3,-53793.7125,0.0001,1745.64021186,2.5,30895.665,12088,2.27272727273,835.853872054,0.329292929293,-0.0767068574336,1000,-0.194162216533,-1,0.542372881356
4,-24684.87,0.0001,1195.295,3.0,21114.8125,6668,,,0.384615384615,-0.0362168972807,1000,-0.11835547653,-1,0.677966101695
5,-7652.455,0.0001,825.246567797,3.5,12893.25,3736,,,0.416761041903,-0.0120472844325,1000,-0.0691826184767,-1,0.71186440678
6,-2295.0575,0.0001,632.003135593,4.0,6595.8425,2300,,,0.416826003824,-0.00411721839336,1000,-0.0410091941883,-1,0.627118644068
7,-1338251.3475,0.0003,21337.7091102,1.0,65830.185,115892,-27.7952619748,91.8373854401,0.0192979422445,-1.83758787069,1000,-1.5272019738,-1,0.0
8,-340563.7125,0.0003,5728.96572034,1.5,29042.45,52116,-7.53757225434,200.336262042,0.0774566473988,-0.46989428802,1000,-0.913148923164,-1,0.0
9,-85315.1225,0.0003,2054.14220339,2.0,19406.5975,24644,5.15632673105,419.049598952,0.234244557211,-0.120292904334,1000,-0.405899736463,-1,0.271186440678
10,-8851.875,0.0003,1107.10351695,2.5,14883.095,11960,17.0411985019,853.879809329,0.426625808648,-0.0146307940775,1000,-0.0640447181536,-1,0.661016949153
11,20934.265,0.0003,594.745381356,3.0,6718.2,5920,36.4495798319,1680.33053221,0.562324929972,0.0276250118187,1000,0.277619922684,-1,0.796610169492
12,22298.77,0.0003,455.22470339,3.5,3747.4925,3104,56.5698478562,3172.54080221,0.704011065007,0.0301613936422,1000,0.527884800711,-1,0.830508474576
13,17515.305,0.0003,422.618220339,4.0,3226.8375,1896,69.1037735849,5046.08962264,0.709905660377,0.0236462128535,1000,0.476261934372,-1,0.796610169492
14,-1440517.24,0.0005,22594.5522881,1.0,60061.5325,126188,-27.2730159738,83.7963733367,0.0181015592747,-1.97636726928,1000,-1.85386543731,-1,0.0
15,-286826.37,0.0005,4826.03991525,1.5,20722.97,52896,-3.10577872276,196.523122485,0.0820107828992,-0.397109027388,1000,-1.03509372745,-1,0.0
16,-61933.645,0.0005,1632.25605932,2.0,14824.4475,25584,9.27501970055,398.957919622,0.238613081166,-0.0875914223591,1000,-0.412827107553,-1,0.237288135593
17,13680.09,0.0005,763.607923729,2.5,8706.3675,12124,24.6391406512,836.131923464,0.455186304129,0.0171082401917,1000,0.133297019536,-1,0.593220338983
18,30688.4,0.0005,469.205381356,3.0,3647.4625,6064,42.2002724796,1646.42234332,0.608991825613,0.0413523814195,1000,0.602118165747,-1,0.847457627119
19,27228.845,0.0005,417.126652542,3.5,3262.1525,3308,59.6129032258,2893.86451613,0.712258064516,0.0369349826399,1000,0.653098416306,-1,0.847457627119
20,19237.8575,0.0005,399.682584746,4.0,2856.2075,1892,72.9411764706,4872.50823529,0.734117647059,0.0260629148176,1000,0.534340565257,-1,0.830508474576
21,-1476618.3525,0.0007,23037.6558475,1.0,58195.535,131768,-26.4551149495,79.722539837,0.0183675951831,-2.02777503303,1000,-1.91204326918,-1,0.0
22,-256650.1675,0.0007,4302.97644068,1.5,19768.1525,53244,-0.67526784367,194.779311906,0.0838237513204,-0.35466399963,1000,-1.12985151817,-1,0.0
23,-54906.96,0.0007,1516.99864407,2.0,9688.9375,27104,10.8252788104,374.958364312,0.235985130112,-0.0774435988933,1000,-0.500691815144,-1,0.203389830508
24,16433.595,0.0007,737.959152542,2.5,5856.275,13140,24.992267244,770.860810393,0.444169502011,0.0210230677503,1000,0.196108134273,-1,0.508474576271
25,29464.3975,0.0007,481.811016949,3.0,3335.7075,6392,40.1935483871,1545.69612903,0.581935483871,0.039586860687,1000,0.56737616112,-1,0.762711864407
26,28332.4575,0.0007,420.088389831,3.5,3144.4725,3384,59.108040201,2816.89824121,0.695979899497,0.0384227650462,1000,0.686688828038,-1,0.830508474576
27,20969.77,0.0007,380.312542373,4.0,1550.0,1772,81.5656565657,5181.86868687,0.762626262626,0.0285239961375,1000,0.7694491969,-1,0.813559322034
28,-1481409.46,0.0009,23103.4631356,1.0,56728.1475,134680,-25.6307271213,77.6629180055,0.0183267880519,-2.03365802367,1000,-1.83692069378,-1,0.0
29,-232043.19,0.0009,3907.42186441,1.5,13069.0125,53348,1.21987951807,192.977635542,0.0868975903614,-0.320461448571,1000,-1.49018793603,-1,0.0
30,-55510.1125,0.0009,1535.42262712,2.0,7512.185,28020,11.0112197929,360.817894131,0.232738780207,-0.0780512957639,1000,-0.562198024757,-1,0.220338983051
31,17367.735,0.0009,714.20529661,2.5,3603.36,14000,24.7752971876,719.619020006,0.431719338939,0.0223800344251,1000,0.233667125155,-1,0.474576271186
32,29944.8075,0.0009,486.480805085,3.0,3373.885,6676,39.5241038319,1471.02348578,0.568603213844,0.0402390029337,1000,0.556115115828,-1,0.728813559322
33,29383.88,0.0009,404.108983051,3.5,2406.16,3340,60.3426395939,2808.21192893,0.684010152284,0.039838010625,1000,0.745516734156,-1,0.830508474576
34,22056.5075,0.0009,365.524237288,4.0,1550.0,1696,86.9047619048,5330.78306878,0.775132275132,0.0300164619447,1000,0.852914885809,-1,0.881355932203
35,-1197888.0675,0.0001,17855.1183898,1.0,86474.6275,95588,-31.6414279122,110.826460841,0.0205126053945,-1.64387685532,2000,-0.915249404833,-1,0.0
36,-354694.26,0.0001,6147.32724576,1.5,43692.055,42388,-14.6523100275,244.233848781,0.081775922588,-0.48762092622,2000,-0.617796095387,-1,0.0338983050847
37,-102443.9675,0.0001,2507.25076271,2.0,42985.66,18156,-3.14171122995,561.292335116,0.250891265597,-0.144125544239,2000,-0.270006749496,-1,0.423728813559
38,-32387.1575,0.0001,1471.82305085,2.5,32407.315,8628,,,0.411121673004,-0.0475593940311,2000,-0.117898610518,-1,0.694915254237
39,-19849.305,0.0001,1140.45436441,3.0,22701.1025,5224,,,0.404780876494,-0.029612868433,2000,-0.0947616447058,-1,0.694915254237
40,1177.6575,0.0001,657.482838983,3.5,10993.3225,2680,,,0.468292682927,0.000637686018299,2000,0.004769928238,-1,0.694915254237
41,1445.4525,0.0001,555.343983051,4.0,6991.0975,1700,,,0.451871657754,0.00133700396764,2000,0.0162486145946,-1,0.677966101695
42,-1026103.015,0.0003,16482.0937712,1.0,57107.405,98520,-23.2123234708,107.654104432,0.0243783321802,-1.40909083977,2000,-1.27298676683,-1,0.0
43,-232285.0825,0.0003,4078.21779661,1.5,22495.1225,42940,-2.93043722498,242.630652561,0.109446681022,-0.321365145823,2000,-0.753786439674,-1,0.0338983050847
44,-45548.885,0.0003,1619.08559322,2.0,18697.73,18960,9.72696245734,544.042875427,0.313993174061,-0.0652631730615,2000,-0.226110320276,-1,0.440677966102
45,13829.995,0.0003,837.586016949,2.5,9529.8975,8508,27.5662650602,1185.18698795,0.546506024096,0.0172386577903,2000,0.108732471522,-1,0.796610169492
46,28025.9225,0.0003,489.488220339,3.0,3644.495,3848,54.6600877193,2555.55482456,0.711622807018,0.0377703941252,2000,0.544418915127,-1,0.796610169492
47,22158.315,0.0003,423.802838983,3.5,3612.125,2084,75.5319148936,4524.85744681,0.759574468085,0.0300520445531,2000,0.597455268704,-1,0.864406779661
48,14720.03,0.0003,407.777245763,4.0,3109.16,1276,87.030075188,7190.54511278,0.729323308271,0.0198899061878,2000,0.48229161799,-1,0.813559322034
49,-1029444.9225,0.0005,16345.9819068,1.0,50824.7975,103708,-21.2725656191,101.784684371,0.0250492867911,-1.41228309725,2000,-1.56767279661,-1,0.0
50,-202723.3225,0.0005,3577.06762712,1.5,18853.3425,44044,0.287513691128,235.454180358,0.110624315444,-0.280769046367,2000,-0.829730831582,-1,0.0169491525424
