,PNL,alpha,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,-1464382.8675,0.0001,21872.2792797,1.0,100055.8125,110572,-34.5356340173,96.265460741,0.0168926266947,-2.00977494643,1000,-1.01939020552,2,0.0
1,-1463882.8725,0.0001,21869.647839,1.0,100055.8125,110528,-34.5385312783,96.3421577516,0.0166817769719,-2.00909736322,1000,-1.01895268273,3,0.0
2,-1464095.82,0.0001,21871.3421186,1.0,100055.8125,110520,-34.550103362,96.3492184383,0.016610452254,-2.00939069911,1000,-1.0192468711,4,0.0
3,-1464027.8075,0.0001,21870.1893644,1.0,100055.8125,110516,-34.5495430147,96.3527491658,0.0166110546932,-2.00929651202,1000,-1.01915162603,5,0.0
4,-1464027.8075,0.0001,21870.1893644,1.0,100055.8125,110516,-34.5495430147,96.3527491658,0.0166110546932,-2.00929651202,1000,-1.01915162603,6,0.0
5,-1464027.8075,0.0001,21870.1893644,1.0,100055.8125,110516,-34.5495430147,96.3527491658,0.0166110546932,-2.00929651202,1000,-1.01915162603,7,0.0
6,-1464027.8075,0.0001,21870.1893644,1.0,100055.8125,110516,-34.5495430147,96.3527491658,0.0166110546932,-2.00929651202,1000,-1.01915162603,8,0.0
7,-1464027.8075,0.0001,21870.1893644,1.0,100055.8125,110516,-34.5495430147,96.3527491658,0.0166110546932,-2.00929651202,1000,-1.01915162603,9,0.0
8,-1464027.8075,0.0001,21870.1893644,1.0,100055.8125,110516,-34.5495430147,96.3527491658,0.0166110546932,-2.00929651202,1000,-1.01915162603,10,0.0
9,-467220.6225,0.0001,7682.12711864,1.5,52877.2525,50256,-18.4707010952,206.817251579,0.0597969461987,-0.642551934646,1000,-0.687990323847,2,0.0169491525424
10,-466929.4375,0.0001,7680.69580508,1.5,52908.745,50192,-18.4943568398,207.364203954,0.0589129912751,-0.642160856214,1000,-0.687305212663,3,0.0169491525424
11,-467056.0025,0.0001,7682.07008475,1.5,52908.745,50176,-18.516294339,207.444230923,0.0586115781888,-0.642338888749,1000,-0.687647687585,4,0.0169491525424
