,PNL,alpha,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,12992.2125,0.0001,732.014364407,1.0,11082.565,4924,,,0.654008438819,0.0164234038481,1000,0.0962884891469,2,0.813559322034
1,7501.0075,0.0001,745.553008475,1.0,11082.565,3824,,,0.547461368653,0.00887334332188,1000,0.0529410898624,3,0.796610169492
2,5461.625,0.0001,748.030381356,1.0,11082.565,3636,,,0.522700814901,0.00612736543105,1000,0.0369636813615,4,0.796610169492
3,5210.745,0.0001,748.030381356,1.0,11082.565,3592,,,0.516509433962,0.00577945949662,1000,0.0348956307201,5,0.796610169492
4,5002.3425,0.0001,748.030381356,1.0,11082.565,3572,,,0.513641755635,0.00549457868082,1000,0.0332021134803,6,0.796610169492
5,5002.3625,0.0001,748.030381356,1.0,11082.565,3572,,,0.513641755635,0.00549460508182,1000,0.0332022762493,7,0.796610169492
6,4870.62,0.0001,748.030381356,1.0,11082.565,3568,,,0.512485136742,0.00530954084587,1000,0.0318649300203,8,0.796610169492
7,4988.115,0.0001,748.030381356,1.0,11082.565,3564,,,0.512485136742,0.00547669833627,1000,0.0330418242523,9,0.796610169492
8,5006.245,0.0001,748.568686441,1.0,11082.565,3560,,,0.511904761905,0.00550256747624,1000,0.0331937203304,10,0.796610169492
9,13110.0275,0.0001,730.0175,1.5,10964.75,4920,,,0.654560810811,0.0165904462414,1000,0.0977509431566,2,0.813559322034
10,7618.8225,0.0001,743.556144068,1.5,10964.75,3820,,,0.548066298343,0.00904038571519,1000,0.0542122253654,3,0.796610169492
11,5579.44,0.0001,746.033516949,1.5,10964.75,3632,,,0.52331002331,0.00629440782436,1000,0.0381683191407,4,0.796610169492
12,5328.56,0.0001,746.033516949,1.5,10964.75,3588,,,0.517119244392,0.00594650188993,1000,0.0360906866556,5,0.796610169492
13,5120.1575,0.0001,746.033516949,1.5,10964.75,3568,,,0.514251781473,0.00566162107413,1000,0.0343894107292,6,0.796610169492
14,5120.1775,0.0001,746.033516949,1.5,10964.75,3568,,,0.514251781473,0.00566164747513,1000,0.0343895744842,7,0.796610169492
