,PNL,alpha,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,31798.226,-1,502.917677966,1.0,2630.243,5712,33.4304442826,436.874726875,0.817916970138,0.11767457807,1000,0.966148146361,-1,0.898305084746
1,32780.327,-1,509.173186441,1.5,2630.243,5160,37.2974068071,482.466774716,0.827390599676,0.121384599564,1000,1.08091408353,-1,0.932203389831
2,29835.456,-1,502.219237288,2.0,2680.245,3676,46.6551326413,665.29527105,0.822376009227,0.110537857681,1000,1.12865368675,-1,0.898305084746
3,22974.566,-1,509.106033898,2.5,2675.0,2348,59.287054409,1008.369606,0.823639774859,0.0851851970639,1000,1.00562469272,-1,0.881355932203
4,14932.185,-1,503.945067797,3.0,2700.0,1316,,,0.870503597122,0.0550757873099,1000,0.733428679402,-1,0.796610169492
5,9302.696,-1,526.798706897,3.5,2700.0,668,,,0.890756302521,0.0343953022771,1000,0.686176273886,-1,0.793103448276
6,3744.643,-1,537.178574074,4.0,2700.0,320,,,0.837837837838,0.0135841225138,1000,0.301053955693,-1,0.648148148148
7,30394.09,-1,510.104135593,1.0,2680.245,4652,39.534358047,536.673598553,0.874321880651,0.112176605295,2000,0.910323648568,-1,0.864406779661
8,30434.836,-1,510.979915254,1.5,2680.245,3836,47.477827051,646.333702882,0.879157427938,0.112484486973,2000,1.00802966179,-1,0.898305084746
9,24540.191,-1,515.653169492,2.0,2680.245,2520,60.1480836237,981.320557491,0.871080139373,0.0907046184955,2000,0.983178832782,-1,0.881355932203
10,17099.264,-1,521.792254237,2.5,2675.0,1492,,,0.8875,0.0632293009022,2000,0.753053493899,-1,0.762711864407
11,10784.339,-1,500.734568966,3.0,2700.0,852,,,0.905660377358,0.0400009389759,2000,0.698540596043,-1,0.793103448276
12,7587.967,-1,475.816052632,3.5,2700.0,456,,,0.957142857143,0.0280475829183,2000,0.451620451092,-1,0.701754385965
13,2698.504,-1,506.111111111,4.0,2700.0,224,,,1.0,0.00982456789234,2000,0.20484317784,-1,0.644444444444
14,27981.12,-1,513.153355932,1.0,2680.245,4112,42.1730175077,600.564366632,0.899073120494,0.10332928675,3000,0.915261686085,-1,0.830508474576
15,27636.838,-1,517.21359322,1.5,2680.245,3136,53.7878787879,781.487603306,0.907713498623,0.102379328648,3000,0.995714637499,-1,0.847457627119
16,21362.405,-1,516.746355932,2.0,2680.245,2060,,,0.919389978214,0.0791244254037,3000,0.918899268257,-1,0.830508474576
17,14148.882,-1,523.271728814,2.5,2675.0,1176,,,0.928571428571,0.0522464040825,3000,0.679629456869,-1,0.796610169492
18,6110.222,-1,508.456947368,3.0,2700.0,608,,,0.930693069307,0.0225025766774,3000,0.328969413599,-1,0.719298245614
19,5620.813,-1,467.6235,3.5,2700.0,320,,,0.974358974359,0.020833663882,3000,0.351386417506,-1,0.673076923077
20,1913.858,-1,484.755410256,4.0,2700.0,176,,,1.0,0.00691235239183,3000,0.140046831561,-1,0.512820512821
21,28728.11,-1,509.13720339,1.0,2680.245,3836,,,0.921373200443,0.105975806019,4000,0.91781523889,-1,0.864406779661
22,24625.03,-1,521.575271186,1.5,2680.245,2808,,,0.930340557276,0.0910019037304,4000,0.864051288637,-1,0.847457627119
23,19824.991,-1,518.508152542,2.0,2680.245,1808,,,0.941919191919,0.0731987432292,4000,0.783508314427,-1,0.779661016949
24,14568.023,-1,533.532,2.5,2675.0,1012,,,0.935,0.0537714980089,4000,0.69719649398,-1,0.813559322034
25,6850.016,-1,499.231017857,3.0,2700.0,504,,,0.961538461538,0.0252047136072,4000,0.388130266656,-1,0.732142857143
26,4344.373,-1,463.090591837,3.5,2700.0,284,,,0.962962962963,0.0160460201268,4000,0.273715837324,-1,0.591836734694
27,882.211,-1,519.08834375,4.0,2700.0,144,,,1.0,0.00314904563236,4000,0.0785498121301,-1,0.53125
