,PNL,alpha,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,-845935.988,0.0001,13669.011,1.0,84311.331,32512,,,0.0131350681537,-3.15870462104,1000,-0.810785152033,2,0.0169491525424
1,-845764.554,0.0001,13670.0084237,1.0,84311.331,32496,,,0.0128936275725,-3.15808817356,1000,-0.810520218465,3,0.0169491525424
2,-845844.987,0.0001,13672.2191695,1.0,84311.331,32500,,,0.012892029255,-3.15838695994,1000,-0.810511611519,4,0.0169491525424
3,-845919.985,0.0001,13672.3116102,1.0,84311.331,32500,,,0.0127680674352,-3.15865780913,1000,-0.810628494172,5,0.0169491525424
4,-845859.014,0.0001,13672.2191695,1.0,84311.331,32492,,,0.0126472411655,-3.1584340849,1000,-0.810590508255,6,0.0169491525424
5,-845859.011,0.0001,13672.2191695,1.0,84311.331,32492,,,0.0126472411655,-3.15843407406,1000,-0.810590503583,7,0.0169491525424
6,-845934.004,0.0001,13672.2191695,1.0,84311.331,32492,,,0.0126472411655,-3.15870490469,1000,-0.81070718774,8,0.0169491525424
7,-845934.004,0.0001,13672.2191695,1.0,84311.331,32492,,,0.0126472411655,-3.15870490469,1000,-0.81070718774,9,0.0169491525424
8,-845803.48,0.0001,13672.2191695,1.0,84311.331,32488,,,0.0125248015873,-3.15823352874,1000,-0.810503962672,10,0.0169491525424
9,-763695.763,0.0001,12606.3999492,1.5,74519.139,30512,,,0.023249669749,-2.86023794002,1000,-0.768920258891,2,0.0508474576271
10,-763172.228,0.0001,12603.0760339,1.5,74519.139,30476,,,0.0230128289909,-2.85829696009,1000,-0.768363339686,3,0.0508474576271
11,-763122.227,0.0001,12603.0760339,1.5,74519.139,30476,,,0.0230128289909,-2.85811638594,1000,-0.768284979162,4,0.0508474576271
12,-763197.225,0.0001,12603.1684746,1.5,74519.139,30476,,,0.022880571353,-2.85838723513,1000,-0.768402469686,5,0.0508474576271
13,-763136.254,0.0001,12603.0760339,1.5,74519.139,30468,,,0.0227543325837,-2.8581635109,1000,-0.768350382155,6,0.0508474576271
14,-763136.251,0.0001,12603.0760339,1.5,74519.139,30468,,,0.0227543325837,-2.85816350007,1000,-0.768350377459,7,0.0508474576271
15,-763211.244,0.0001,12603.0760339,1.5,74519.139,30468,,,0.0227543325837,-2.85843433069,1000,-0.768467655577,8,0.0508474576271
16,-763211.244,0.0001,12603.0760339,1.5,74519.139,30468,,,0.0227543325837,-2.85843433069,1000,-0.768467655577,9,0.0508474576271
17,-763080.72,0.0001,12603.0760339,1.5,74519.139,30464,,,0.0226250330775,-2.85796295474,1000,-0.768263390658,10,0.0508474576271
18,-618176.124,0.0001,10384.5007119,2.0,61949.209,26000,,,0.0259276509859,-2.31261476031,1000,-0.720092757271,2,0.101694915254
19,-617990.782,0.0001,10381.8310678,2.0,61949.209,25956,,,0.0250388802488,-2.31193794589,1000,-0.719996114063,3,0.101694915254
20,-617854.725,0.0001,10380.8900339,2.0,61949.209,25948,,,0.0248911014312,-2.31144759493,1000,-0.719763169947,4,0.101694915254
21,-617929.723,0.0001,10381.4062034,2.0,61949.209,25948,,,0.0247355320473,-2.31171844412,1000,-0.719893176283,5,0.101694915254
22,-617868.752,0.0001,10380.8900339,2.0,61949.209,25940,,,0.0245876128229,-2.31149471988,1000,-0.719819079153,6,0.101694915254
23,-617868.749,0.0001,10380.8900339,2.0,61949.209,25940,,,0.0245876128229,-2.31149470905,1000,-0.719819073957,7,0.101694915254
24,-617943.742,0.0001,10380.8900339,2.0,61949.209,25940,,,0.0245876128229,-2.31176553967,1000,-0.719948805955,8,0.101694915254
25,-617943.742,0.0001,10380.8900339,2.0,61949.209,25940,,,0.0245876128229,-2.31176553967,1000,-0.719948805955,9,0.101694915254
26,-617813.218,0.0001,10380.8900339,2.0,61949.209,25936,,,0.0244357976654,-2.31129416373,1000,-0.719722827455,10,0.101694915254
27,-461043.594,0.0001,7896.02623729,2.5,55921.576,20564,,,0.034632034632,-1.72958162552,1000,-0.659511967795,2,0.169491525424
28,-460924.917,0.0001,7895.09267797,2.5,55921.576,20532,,,0.0331099724084,-1.72914283404,1000,-0.659340185321,3,0.169491525424
29,-460827.762,0.0001,7894.15259322,2.5,55921.576,20516,,,0.0329388560158,-1.7287872233,1000,-0.659174112269,4,0.169491525424
30,-460902.76,0.0001,7895.09249153,2.5,55921.576,20516,,,0.032741617357,-1.72905807249,1000,-0.659324709059,5,0.169491525424
31,-460897.254,0.0001,7895.09267797,2.5,55921.576,20512,,,0.0323535214046,-1.72903818876,1000,-0.659313660882,6,0.169491525424
32,-460897.251,0.0001,7895.09267797,2.5,55921.576,20512,,,0.0323535214046,-1.72903817792,1000,-0.659313654864,7,0.169491525424
33,-460972.244,0.0001,7895.09267797,2.5,55921.576,20512,,,0.0323535214046,-1.72930900855,1000,-0.659463884028,8,0.169491525424
34,-460972.244,0.0001,7895.09267797,2.5,55921.576,20512,,,0.0323535214046,-1.72930900855,1000,-0.659463884028,9,0.169491525424
35,-460841.72,0.0001,7895.09267797,2.5,55921.576,20508,,,0.0321625887924,-1.7288376326,1000,-0.659202161475,10,0.169491525424
36,-337295.91,0.0001,5976.2969322,3.0,46985.943,15792,,,0.0446841294299,-1.26882011945,1000,-0.603076831162,2,0.237288135593
37,-337815.625,0.0001,5975.27067797,3.0,46985.943,15716,,,0.0400206558224,-1.27067226785,1000,-0.604565778686,3,0.237288135593
38,-337949.092,0.0001,5975.27067797,3.0,46985.943,15704,,,0.0387697079349,-1.27114936741,1000,-0.60488672158,4,0.237288135593
39,-337738.105,0.0001,5975.27067797,3.0,46985.943,15696,,,0.0385311611068,-1.27038657131,1000,-0.604377977458,5,0.237288135593
40,-337752.091,0.0001,5975.27067797,3.0,46985.943,15688,,,0.0380336351876,-1.27043661159,1000,-0.604412086553,6,0.237288135593
41,-337946.536,0.0001,5980.77915254,3.0,46985.943,15684,,,0.037784679089,-1.27113655756,1000,-0.604897624326,7,0.237288135593
42,-337996.529,0.0001,5980.77915254,3.0,46985.943,15684,,,0.037784679089,-1.27131739539,1000,-0.605014082519,8,0.237288135593
43,-337996.529,0.0001,5980.77915254,3.0,46985.943,15684,,,0.037784679089,-1.27131739539,1000,-0.605014082519,9,0.237288135593
44,-337991.005,0.0001,5980.77915254,3.0,46985.943,15680,,,0.0375355940979,-1.27129598344,1000,-0.605013168975,10,0.237288135593
45,-242899.422,0.0001,4439.31325424,3.5,29736.892,12656,,,0.056233933162,-0.915400342207,1000,-0.62672561814,2,0.254237288136
46,-243309.186,0.0001,4442.01133898,3.5,29736.892,12572,,,0.0488989637306,-0.916885700733,1000,-0.628322130436,3,0.237288135593
47,-243725.984,0.0001,4443.28252542,3.5,29736.892,12548,,,0.0464285714286,-0.918378149941,1000,-0.629840275261,4,0.237288135593
48,-243939.867,0.0001,4443.28252542,3.5,29736.892,12540,,,0.0458089668616,-0.919145320596,1000,-0.630619979073,5,0.237288135593
49,-244078.926,0.0001,4443.28252542,3.5,29736.892,12532,,,0.045188556567,-0.919656712333,1000,-0.631126098534,6,0.237288135593
50,-244078.916,0.0001,4443.28252542,3.5,29736.892,12532,,,0.045188556567,-0.919656676301,1000,-0.631126061463,7,0.237288135593
51,-244178.909,0.0001,4443.28252542,3.5,29736.892,12532,,,0.045188556567,-0.920017499727,1000,-0.631485627337,8,0.237288135593
52,-244153.909,0.0001,4443.28252542,3.5,29736.892,12532,,,0.045188556567,-0.919927506926,1000,-0.631391232048,9,0.237288135593
53,-244023.389,0.0001,4443.28252542,3.5,29736.892,12528,,,0.0448780487805,-0.919456145377,1000,-0.630928943261,10,0.237288135593
54,-166181.681,0.0001,3260.51876271,4.0,14976.993,9428,,,0.0702210663199,-0.627947209316,1000,-0.628093353534,2,0.271186440678
55,-165931.272,0.0001,3258.88908475,4.0,14976.993,9336,,,0.0630749014455,-0.627028467412,1000,-0.627411494017,3,0.271186440678
56,-167325.847,0.0001,3262.60994915,4.0,14976.993,9296,,,0.0568783068783,-0.632031870944,1000,-0.635198936847,4,0.271186440678
57,-167854.019,0.0001,3262.60994915,4.0,14976.993,9280,,,0.0552120141343,-0.633961927502,1000,-0.637951434777,5,0.271186440678
58,-167823.502,0.0001,3262.60994915,4.0,14976.993,9276,,,0.0547945205479,-0.633852010541,1000,-0.637793991745,6,0.271186440678
59,-167992.931,0.0001,3262.60994915,4.0,14976.993,9272,,,0.0543766578249,-0.634457654756,1000,-0.638740752819,7,0.271186440678
60,-168042.924,0.0001,3262.60994915,4.0,14976.993,9272,,,0.0543766578249,-0.634639119876,1000,-0.638996315872,8,0.271186440678
61,-168042.924,0.0001,3262.60994915,4.0,14976.993,9272,,,0.0543766578249,-0.634639119876,1000,-0.638996315872,9,0.271186440678
62,-167912.4,0.0001,3262.60994915,4.0,14976.993,9268,,,0.0539584254755,-0.634167743928,1000,-0.638308082314,10,0.271186440678
63,-611782.724,0.0003,10163.997322,1.0,71140.808,29356,,,0.0376270255424,-2.29378540822,1000,-0.86247922593,2,0.0169491525424
64,-611876.49,0.0003,10167.7057288,1.0,71140.808,29352,,,0.0373575058371,-2.29421264497,1000,-0.862434993877,3,0.0169491525424
65,-611876.491,0.0003,10167.7980339,1.0,71140.808,29352,,,0.0373575058371,-2.29421264865,1000,-0.86243499602,4,0.0169491525424
66,-611821.045,0.0003,10167.7057288,1.0,71140.808,29348,,,0.0373626373626,-2.29400887798,1000,-0.862315996984,5,0.0169491525424
67,-611890.518,0.0003,10167.7057288,1.0,71140.808,29344,,,0.0372303887897,-2.29425977361,1000,-0.862465516695,6,0.0169491525424
68,-611890.518,0.0003,10167.7057288,1.0,71140.808,29344,,,0.0372303887897,-2.29425977361,1000,-0.862465516695,7,0.0169491525424
69,-611890.518,0.0003,10167.7057288,1.0,71140.808,29344,,,0.0372303887897,-2.29425977361,1000,-0.862465516695,8,0.0169491525424
70,-611890.518,0.0003,10167.7057288,1.0,71140.808,29344,,,0.0372303887897,-2.29425977361,1000,-0.862465516695,9,0.0169491525424
71,-611890.518,0.0003,10167.7057288,1.0,71140.808,29344,,,0.0372303887897,-2.29425977361,1000,-0.862465516695,10,0.0169491525424
72,-446573.743,0.0003,7787.30216949,1.5,44834.044,22408,,,0.0696122633003,-1.68151479259,1000,-0.785210570987,2,0.135593220339
73,-446471.505,0.0003,7787.54576271,1.5,44834.044,22388,,,0.0687725631769,-1.68115372288,1000,-0.784873465404,3,0.135593220339
74,-446471.506,0.0003,7787.6380678,1.5,44834.044,22388,,,0.0687725631769,-1.68115372655,1000,-0.784873467896,4,0.135593220339
75,-446416.06,0.0003,7787.54576271,1.5,44834.044,22384,,,0.0687849792381,-1.68094995588,1000,-0.784735047733,5,0.135593220339
76,-446485.533,0.0003,7787.54576271,1.5,44834.044,22380,,,0.0686168291802,-1.68120085151,1000,-0.784918821136,6,0.135593220339
77,-446485.533,0.0003,7787.54576271,1.5,44834.044,22380,,,0.0686168291802,-1.68120085151,1000,-0.784918821136,7,0.135593220339
78,-446485.533,0.0003,7787.54576271,1.5,44834.044,22380,,,0.0686168291802,-1.68120085151,1000,-0.784918821136,8,0.135593220339
79,-446485.533,0.0003,7787.54576271,1.5,44834.044,22380,,,0.0686168291802,-1.68120085151,1000,-0.784918821136,9,0.135593220339
80,-446485.533,0.0003,7787.54576271,1.5,44834.044,22380,,,0.0686168291802,-1.68120085151,1000,-0.784918821136,10,0.135593220339
81,-322554.198,0.0003,5958.74281356,2.0,38351.447,16776,,,0.0804347826087,-1.21536644386,1000,-0.698011228168,2,0.254237288136
82,-322535.369,0.0003,5958.98389831,2.0,38351.447,16744,,,0.0786544046467,-1.21530531278,1000,-0.697997066293,3,0.271186440678
83,-322674.25,0.0003,5959.40764407,2.0,38351.447,16736,,,0.0782082324455,-1.21580224797,1000,-0.698472576445,4,0.271186440678
84,-322618.804,0.0003,5958.89161017,2.0,38351.447,16732,,,0.0782271736498,-1.2155984773,1000,-0.698302274684,5,0.271186440678
85,-322688.277,0.0003,5958.89161017,2.0,38351.447,16728,,,0.078003875969,-1.21584937293,1000,-0.698518085596,6,0.254237288136
86,-322688.277,0.0003,5958.89161017,2.0,38351.447,16728,,,0.078003875969,-1.21584937293,1000,-0.698518085596,7,0.254237288136
87,-322688.277,0.0003,5958.89161017,2.0,38351.447,16728,,,0.078003875969,-1.21584937293,1000,-0.698518085596,8,0.254237288136
88,-322688.277,0.0003,5958.89161017,2.0,38351.447,16728,,,0.078003875969,-1.21584937293,1000,-0.698518085596,9,0.254237288136
89,-322688.277,0.0003,5958.89161017,2.0,38351.447,16728,,,0.078003875969,-1.21584937293,1000,-0.698518085596,10,0.254237288136
90,-196278.46,0.0003,3941.18388136,2.5,18384.968,11408,,,0.104680242944,-0.742276202938,1000,-0.731993009532,2,0.305084745763
91,-197567.004,0.0003,3938.97649153,2.5,18384.968,11272,,,0.0937047756874,-0.746985764062,1000,-0.739045587891,3,0.28813559322
92,-197739.445,0.0003,3939.30630508,2.5,18384.968,11252,,,0.0920623414281,-0.747597450552,1000,-0.740259584384,4,0.28813559322
93,-197808.947,0.0003,3939.30630508,2.5,18384.968,11248,,,0.0917331399565,-0.747849564814,1000,-0.740467972006,5,0.28813559322
94,-197878.42,0.0003,3939.30630508,2.5,18384.968,11244,,,0.0914036996736,-0.748100460444,1000,-0.740855991774,6,0.271186440678
95,-197878.42,0.0003,3939.30630508,2.5,18384.968,11244,,,0.0914036996736,-0.748100460444,1000,-0.740855991774,7,0.271186440678
96,-197878.42,0.0003,3939.30630508,2.5,18384.968,11244,,,0.0914036996736,-0.748100460444,1000,-0.740855991774,8,0.271186440678
97,-197878.42,0.0003,3939.30630508,2.5,18384.968,11244,,,0.0914036996736,-0.748100460444,1000,-0.740855991774,9,0.271186440678
98,-197878.42,0.0003,3939.30630508,2.5,18384.968,11244,,,0.0914036996736,-0.748100460444,1000,-0.740855991774,10,0.271186440678
99,-122177.271,0.0003,2728.43474576,3.0,11133.598,8168,,,0.131089904571,-0.464295767141,1000,-0.635794552095,2,0.389830508475
100,-123353.863,0.0003,2738.32689831,3.0,11133.598,8004,,,0.111053984576,-0.468650804582,1000,-0.645526699825,3,0.338983050847
101,-124482.244,0.0003,2738.32689831,3.0,11133.598,7952,,,0.104609010875,-0.472719309427,1000,-0.653948759766,4,0.338983050847
102,-124376.619,0.0003,2738.32689831,3.0,11133.598,7948,,,0.103680663556,-0.472330896351,1000,-0.653168458072,5,0.338983050847
103,-124640.514,0.0003,2738.32689831,3.0,11133.598,7940,,,0.102750389206,-0.473276833406,1000,-0.655322833535,6,0.338983050847
104,-124973.918,0.0003,2744.68283051,3.0,11133.598,7928,,,0.101351351351,-0.474481103958,1000,-0.657968389223,7,0.338983050847
105,-124948.918,0.0003,2744.68283051,3.0,11133.598,7928,,,0.101351351351,-0.474391111158,1000,-0.657763356438,8,0.338983050847
106,-124948.918,0.0003,2744.68283051,3.0,11133.598,7928,,,0.101351351351,-0.474391111158,1000,-0.657763356438,9,0.338983050847
107,-125073.918,0.0003,2744.68283051,3.0,11133.598,7928,,,0.101351351351,-0.474841075161,1000,-0.658783059918,10,0.338983050847
108,-84424.658,0.0003,2080.27071186,3.5,12024.284,6000,,,0.146593255334,-0.3208680289,1000,-0.537435231304,2,0.406779661017
109,-86084.394,0.0003,2090.67762712,3.5,12024.284,5860,,,0.123055162659,-0.326966502586,1000,-0.551920513853,3,0.35593220339
110,-89188.714,0.0003,2092.18583051,3.5,12024.284,5772,,,0.105339105339,-0.338218173255,1000,-0.577199257704,4,0.305084745763
111,-89208.218,0.0003,2092.18583051,3.5,12024.284,5768,,,0.104046242775,-0.338292038013,1000,-0.577472653302,5,0.305084745763
112,-89227.7,0.0003,2092.18583051,3.5,12024.284,5764,,,0.103398409255,-0.338359782883,1000,-0.577631587796,6,0.305084745763
113,-89227.7,0.0003,2092.18583051,3.5,12024.284,5764,,,0.103398409255,-0.338359782883,1000,-0.577631587796,7,0.305084745763
114,-89227.7,0.0003,2092.18583051,3.5,12024.284,5764,,,0.103398409255,-0.338359782883,1000,-0.577631587796,8,0.305084745763
115,-89227.7,0.0003,2092.18583051,3.5,12024.284,5764,,,0.103398409255,-0.338359782883,1000,-0.577631587796,9,0.305084745763
116,-89227.7,0.0003,2092.18583051,3.5,12024.284,5764,,,0.103398409255,-0.338359782883,1000,-0.577631587796,10,0.305084745763
117,-59005.267,0.0003,1635.04115254,4.0,15637.3,3940,,,0.19133192389,-0.223339154956,1000,-0.360690596968,2,0.440677966102
118,-60333.981,0.0003,1646.29716949,4.0,15637.3,3832,,,0.161184210526,-0.228321479508,1000,-0.36978052709,3,0.372881355932
119,-63466.026,0.0003,1651.70981356,4.0,15637.3,3764,,,0.136568848758,-0.239762876526,1000,-0.390733270837,4,0.28813559322
120,-63385.602,0.0003,1651.70981356,4.0,15637.3,3760,,,0.135593220339,-0.239480724055,1000,-0.390197660244,5,0.305084745763
121,-63524.504,0.0003,1651.70981356,4.0,15637.3,3752,,,0.133635334088,-0.239972252817,1000,-0.391691907585,6,0.305084745763
122,-64013.307,0.0003,1652.13354237,4.0,15637.3,3744,,,0.131668558456,-0.241718618096,1000,-0.395408447111,7,0.305084745763
123,-64013.307,0.0003,1652.13354237,4.0,15637.3,3744,,,0.131668558456,-0.241718618096,1000,-0.395408447111,8,0.305084745763
124,-64013.307,0.0003,1652.13354237,4.0,15637.3,3744,,,0.131668558456,-0.241718618096,1000,-0.395408447111,9,0.305084745763
