,PNL,alpha,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,-657268.773,0.0001,10922.9752203,1.0,66799.551,28616,,,0.0242424242424,-2.46178540607,1000,-0.811330457567,2,0.0508474576271
1,-656831.025,0.0001,10920.915678,1.0,66799.551,28588,,,0.0238431151242,-2.46018822288,1000,-0.810885013377,3,0.0508474576271
2,-656606.029,0.0001,10917.949661,1.0,66799.551,28588,,,0.0238431151242,-2.45937002803,1000,-0.810467377789,4,0.0508474576271
3,-656681.027,0.0001,10918.0421017,1.0,66799.551,28588,,,0.0237020316027,-2.45964087722,1000,-0.810617807549,5,0.0508474576271
4,-656620.056,0.0001,10917.949661,1.0,66799.551,28580,,,0.0235675980807,-2.45941715299,1000,-0.810578662285,6,0.0508474576271
5,-656620.053,0.0001,10917.949661,1.0,66799.551,28580,,,0.0235675980807,-2.45941714215,1000,-0.810578656273,7,0.0508474576271
6,-656695.046,0.0001,10917.949661,1.0,66799.551,28580,,,0.0235675980807,-2.45968797278,1000,-0.810728763373,8,0.0508474576271
7,-656695.046,0.0001,10917.949661,1.0,66799.551,28580,,,0.0235675980807,-2.45968797278,1000,-0.810728763373,9,0.0508474576271
8,-656564.522,0.0001,10917.949661,1.0,66799.551,28576,,,0.0234297812279,-2.45921659683,1000,-0.810467276581,10,0.0508474576271
9,-621269.014,0.0001,10420.0035932,1.5,64558.495,26848,,,0.0287045386234,-2.32817916976,1000,-0.771663145182,2,0.0508474576271
10,-620831.266,0.0001,10417.520322,1.5,64558.495,26820,,,0.0282834361366,-2.32658208798,1000,-0.771170712516,3,0.0508474576271
11,-620606.27,0.0001,10414.5543051,1.5,64558.495,26820,,,0.0282834361366,-2.32576389313,1000,-0.770760599081,4,0.0508474576271
12,-620681.268,0.0001,10414.6467458,1.5,64558.495,26820,,,0.0281329923274,-2.32603474232,1000,-0.770906079467,5,0.0508474576271
13,-620409.401,0.0001,10410.9797966,1.5,64558.495,26804,,,0.0279993978624,-2.3250359501,1000,-0.77066116713,6,0.0508474576271
14,-620409.398,0.0001,10410.9797966,1.5,64558.495,26804,,,0.0279993978624,-2.32503593927,1000,-0.770661161316,7,0.0508474576271
15,-620484.391,0.0001,10410.9797966,1.5,64558.495,26804,,,0.0279993978624,-2.32530676989,1000,-0.770806308009,8,0.0508474576271
