,PNL,alpha,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,37576.36275,-1,707.987576271,1.0,1390.88575,10672,37.0313695486,833.929227238,0.70428462127,0.0796223155099,1000,0.402226629735,-1,0.593220338983
1,38409.912,-1,702.909182203,1.5,1390.87675,10200,38.1209935897,871.861378205,0.701923076923,0.0815959034967,1000,0.414352071297,-1,0.610169491525
2,34163.1735,-1,685.411805085,2.0,1236.94125,8728,39.0742481203,1020.33928571,0.684210526316,0.0725655992396,1000,0.42433769147,-1,0.661016949153
3,35238.83,-1,657.469970339,2.5,1242.47,6752,45.4740061162,1309.76330275,0.692354740061,0.0766747891011,1000,0.537829742721,-1,0.745762711864
4,32500.72525,-1,596.496427966,3.0,1250.0,4168,59.726443769,2049.18844985,0.7031408308,0.0722919783886,1000,0.608190895548,-1,0.745762711864
5,28870.465,-1,575.933216102,3.5,1250.0,2508,79.8951048951,3188.6958042,0.722027972028,0.0653820750538,1000,0.719946796563,-1,0.830508474576
6,22197.13675,-1,568.921563559,4.0,1350.0,1336,,,0.745583038869,0.0500391752009,1000,0.635117258142,-1,0.745762711864
7,43909.7325,-1,615.778194915,1.0,1123.01925,7908,46.9562955255,1149.81529657,0.760145681582,0.0962422475667,2000,0.577715805983,-1,0.745762711864
8,42770.70125,-1,609.800957627,1.5,1095.711,6996,49.7637330183,1303.1742469,0.753691671589,0.0940781727202,2000,0.595200325798,-1,0.71186440678
9,37257.29475,-1,624.301461864,2.0,1100.0,5428,54.6082949309,1678.9093702,0.747311827957,0.0825037508473,2000,0.639338140648,-1,0.745762711864
10,35616.39425,-1,610.267029661,2.5,1286.576,3876,67.3793859649,2327.67434211,0.747807017544,0.0796242156469,2000,0.6748986211,-1,0.728813559322
11,29044.32075,-1,605.836618644,3.0,1250.0,2476,83.8680926916,3448.21568627,0.764705882353,0.0656066914966,2000,0.656859374079,-1,0.745762711864
12,21343.396,-1,613.148474576,3.5,1250.0,1548,107.878787879,5014.79393939,0.769696969697,0.0474042869542,2000,0.577623896334,-1,0.71186440678
13,15243.4355,-1,586.266050847,4.0,1350.0,876,,,0.78527607362,0.0343738881424,2000,0.452070396978,-1,0.728813559322
14,44575.26575,-1,606.551779661,1.0,1036.576,6840,52.3579201935,1322.19467956,0.80169286578,0.0985873653478,3000,0.602671060056,-1,0.796610169492
15,41858.844,-1,598.751889831,1.5,1100.0,5764,56.8231046931,1571.75812274,0.793501805054,0.0928582374355,3000,0.632874828517,-1,0.796610169492
16,37210.81775,-1,609.945165254,2.0,1150.0,4308,64.9656526006,2124.55446516,0.780176643768,0.0825260709223,3000,0.644934679104,-1,0.813559322034
17,34746.069,-1,607.397292373,2.5,1150.0,2932,83.8518518519,3055.5362963,0.783703703704,0.0775422283379,3000,0.637732526479,-1,0.762711864407
18,27852.92825,-1,590.396283898,3.0,1150.0,1896,106.850961538,4442.77884615,0.793269230769,0.0622273737219,3000,0.591419724664,-1,0.745762711864
19,20901.1665,-1,596.567389831,3.5,1150.0,1144,136.538461538,6639.92307692,0.799145299145,0.0467732903846,3000,0.540851551573,-1,0.71186440678
20,10555.95,-1,583.665826271,4.0,1250.0,688,,,0.803418803419,0.0230728506829,3000,0.340370228325,-1,0.64406779661
21,42554.116,-1,601.367216102,1.0,1091.9625,6064,55.6202878684,1502.05894448,0.810143934202,0.0945254079836,4000,0.626017671312,-1,0.796610169492
22,39601.5525,-1,600.507402542,1.5,1220.9925,4904,61.5582191781,1864.0505137,0.807363013699,0.0881433225776,4000,0.611185785061,-1,0.779661016949
23,35811.046,-1,601.917622881,2.0,1121.006,3492,74.5710784314,2623.3247549,0.801470588235,0.0795973503264,4000,0.639166136509,-1,0.745762711864
24,32131.01525,-1,597.587639831,2.5,1121.006,2396,95.7642725599,3728.53038674,0.813996316759,0.0716940243431,4000,0.630211698514,-1,0.728813559322
25,22670.51025,-1,590.843008475,3.0,1150.0,1532,115.644171779,5624.55214724,0.815950920245,0.0505487147609,4000,0.609201723478,-1,0.694915254237
26,15814.621,-1,605.833847458,3.5,1150.0,952,,,0.803278688525,0.0353371358363,4000,0.465609638518,-1,0.745762711864
27,12995.61725,-1,599.267618644,4.0,1150.0,624,,,0.803921568627,0.0287404029524,4000,0.407338818427,-1,0.627118644068
