,PNL,alpha,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,-197812.1645,0.0001,3527.46930085,1.0,22024.38375,21984,,,0.112745999632,-0.450717255334,1000,-0.772093111419,-1,0.0338983050847
1,-32358.2295,0.0001,1217.70420763,1.5,6845.42175,9856,,,0.352452202826,-0.0760067551786,1000,-0.358997998907,-1,0.28813559322
2,9379.8065,0.0001,761.676538136,2.0,4424.14575,5020,,,0.593984962406,0.0191444905899,1000,0.147565206963,-1,0.593220338983
3,17877.7815,0.0001,645.846292373,2.5,2015.04075,3024,,,0.699570815451,0.0391916345289,1000,0.384864669056,-1,0.627118644068
4,13698.999,0.0001,618.784652542,3.0,1300.0,1828,,,0.76,0.0299968029226,1000,0.343861352579,-1,0.576271186441
5,13326.14725,0.0001,625.693122881,3.5,1300.0,1308,,,0.830882352941,0.0293650418877,1000,0.345048335441,-1,0.593220338983
6,14678.65075,0.0001,623.661652542,4.0,1300.0,1068,,,0.885714285714,0.0328910010151,1000,0.404268436916,-1,0.576271186441
7,-171045.32325,0.0003,3036.35148305,1.0,12298.9355,25792,-5.2573932092,355.580660304,0.140353622281,-0.399039554343,1000,-1.23607450051,-1,0.0508474576271
8,-21352.21875,0.0003,1058.03335593,1.5,4203.7115,12216,16.2108072048,748.4503002,0.386924616411,-0.0527472794526,1000,-0.29384521035,-1,0.254237288136
9,19560.7305,0.0003,681.141758475,2.0,1804.4,6068,40.5414667581,1500.32282385,0.667580534613,0.0413829351734,1000,0.312671802858,-1,0.576271186441
10,24376.971,0.0003,631.326766949,2.5,1118.58725,3588,61.084624553,2552.50536353,0.748510131108,0.0531854695605,1000,0.467911544397,-1,0.627118644068
11,23170.6755,0.0003,620.737974576,3.0,1350.0,2484,77.6198934281,3717.02309059,0.754884547069,0.0513894932881,1000,0.540591146714,-1,0.728813559322
12,19365.7695,0.0003,616.525699153,3.5,1300.0,1724,96.1126005362,5336.77747989,0.801608579088,0.0430196108881,1000,0.490839476638,-1,0.694915254237
13,17316.638,0.0003,609.812809322,4.0,1300.0,1352,,,0.792857142857,0.0385590606456,1000,0.494327340711,-1,0.661016949153
14,-202861.624,0.0005,3312.87586864,1.0,8240.63325,30508,-5.65900686741,300.446645536,0.130480718436,-0.474602084109,1000,-1.41689867524,-1,0.0338983050847
15,-30347.76575,0.0005,1196.92323305,1.5,4142.36275,14716,14.1457355783,621.551752691,0.373171404913,-0.0760438263199,1000,-0.374241689901,-1,0.271186440678
16,21734.841,0.0005,694.442283898,2.0,1461.78025,7432,37.0277777778,1226.63166667,0.641111111111,0.0459105402729,1000,0.306418923739,-1,0.610169491525
17,29767.2765,0.0005,625.474970339,2.5,1126.00075,4484,56.719924812,2029.22650376,0.75,0.0650221867972,1000,0.499151837122,-1,0.694915254237
18,23506.673,0.0005,630.32529661,3.0,1350.0,2896,68.6186186186,3136.88588589,0.744744744745,0.0520180253472,1000,0.516861282518,-1,0.677966101695
19,19823.94425,0.0005,613.492944915,3.5,1300.0,1916,85.3427895981,4797.71158392,0.74231678487,0.0439337365904,1000,0.487053916609,-1,0.64406779661
20,20004.73825,0.0005,605.949127119,4.0,1300.0,1456,104.545454545,6220.69480519,0.785714285714,0.0446851625621,1000,0.530006811603,-1,0.694915254237
21,-242870.72825,0.0007,3909.96030508,1.0,9383.41675,35112,-7.015130674,260.924919762,0.119669876204,-0.567553245101,1000,-1.74390604256,-1,0.0338983050847
