,PNL,alpha,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,-198356.44525,0.0001,3529.42135593,1.0,22024.38375,22024,,,0.113824123371,-0.452010323018,1000,-0.774911052594,2,0.0338983050847
1,-198176.01675,0.0001,3527.9241822,1.0,22024.38375,22008,,,0.113356604814,-0.451602649056,1000,-0.774165848379,3,0.0338983050847
2,-197919.53725,0.0001,3527.46930085,1.0,22024.38375,21996,,,0.113235294118,-0.450973774427,1000,-0.772668247535,4,0.0338983050847
3,-197880.81475,0.0001,3527.78544492,1.0,22024.38375,21988,,,0.112725266642,-0.450884044085,1000,-0.772423994464,5,0.0338983050847
4,-197812.1645,0.0001,3527.46930085,1.0,22024.38375,21984,,,0.112745999632,-0.450717255334,1000,-0.772093111419,6,0.0338983050847
5,-197812.1645,0.0001,3527.46930085,1.0,22024.38375,21984,,,0.112745999632,-0.450717255334,1000,-0.772093111419,7,0.0338983050847
6,-197812.1645,0.0001,3527.46930085,1.0,22024.38375,21984,,,0.112745999632,-0.450717255334,1000,-0.772093111419,8,0.0338983050847
7,-197812.1645,0.0001,3527.46930085,1.0,22024.38375,21984,,,0.112745999632,-0.450717255334,1000,-0.772093111419,9,0.0338983050847
8,-197812.1645,0.0001,3527.46930085,1.0,22024.38375,21984,,,0.112745999632,-0.450717255334,1000,-0.772093111419,10,0.0338983050847
9,-32322.41975,0.0001,1218.81561864,1.5,6845.42175,9960,,,0.356907894737,-0.0760557060664,1000,-0.357508589308,2,0.254237288136
10,-32813.2275,0.0001,1219.00650847,1.5,6845.42175,9888,,,0.353769676885,-0.0771173235243,1000,-0.364361829365,3,0.271186440678
11,-32365.62475,0.0001,1217.70420763,1.5,6845.42175,9868,,,0.353258613533,-0.0760468468792,1000,-0.358789987476,4,0.271186440678
12,-32397.2895,0.0001,1218.02035169,1.5,6845.42175,9864,,,0.352574750831,-0.0761089505004,1000,-0.359403863514,5,0.271186440678
13,-32328.60325,0.0001,1217.70420763,1.5,6845.42175,9860,,,0.352721229747,-0.0759420831637,1000,-0.358514804336,6,0.28813559322
14,-32358.2295,0.0001,1217.70420763,1.5,6845.42175,9856,,,0.352452202826,-0.0760067551786,1000,-0.358997998907,7,0.28813559322
15,-32358.2295,0.0001,1217.70420763,1.5,6845.42175,9856,,,0.352452202826,-0.0760067551786,1000,-0.358997998907,8,0.28813559322
16,-32358.2295,0.0001,1217.70420763,1.5,6845.42175,9856,,,0.352452202826,-0.0760067551786,1000,-0.358997998907,9,0.28813559322
17,-32358.2295,0.0001,1217.70420763,1.5,6845.42175,9856,,,0.352452202826,-0.0760067551786,1000,-0.358997998907,10,0.28813559322
18,11117.30675,0.0001,760.943555085,2.0,4424.14575,5276,,,0.611904761905,0.0229151854635,1000,0.16623010926,2,0.610169491525
19,9086.627,0.0001,761.676538136,2.0,4424.14575,5080,,,0.598184818482,0.018385728495,1000,0.139940074704,3,0.593220338983
20,9281.63,0.0001,761.676538136,2.0,4424.14575,5040,,,0.595673876872,0.0189001960414,1000,0.145591585623,4,0.593220338983
21,9311.15625,0.0001,761.676538136,2.0,4424.14575,5024,,,0.594323873122,0.0189777018387,1000,0.146269803405,5,0.593220338983
22,9379.8065,0.0001,761.676538136,2.0,4424.14575,5020,,,0.593984962406,0.0191444905899,1000,0.147565206963,6,0.593220338983
23,9379.8065,0.0001,761.676538136,2.0,4424.14575,5020,,,0.593984962406,0.0191444905899,1000,0.147565206963,7,0.593220338983
24,9379.8065,0.0001,761.676538136,2.0,4424.14575,5020,,,0.593984962406,0.0191444905899,1000,0.147565206963,8,0.593220338983
25,9379.8065,0.0001,761.676538136,2.0,4424.14575,5020,,,0.593984962406,0.0191444905899,1000,0.147565206963,9,0.593220338983
26,9379.8065,0.0001,761.676538136,2.0,4424.14575,5020,,,0.593984962406,0.0191444905899,1000,0.147565206963,10,0.593220338983
27,22197.85125,0.0001,639.369792373,2.5,2015.04075,3596,,,0.741706161137,0.0484307739866,1000,0.410058738972,2,0.610169491525
28,19039.1335,0.0001,642.752423729,2.5,2015.04075,3172,,,0.711956521739,0.0416333862647,1000,0.392385169659,3,0.627118644068
29,17716.9695,0.0001,646.693483051,2.5,2015.04075,3056,,,0.70297029703,0.0387401700238,1000,0.379755476748,4,0.627118644068
30,17847.32825,0.0001,645.846292373,2.5,2015.04075,3040,,,0.701280227596,0.039077936561,1000,0.38159125606,5,0.627118644068
31,17986.58625,0.0001,645.846292373,2.5,2015.04075,3032,,,0.700427960057,0.0394184021576,1000,0.384594909819,6,0.627118644068
32,17856.9465,0.0001,645.846292373,2.5,2015.04075,3028,,,0.7,0.0391444625214,1000,0.384635904946,7,0.627118644068
33,17877.7815,0.0001,645.846292373,2.5,2015.04075,3024,,,0.699570815451,0.0391916345289,1000,0.384864669056,8,0.627118644068
34,17877.7815,0.0001,645.846292373,2.5,2015.04075,3024,,,0.699570815451,0.0391916345289,1000,0.384864669056,9,0.627118644068
35,17877.7815,0.0001,645.846292373,2.5,2015.04075,3024,,,0.699570815451,0.0391916345289,1000,0.384864669056,10,0.627118644068
36,22760.489,0.0001,606.307877119,3.0,1350.0,2748,,,0.83937007874,0.049831792266,1000,0.44109020852,2,0.627118644068
37,17608.21525,0.0001,613.662601695,3.0,1300.0,2144,,,0.79375,0.0383222768388,1000,0.379644081822,3,0.593220338983
38,14758.74925,0.0001,617.620631356,3.0,1300.0,1936,,,0.775700934579,0.0323268236374,1000,0.365268352933,4,0.593220338983
39,13944.505,0.0001,618.784652542,3.0,1300.0,1860,,,0.764705882353,0.0305684550828,1000,0.346497861607,5,0.576271186441
40,13343.1765,0.0001,618.784652542,3.0,1300.0,1840,,,0.761786600496,0.029222259141,1000,0.340523785585,6,0.576271186441
41,13480.351,0.0001,618.784652542,3.0,1300.0,1832,,,0.760598503741,0.0295149120117,1000,0.341877054668,7,0.576271186441
42,13680.3465,0.0001,618.784652542,3.0,1300.0,1832,,,0.760598503741,0.0299514858672,1000,0.343410404815,8,0.576271186441
43,13698.999,0.0001,618.784652542,3.0,1300.0,1828,,,0.76,0.0299968029226,1000,0.343861352579,9,0.576271186441
44,13698.999,0.0001,618.784652542,3.0,1300.0,1828,,,0.76,0.0299968029226,1000,0.343861352579,10,0.576271186441
45,23764.921,0.0001,584.769364407,3.5,1350.0,2452,,,0.914893617021,0.0522255987856,1000,0.464148473762,2,0.677966101695
46,18625.25375,0.0001,614.849652542,3.5,1350.0,1800,,,0.878481012658,0.0408705785444,1000,0.414137028048,3,0.677966101695
47,16326.31475,0.0001,619.128974576,3.5,1300.0,1508,,,0.857585139319,0.0359578428311,1000,0.384886101601,4,0.610169491525
48,14524.76525,0.0001,624.329377119,3.5,1300.0,1388,,,0.843003412969,0.0320408951163,1000,0.362945816137,5,0.593220338983
49,13554.42375,0.0001,625.693199153,3.5,1300.0,1364,,,0.839160839161,0.029909224198,1000,0.35281901984,6,0.593220338983
50,13361.6245,0.0001,624.299783898,3.5,1300.0,1332,,,0.834532374101,0.0295087753363,1000,0.349682279154,7,0.593220338983
51,13220.813,0.0001,624.299783898,3.5,1300.0,1320,,,0.832727272727,0.0291770190303,1000,0.34574907972,8,0.593220338983
52,13487.95125,0.0001,624.299631356,3.5,1300.0,1316,,,0.832116788321,0.029745661631,1000,0.346429561568,9,0.593220338983
53,13326.14725,0.0001,625.693122881,3.5,1300.0,1308,,,0.830882352941,0.0293650418877,1000,0.345048335441,10,0.593220338983
54,24826.581,0.0001,559.297330508,4.0,1350.0,2276,,,0.950191570881,0.0550942452966,1000,0.535779614499,2,0.64406779661
55,19332.3915,0.0001,595.631360169,4.0,1350.0,1584,,,0.921511627907,0.0429955219363,1000,0.486658685489,3,0.677966101695
56,18389.13075,0.0001,606.195868644,4.0,1270.96325,1328,,,0.909420289855,0.0411037140946,1000,0.461095400471,4,0.610169491525
57,16574.4285,0.0001,623.136974576,4.0,1300.0,1180,,,0.894957983193,0.0369474592138,1000,0.426927587581,5,0.559322033898
58,15584.38675,0.0001,624.81,4.0,1300.0,1128,,,0.888888888889,0.0348132144027,1000,0.41370519426,6,0.576271186441
59,14386.84625,0.0001,622.268313559,4.0,1300.0,1088,,,0.883720930233,0.0322910987295,1000,0.402493600422,7,0.576271186441
60,14802.88425,0.0001,622.268313559,4.0,1300.0,1084,,,0.88785046729,0.0331950504565,1000,0.405600732393,8,0.576271186441
61,14790.466,0.0001,622.268161017,4.0,1300.0,1076,,,0.88679245283,0.0331534424142,1000,0.405060769844,9,0.576271186441
62,14628.653,0.0001,623.661652542,4.0,1300.0,1068,,,0.885714285714,0.0327728030246,1000,0.403567779433,10,0.576271186441
63,-171904.46475,0.0003,3046.72183475,1.0,12220.072,25844,-5.34041224235,354.823860087,0.141474078701,-0.401091405198,1000,-1.24657410643,2,0.0508474576271
64,-171643.02275,0.0003,3040.74107627,1.0,12298.9355,25812,-5.33145716073,355.298155097,0.140556597874,-0.400428356649,1000,-1.24386885103,3,0.0508474576271
65,-171152.345,0.0003,3038.35628814,1.0,12298.9355,25804,-5.26274632468,355.413199875,0.140600563028,-0.399311939119,1000,-1.23711621804,4,0.0508474576271
66,-171163.60675,0.0003,3038.35628814,1.0,12298.9355,25796,-5.27221526909,355.524874844,0.140331664581,-0.3993313242,1000,-1.237514671,5,0.0508474576271
67,-171113.609,0.0003,3037.50886864,1.0,12298.9355,25796,-5.26439299124,355.524874844,0.140331664581,-0.399207994772,1000,-1.23691301551,6,0.0508474576271
68,-171113.609,0.0003,3037.50886864,1.0,12298.9355,25796,-5.26439299124,355.524874844,0.140331664581,-0.399207994772,1000,-1.23691301551,7,0.0508474576271
69,-171045.32325,0.0003,3036.35148305,1.0,12298.9355,25792,-5.2573932092,355.580660304,0.140353622281,-0.399039554343,1000,-1.23607450051,8,0.0508474576271
70,-171045.32325,0.0003,3036.35148305,1.0,12298.9355,25792,-5.2573932092,355.580660304,0.140353622281,-0.399039554343,1000,-1.23607450051,9,0.0508474576271
71,-171045.32325,0.0003,3036.35148305,1.0,12298.9355,25792,-5.2573932092,355.580660304,0.140353622281,-0.399039554343,1000,-1.23607450051,10,0.0508474576271
72,-21895.77575,0.0003,1059.40079237,1.5,4203.7115,12284,16.0530679934,744.083250415,0.389386401327,-0.0540196317131,1000,-0.300575499599,2,0.254237288136
73,-21959.6905,0.0003,1059.22933475,1.5,4203.7115,12228,16.0113295568,747.52649117,0.386537820726,-0.0541038926829,1000,-0.304384060844,3,0.254237288136
74,-21370.53825,0.0003,1058.03335593,1.5,4203.7115,12220,16.2054018006,748.200400133,0.387129043014,-0.0527924681552,1000,-0.294136146869,4,0.254237288136
75,-21352.21875,0.0003,1058.03335593,1.5,4203.7115,12216,16.2108072048,748.4503002,0.386924616411,-0.0527472794526,1000,-0.29384521035,5,0.254237288136
76,-21352.21875,0.0003,1058.03335593,1.5,4203.7115,12216,16.2108072048,748.4503002,0.386924616411,-0.0527472794526,1000,-0.29384521035,6,0.254237288136
77,-21352.21875,0.0003,1058.03335593,1.5,4203.7115,12216,16.2108072048,748.4503002,0.386924616411,-0.0527472794526,1000,-0.29384521035,7,0.254237288136
78,-21352.21875,0.0003,1058.03335593,1.5,4203.7115,12216,16.2108072048,748.4503002,0.386924616411,-0.0527472794526,1000,-0.29384521035,8,0.254237288136
79,-21352.21875,0.0003,1058.03335593,1.5,4203.7115,12216,16.2108072048,748.4503002,0.386924616411,-0.0527472794526,1000,-0.29384521035,9,0.254237288136
80,-21352.21875,0.0003,1058.03335593,1.5,4203.7115,12216,16.2108072048,748.4503002,0.386924616411,-0.0527472794526,1000,-0.29384521035,10,0.254237288136
81,22118.28175,0.0003,679.235487288,2.0,1804.4,6384,41.2548764629,1411.18530559,0.680754226268,0.0470505672291,1000,0.328032742747,2,0.576271186441
82,19732.51675,0.0003,681.304733051,2.0,1804.4,6144,40.3924221922,1477.99052774,0.67050067659,0.0416998570448,1000,0.311129277988,3,0.576271186441
83,19743.4245,0.0003,681.141758475,2.0,1804.4,6092,40.5802047782,1493.99453925,0.668259385666,0.0417592373801,1000,0.311140702641,4,0.576271186441
84,19292.41325,0.0003,681.141758475,2.0,1804.4,6072,40.3424657534,1499.18356164,0.667808219178,0.0408086686064,1000,0.310906795366,5,0.576271186441
85,19542.3615,0.0003,681.141758475,2.0,1804.4,6072,40.5136986301,1499.29315068,0.667808219178,0.0413382199835,1000,0.312323997121,6,0.576271186441
86,19542.3615,0.0003,681.141758475,2.0,1804.4,6072,40.5136986301,1499.29315068,0.667808219178,0.0413382199835,1000,0.312323997121,7,0.576271186441
87,19542.3615,0.0003,681.141758475,2.0,1804.4,6072,40.5136986301,1499.29315068,0.667808219178,0.0413382199835,1000,0.312323997121,8,0.576271186441
88,19542.3615,0.0003,681.141758475,2.0,1804.4,6072,40.5136986301,1499.29315068,0.667808219178,0.0413382199835,1000,0.312323997121,9,0.576271186441
89,19542.3615,0.0003,681.141758475,2.0,1804.4,6072,40.5136986301,1499.29315068,0.667808219178,0.0413382199835,1000,0.312323997121,10,0.576271186441
90,31529.12825,0.0003,611.234758475,2.5,1109.47025,4292,61.0127826942,2028.65486726,0.7866273353,0.069095662531,1000,0.526360944025,2,0.64406779661
91,25549.2365,0.0003,627.747432203,2.5,1118.58725,3752,60.5681818182,2417.08863636,0.756818181818,0.0556824323886,1000,0.465146360408,3,0.627118644068
92,24483.52775,0.0003,631.326766949,2.5,1118.58725,3636,60.6345475911,2512.45123384,0.750881316099,0.0533617336598,1000,0.463198505238,4,0.627118644068
93,24795.548,0.0003,631.326766949,2.5,1118.58725,3604,61.3879003559,2537.34875445,0.749703440095,0.0540845290789,1000,0.462642538223,5,0.627118644068
94,24945.54125,0.0003,631.326766949,2.5,1118.58725,3604,61.5658362989,2537.39620403,0.749703440095,0.0544023114166,1000,0.461499976381,6,0.627118644068
95,24487.05825,0.0003,631.326766949,2.5,1118.58725,3596,61.1177170036,2545.28537455,0.749108204518,0.0534286896787,1000,0.467812185645,7,0.627118644068
96,24537.0695,0.0003,631.326766949,2.5,1118.58725,3596,61.1771700357,2545.31153389,0.749108204518,0.0535346457168,1000,0.467367390182,8,0.627118644068
97,24537.0605,0.0003,631.326766949,2.5,1118.58725,3596,61.1771700357,2545.39952438,0.749108204518,0.053534626649,1000,0.467367471755,9,0.627118644068
98,24387.04925,0.0003,631.326766949,2.5,1118.58725,3596,60.9988109394,2546.30439952,0.749108204518,0.0532168062041,1000,0.46864958399,10,0.627118644068
99,30589.5445,0.0003,597.78115678,3.0,1350.0,3468,69.1031941032,2372.97420147,0.829238329238,0.0676054261549,1000,0.589272922443,2,0.728813559322
100,25779.849,0.0003,613.165648305,3.0,1350.0,2796,74.5723172628,3167.06065319,0.783825816485,0.0569632321836,1000,0.543020841047,3,0.745762711864
101,24971.94325,0.0003,616.802114407,3.0,1350.0,2592,78.0508474576,3516.6440678,0.766101694915,0.055282440486,1000,0.529055159129,4,0.745762711864
102,23645.5,0.0003,620.737974576,3.0,1350.0,2528,77.3519163763,3634.07665505,0.759581881533,0.0523671573076,1000,0.527671180141,5,0.728813559322
